ID,Name,Dec
1000,毎日のログイン報酬,今日のログイン
1001,3日の報酬,今日の3マッチリワード
1002,サポート,あなたはトーンレーションを通して開発者をスポンサーすることができます。
1003,レビュー,レビューしてください、そして私たちはあなたに報酬を与えます。
1004,チュートリアルの完了,完全なチュートリアル
1005,銀ランクアチーブメント,マルチプレイシルバーランクを達成する
1006,ゴールドランクの達成,マルチプレイゴールドランクを達成する
1007,プラチナランクアチーブメント,マルチプレイプラチナランクを達成する
1008,ダイヤモンドランクアチーブメント,マルチプレイダイヤモンドランクを達成する
1009,マスターランクの達成,マスターランクをマスターランクを達成する
1010,チャレンジャーの達成,マルチプレイチャレンジャーのランクを達成する
1011,リーグチャンピオン,リーグの中で最初の場所を達成しました
1012,銀メダル,リーグで2位を達成しました
1013,銅メダル,リーグの中で3位を達成しました
1014,3チャンピオン,3リーグのタイトルを達成します
1015,3銀のメダル,3リーグで2位を達成しました
1016,3ブロンズメダル,3リーグで3位を達成しました
1017,5チャンピオン,5リーグのタイトルを達成します
1018,5銀のメダル,5リーグで2位を達成します
1019,5銅のメダル,5リーグで3位を達成します
1020,初シーズン,初シーズン締め切り
1021,第三のシーズン,第3シーズン締め切り
1022,5季節,5回目の締め切り
1023,季節,10季節の締め切り
1024,6日の報酬,今日の6試合報酬
1025,銀ランクアチーブメント,マルチプレイシルバーランクを達成する
1026,ゴールドランクの達成,マルチプレイゴールドランクを達成する
1027,プラチナランクアチーブメント,マルチプレイプラチナランクを達成する
1028,ダイヤモンドランクアチーブメント,マルチプレイダイヤモンドランクを達成する
1029,マスターランクの達成,マスターランクをマスターランクを達成する
1030,チャレンジャーの達成,マルチプレイチャレンジャーのランクを達成する
1031,毎日の一致限界,あなたが本質を得ることができる1日あたりの一致数
