teamID,Dec
1000000,18シーズンですべてのKRリーグチームを倒してください。
1000001,19春のシーズンですべてのKRリーグチームを倒す。
1000002,19夏のシーズンですべてのKRリーグチームを倒してください。
1000003,すべてのマルチマッチ19シーズントップ10チームを倒す。
1000004,20春のシーズンですべてのKRリーグチームを倒してください。
1000005,20春のシーズンですべてのEUリーグチームを倒してください。
1000006,20春のシーズンですべてのNaリーグチームを倒してください。
1000007,20夏のシーズンのすべてのKRリーグチームを倒してください。
1000008,20夏のシーズンですべてのEUリーグチームを倒してください。
1000009,20夏のシーズンですべてのNaリーグチームを倒す。
1000010,すべてのマルチマッチ20シーズントップ10チームを倒す。
1000011,21春のシーズンですべてのKRリーグチームを倒す。
1000012,21春のシーズンですべてのEUリーグチームを倒してください。
1000013,21春のシーズンですべてのナアリーグチームを倒してください。
1000014,すべてのマルチマッチ21-1シーズントップ10チームを倒す。
1000015,すべてのマルチマッチ21-2シーズントップ10チームを倒す。
1000016,21春のシーズンですべてのCNリーグチームを倒してください。
1000017,21夏のシーズンですべてのKRリーグチームを倒してください。
1000018,21夏のシーズンですべてのEUリーグチームを倒す。
1000019,21夏のシーズンですべてのNaリーグチームを倒してください。
1000020,21夏のシーズンですべてのCNリーグチームを倒す。
1000021,すべてのマルチマッチ21-3シーズントップ10チームを倒す。
1000022,すべてのマルチマッチ22-1シーズントップ10チームを倒します。
1000023,22春のシーズンでNAリーグのすべてのチームを倒します。
1000024,22春のシーズンでNAリーグのすべてのチームを倒します。
1000025,22春のシーズンでNAリーグのすべてのチームを倒します。
1000026,すべてのマルチマッチ22-2シーズンTop10チームを倒します。
1000027,すべてのマルチマッチ22-3シーズンTop10チームを倒します。
1000028,击败所有多场比赛22-4赛季Top10球队。
1000029,在22个夏季击败所有KR联赛球队。
1000030,在22个夏季击败所有欧盟联赛球队。
1000031,在22个夏季击败所有NA联赛球队。
