ID,Name,Dec
1000,تجنيد الذهب,تجنيد 1 لاعب عشوائي مع إحصائيات مجتمعة فوق 81.
1001,حزمة الذهب,تجنيد 5 لاعبين عشوائيين مع إحصاء مجتمعة فوق 81.
1002,لاعب التوظيف,تجنيد 1 لاعب عشوائي.
1003,التوظيف الفضي,تجنيد مشغل عشوائي مع إحصاء مجتمعة فوق 76.
1004,تجنيد الذهب,تجنيد 1 لاعب عشوائي مع إحصائيات مجتمعة فوق 81.
1005,تجنيد البلاتين,تجنيد مشغل عشوائي مع GPA المشترك من 84 أو أعلى.
1006,الحزمة الأساسية,تجنيد 5 لاعبين عشوائي.
1007,حزمة الفضة,تجنيد 5 لاعبين عشوائيين مع إحصائهم مجتمعة فوق 76.
1008,حزمة الذهب,تجنيد 5 لاعبين عشوائيين مع إحصاء مجتمعة فوق 81.
1009,حزمة البلاتين,تجنيد 5 لاعبين عشوائي مع GPA مجتمعة من 84 أو أعلى.
1010,2021 التوظيف,تجنيد 1 لاعب عشوائي من موسم 21SPR-21SUM.
1011,2021 ثانية حزمة, (وليس بما في ذلك الحد)
1012,التوظيف في الموسم السابق,تجنيد 5 لاعب عشوائي من موسم 21SPR-21SUM.
1013,حزمة الموسم السابق, (وليس بما في ذلك الحد)
1014,التوظيف المدرب,يتم تعيين لاعب عشوائي واحد من موسم 18-20sum.
1015,تغيير اسم الفريق, (وليس بما في ذلك الحد)
