ID,Dec
10000,Hi. Nice to meet you.
10001,With the support of the manager} he created a new team in the Roll League.
10002,Please name your team first.
10003,Let 's make AAA Team into history.
10004,This is the league's first match.
10005,Here you can see the information of our team and other teams before the match.
10006,The current team already has a player signed up.
10007,But you need a lot of players to win.
10008,Let's get a new player first before the match.
10009,Tap the recruitment market
10010,You can recruit new players with the essence you have in the recruiting market.
10011,Let's hire a new player with the essence we have now.
10012,Press the Buy Players button.
10013,We have a new player.
10014,The team is still not competitive. Let's hire a better player to improve our competitiveness.
10015,There is not enough essence to recruit a good player. In this case} you can get a whole number using a sponsor.
10016,View all sponsors' video ads} to earn rewards.
10017,Initially} Sponsored Ads is specially prepared to receive 50% more rewards.
10018,Press Sponsored Advertising.
10019,Sponsor sent us an integer. Now let's get a new player with this integer.
10020,Please press the purchase button.
10021,We have a new player.
10022,Now let's try a new player.
10023,Press the Player Management button.
10024,In the Player Management} you can select a candidate player.
10025,Press the Swap button to try out the candidate.
10026,Pressing replace will make the selected player a starting player and the existing player will be nominated.
10027,Also} depending on the composition of the starters} additional effects can be obtained.
10028,Press the button
10029,You can find information about Tim Chemie here.
10030,You can make your team stronger by matching different chemistries such as type and team.
10031,Press X to exit.
10032,Now let's change the player who is not needed to another player.
10033,Try pressing the recombination.
10034,Here you can replace four candidates with new players.
10035,Temporarily i gave four players. Let's recombine these players.
10036,Press the Add button.
10037,Press the Add button.
10038,Press the Add button.
10039,Press the Add button.
10040,Put all three players. Now let's change to a new player.
10041,You can check the player's ability information from the recruitment information.
10042,Now get the player.
10043,Try pressing the recombination.
10044,This way you can replace existing players with new players.
10045,Now let's play with these players.
10046,Press the match button
10047,Press the game progress button.
10048,The game has started.
10049,Let's trust the players and watch the game.
10050,Like this} when the game is over} you can get experience and integers.
10051,Essence cannot be obtained if the daily match limit is exceeded.
10052,Press the Continue button to exit the stadium.
10053,The first game is over.
10054,Players are important for winning} but manager strategy is also important.
10055,Press the Strategy button.
10056,Quick Setup makes it easy to set up key strategies.
10057,Balance is now the basic strategy.
10058,Let's change the settings.
10059,Click on Line / Manage.
10060,Line match / operation is a strategy that ends the game by operating the gains seen in line match.
10061,Let's change strategy to line-of-line operation.
10062,Press the Settings button
10063,The team's strategy has now changed with line-to-run.
10064,This quick setup makes it easy to change your team's strategy.
10065,Detailed settings can be set via the instructions and the pickvan.
10066,Now let's test our strategy.
10067,Press the match button
10068,Let's see how to use match items before proceeding to the match.
10069,! Press the button.
