teamID,Dec
1000000,Ngalahake kabeh tim liga ing musim 18.
1000001,Ngalahake kabeh tim liga ing musim semi.
1000002,Ngalahake kabeh tim liga ing musim panas.
1000003,Ngalahake kabeh tim top10 musim top10.
1000004,Ngalahake kabeh tim liga ing 20 musim semi.
1000005,Asor kabeh tim liga ing 20 musim semi.
1000006,Asor kabeh tim liga ing 20 musim semi.
1000007,Ngalahake kabeh tim liga ing musim panas.
1000008,Ngalahake kabeh tim liga ing 20 musim panas.
1000009,Asor kabeh tim liga ing musim panas 20 musim panas.
1000010,Ngalahake kabeh 20 tim top10 mateng.
