ID,Name,Dec
1000,Recruitment Emas,Recruit 1 Pamuter acak kanthi stat gabungan ing ndhuwur 81.
1001,Paket Emas,Recruit 5 pemain acak kanthi stat gabungan ing ndhuwur 81.
1002,Rekrutmen Pemain,Rekrut 1 pamuter acak.
1003,Recruitment perak,Recruit 1 pamuter acak kanthi stat gabungan ing ndhuwur 76.
1004,Recruitment Emas,Recruit 1 Pamuter acak kanthi stat gabungan ing ndhuwur 81.
1005,Recruitment Platinum,Recruit 1 Pamuter acak kanthi GPA gabungan 84 utawa luwih.
1006,Paket dhasar,Recruit 5 pemain acak.
1007,Paket perak,Recruit 5 pemain acak kanthi stat gabungan ing ndhuwur 76.
1008,Paket Emas,Recruit 5 pemain acak kanthi stat gabungan ing ndhuwur 81.
1009,Paket Platinum,Recruit 5 pemain acak kanthi GPA gabungan 84 utawa luwih.
1010,Rekrutmen Musim Sadurunge,Siji pemain acak wiwit taun 18-20sum direkrut.
1011,Paket Musim Sadurunge, (Ora kalebu watesan)
1012,Ganti Jeneng Tim,5 pemain acak saka musim 18-20sum direkrut.
