ID,Name,Dec
1000,Ganjaran Masuk Harian,Log masuk hari ini ganjaran
1001,3 ganjaran harian,Ganjaran 3 perlawanan hari ini
1002,Sokongan,Anda boleh menaja pemaju melalui dua kali.
1003,Ulasan,Sila semak dan kami akan memberi ganjaran kepada anda.
1004,Tutorial lengkap,Tutorial lengkap.
1005,Pencapaian Peringkat Perak,Mencapai Kedudukan Perak Multiplay
1006,Pencapaian Peringkat Emas.,Mencapai Kedudukan Emas Multiplay
1007,Pencapaian Rank Platinum.,Mencapai pangkat Platinum Multiplay
1008,Pencapaian Kedudukan Diamond.,Mencapai Kedudukan Berlian Multiplay
1009,Pencapaian peringkat tuan,Mencapai pangkat Master Multiplay
1010,Pencapaian Challenger.,Mencapai pangkat Challenger Multiplay
1011,Juara Liga,Mencapai tempat pertama dalam liga
1012,Pingat perak,Mencapai tempat kedua dalam liga
1013,Pingat gangsa,Mencapai tempat ketiga dalam liga
1014,3 juara,Mencapai 3 gelaran liga
1015,3 pingat perak,Mencapai tempat kedua dalam tiga liga
1016,3 pingat gangsa.,Mencapai tempat ketiga dalam tiga liga
1017,5 juara,Mencapai 5 gelaran liga
1018,5 pingat perak,Mencapai tempat kedua dalam lima liga
1019,5 pingat gangsa,Mencapai tempat ketiga dalam lima liga
1020,Musim pertama,Tarikh akhir musim pertama
1021,Musim ketiga,Tarikh akhir musim ketiga
1022,Musim kelima,Tarikh akhir musim kelima
1023,Musim kesepuluh,Tarikh akhir musim 10.
1024,6 ganjaran harian,Ganjaran Match 6 Hari Ini
1025,Pencapaian Peringkat Perak,Mencapai Kedudukan Perak Multiplay
1026,Pencapaian Peringkat Emas.,Mencapai Kedudukan Emas Multiplay
1027,Pencapaian Rank Platinum.,Mencapai pangkat Platinum Multiplay
1028,Pencapaian Kedudukan Diamond.,Mencapai Kedudukan Berlian Multiplay
1029,Pencapaian peringkat tuan,Mencapai pangkat Master Multiplay
1030,Pencapaian Challenger.,Mencapai pangkat Challenger Multiplay
1031,Had perlawanan harian,Bilangan perlawanan setiap hari di mana anda boleh mendapatkan intipati
