teamID,Dec
1000000.0,Kalahkan semua pasukan Liga KR pada musim 18.
1000001.0,Kalahkan semua pasukan Liga KR di 19 musim bunga.
1000002.0,Kalahkan semua pasukan Liga KR di 19 musim panas.
1000003.0,Kekalahan semua Multi Match 19 Musim Top10 pasukan.
1000004.0,Kalahkan semua pasukan Liga KR dalam 20 musim musim bunga.
1000005.0,Kalahkan semua pasukan Liga EU di 20 musim musim bunga.
1000006.0,Kekalahan semua pasukan Liga NA di 20 musim musim bunga.
1000007.0,Kalahkan semua pasukan Liga KR di 20 musim panas.
1000008.0,Kalahkan semua pasukan Liga EU di 20 musim panas.
1000009.0,Kekalahan semua pasukan Liga NA di 20 musim panas.
1000010.0,Kekalahan semua Multi Match 20 Musim Top10 pasukan.
1000011.0,Kalahkan semua pasukan Liga KR di 21 musim bunga.
1000012.0,Kalahkan semua pasukan Liga EU di 21 musim bunga.
1000013.0,Kekalahan semua pasukan Liga NA di 21 musim bunga.
1000014.0,Mengalahkan semua pasukan 10-1 Musim Top10 pasukan.
1000015.0,Kekalahan semua Multi Match 21-2 Musim Top10 pasukan.
1000016.0,Kalahkan semua pasukan Liga CN di 21 musim musim bunga.
1000017.0,Kalahkan semua pasukan Liga KR di 21 musim panas.
1000018.0,Kalahkan semua pasukan Liga EU di 21 musim panas.
1000019.0,Kekalahan semua pasukan Liga NA di 21 musim panas.
1000020.0,Kalahkan semua pasukan Liga CN di 21 musim panas.
1000021.0,Kekalahan semua Multi Match 21-3 Musim Top10 pasukan.
1000022.0,Kekalahan semua pasukan Multi Match 22-1 musim TOP10.
1000023.0,Kekalahan semua pasukan Liga NA pada musim 22 musim bunga.
1000024.0,Kekalahan semua pasukan Liga NA pada musim 22 musim bunga.
1000025.0,Kekalahan semua pasukan Liga NA pada musim 22 musim bunga.
1000026.0,Kekalahan semua pasukan Multi perlawanan 22-2 musim TOP10.
1000027.0,
1000028.0,เอาชนะ Multi Match ทั้งหมด 22-4 ฤดูกาล 10 ทีม
1000029.0,เอาชนะทีม KR League ทั้งหมดในช่วงฤดูร้อน 22 ฤดู
1000030.0,เอาชนะทีมลีกของสหภาพยุโรปทั้งหมดในช่วงฤดูร้อน 22 ฤดู
1000031.0,เอาชนะทีม NA League ทั้งหมดในช่วงฤดูร้อน 22 ฤดู
1000032.0,Kekalahan semua pasukan Multi perlawanan 23-1 musim TOP10.
1000033.0,Kekalahan semua pasukan Multi perlawanan 23-2 musim TOP10.
1000034.0,Kalahkan semua pasukan Liga KR pada musim 23 musim bunga.
1000035.0,Kekalahan semua pasukan Liga EU pada musim 23 musim bunga.
1000036.0,Kalahkan semua pasukan Liga NA pada musim 23 musim bunga.
1000037.0,Kekalahan semua pasukan Multi perlawanan 23-3 musim TOP10.
