ID,Dec
10000,Hai. Senang bertemu dengan anda.
10001,Dengan sokongan pengurus} dia mencipta pasukan baru dalam Liga Roll.
10002,Sila namakan pasukan anda terlebih dahulu.
10003,Mari buat pasukan AAA ke dalam sejarah.
10004,Ini adalah perlawanan pertama liga.
10005,Di sini anda dapat melihat maklumat pasukan kami dan pasukan lain sebelum perlawanan.
10006,Pasukan semasa sudah mempunyai pemain yang mendaftar.
10007,Tetapi anda memerlukan banyak pemain untuk menang.
10008,Mari kita dapatkan pemain baru terlebih dahulu sebelum perlawanan.
10009,Ketik pasaran pengambilan pekerja
10010,Anda boleh merekrut pemain baru dengan intipati yang anda ada di pasaran merekrut.
10011,Mari kita sewa pemain baru dengan intipati yang kita ada sekarang.
10012,Tekan butang Beli Pemain.
10013,Kami mempunyai pemain baru.
10014,Pasukan itu masih tidak kompetitif. Mari kita sewa pemain yang lebih baik untuk meningkatkan daya saing kita.
10015,Tidak ada intipati untuk merekrut pemain yang baik. Dalam kes ini} Anda boleh mendapatkan nombor keseluruhan menggunakan penaja.
10016,Lihat semua iklan video penaja} untuk mendapatkan ganjaran.
10017,Pada mulanya} Iklan yang ditaja adalah khusus untuk menerima 50% lebih banyak ganjaran.
10018,Pengiklanan yang ditaja.
10019,Penaja menghantar kami integer. Sekarang mari kita dapatkan pemain baru dengan integer ini.
10020,Sila tekan butang pembelian.
10021,Kami mempunyai pemain baru.
10022,Sekarang mari kita cuba pemain baru.
10023,Tekan butang Pengurusan Pemain.
10024,Dalam pengurusan pemain} Anda boleh memilih pemain calon.
10025,Tekan butang swap untuk mencuba calon.
10026,Menekan Ganti akan menjadikan pemain yang dipilih pemain permulaan dan pemain yang sedia ada akan dicalonkan.
10027,Juga} Bergantung kepada komposisi pemula} Kesan tambahan boleh diperolehi.
10028,tekan butang
10029,Anda boleh mencari maklumat mengenai Tim Chemie di sini.
10030,Anda boleh membuat pasukan anda lebih kuat dengan memadankan kimia yang berbeza seperti jenis dan pasukan.
10031,Tekan X untuk keluar.
10032,Sekarang mari kita ubah pemain yang tidak diperlukan untuk pemain lain.
10033,Cuba tekan penggabungan semula.
10034,Di sini anda boleh menggantikan empat calon dengan pemain baru.
10035,Sementara saya memberikan empat pemain. Mari kita rekombine pemain ini.
10036,Tekan butang Tambah.
10037,Tekan butang Tambah.
10038,Tekan butang Tambah.
10039,Tekan butang Tambah.
10040,Letakkan ketiga pemain. Sekarang mari kita ubah ke pemain baru.
10041,Anda boleh menyemak maklumat keupayaan pemain dari maklumat pengambilan.
10042,Sekarang dapatkan pemain.
10043,Cuba tekan penggabungan semula.
10044,"Dengan cara ini, anda boleh menggantikan pemain sedia ada dengan pemain baru."
10045,Sekarang mari kita bermain dengan pemain ini.
10046,Tekan butang perlawanan
10047,Tekan butang Kemajuan Permainan.
10048,Permainan ini telah bermula.
10049,Mari kita percayai pemain dan menonton permainan.
10050,Seperti ini} apabila permainan berakhir} anda boleh mendapatkan pengalaman dan integer.
10051,Intipati tidak dapat diperoleh jika had perlawanan harian melebihi.
10052,Tekan butang Teruskan untuk keluar dari stadium.
10053,Permainan pertama berakhir.
10054,Pemain penting untuk memenangi} tetapi strategi pengurus juga penting.
10055,Tekan butang Strategi.
10056,Persediaan Pantas menjadikannya mudah untuk menubuhkan strategi utama.
10057,Baki kini menjadi strategi asas.
10058,Mari ubah tetapan.
10059,Klik pada baris / Urus.
10060,Perlawanan / Operasi Talian adalah strategi yang menamatkan permainan dengan mengendalikan keuntungan yang dilihat dalam perlawanan.
10061,Mari kita ubah strategi untuk operasi garis-garis.
10062,Tekan butang Tetapan
10063,Strategi pasukan kini telah berubah dengan line-to-run.
10064,Persediaan pantas ini memudahkan untuk mengubah strategi pasukan anda.
10065,Tetapan terperinci boleh ditetapkan melalui arahan dan Pickvan.
10066,Sekarang mari kita menguji strategi kami.
10067,Tekan butang perlawanan
10068,Mari lihat bagaimana menggunakan item perlawanan sebelum meneruskan perlawanan.
10069,! Tekan butang.
10070,Saya mendengar item pengalaman tambahan sebanyak 10% sebagai hadiah.
10071,Sila semak penggunaannya.
10072,"Jika anda memeriksa penggunaan, anda akan menggunakan item yang sepadan dalam perlawanan masa depan."
10073,"Sekiranya terdapat beberapa item, anda boleh menyemak auto untuk menggunakan item secara automatik."
10074,Item jenis yang sama tidak boleh digunakan berulang kali.
10075,Tekan X untuk keluar.
10076,Sekarang mari kita periksa strategi dan barangan.
10077,Tekan butang Kemajuan Permainan
10078,"Selepas perlawanan ini, tahap pengurus telah meningkat."
10079,"Apabila tahap pengurus meningkat, anda mendapat intipati tambahan seperti ini."
10080,Anda boleh mendapatkan inti tambahan dari tahap pengurus tanpa mengira had perlawanan harian.
10081,Tekan butang Teruskan untuk keluar dari stadium.
10082,Sesetengah pemain telah disamakan dengan memperoleh pengalaman dalam perlawanan ini.
10083,Pemain yang menaiki peringkat boleh meningkatkan statistik mereka.
10084,Tekan Pengurusan Pemain.
10085,Atlet yang telah meratakan mempunyai tanda panah di peringkat.
10086,Ketik tahap pemain untuk menaikkan statistik.
10087,Di sini anda boleh meningkatkan statistik anda yang dikehendaki dengan mata.
10088,Anda boleh meningkatkan stat dengan mengetuk anak panah stat yang dikehendaki.
10089,Ketik statistik anda yang dikehendaki dan ketik Keputusan.
10090,Ini akan meningkatkan keupayaan pemain.
10091,Tekan X untuk keluar.
10092,Atlet boleh dibuat lebih kuat dengan meratakan dan menguatkan seperti ini.
10093,Mari buat pemain lebih kuat dengan mengukuhkan.
10094,Tekan butang menguatkan.
10095,Pengukuhan membuat pemain lebih kuat melalui pemain yang sama.
10096,Kali ini} Let's Rectroced the Player yang saya berikan kepada anda.
10097,Cuba tekan butang ▼.
10098,Tekan butang untuk melipat senarai permulaan. Tekan butang untuk melihat senarai yang lebih besar daripada sub pemain.
10099,Sekarang cuba tambah pemain.
10100,Tekan butang Tambah.
10101,Jika pemain ditambah} Hanya pemain yang sama kelihatan.
10102,Tekan butang Tambah.
10103,Oleh kerana pemain yang ditambah} anda dapat melihat peluang kejayaan.
10104,Kebarangkalian kejayaan ditentukan oleh perbezaan antara tahap pengukuhan dan tahap pengukuhan.
10105,Tekan butang Reinfroce.
10106,Jika anda memperbaiki semula seperti ini} pemain barangan hilang.
10107,Kegagalan berbuat demikian tidak menjadikan pemain utama hilang atau kehilangan kelas.
10108,Sekarang mari kita semak terakhir maklumat liga.
10109,Tekan butang Liga.
10110,Tekan butang JADUAL.
10111,Anda boleh menyemak jadual liga untuk pasukan anda di sini.
10112,Tekan butang pangkat.
10113,Di sini anda dapat melihat kedudukan liga.
10114,Tekan butang kejohanan
10115,Di sini anda boleh menyemak playoff selepas Liga Biasa berakhir.
10116,W adalah ranking untuk kemajuan ke Kejohanan Dunia.
10117,Kejohanan Dunia diadakan pada akhir Liga Biasa.
10118,Anda boleh bersaing dengan pasukan teratas dalam liga lain dan mendapatkan ganjaran yang lebih tinggi.
10119,Tekan butang SET.
10120,Di mana anda mahu liga
10121,Anda boleh menetapkan tahap kesukaran dan memulakan liga baru.
10122,"Dengan memilih liga dan kesukaran, anda dapat melihat ganjaran yang berubah dan keupayaan pasukan liga."
10123,Pilih tahap liga dan tahap kesukaran anda dan tekan butang Mula Liga Baru.
10124,Anda boleh memulakan liga baru seperti ini.
10125,Sekarang semuanya sudah siap.
10126,Akhirnya} Pengurus menghantar kami intipati.
10127,Mari buat pemenang AAA League!
10128,Hai. Selamat datang ke permainan Multi Match.
10129,Di sini anda boleh memainkan perlawanan jurulatih lain.
10130,Di sini anda boleh melihat penilaian pasukan anda dan sepadan dengan DATAS.
10131,Tekan butang Maklumat Ganjaran.
10132,Di sini anda boleh mencari maklumat mengenai ganjaran pertandingan pelbagai.
10133,Pada jadual Tier} terdapat enam tingkat gangsa} perak} Emas} Platinum} Diamond} Master} Celinger.
10134,Kali pertama anda memulakan} anda bermula dengan peringkat gangsa.
10135,Menaikkan Tahap Anda akan memberi anda intipati di atas.
10136,Dan anda boleh mendapat intipati bonus pada akhir perlawanan dengan peratusan yang ditunjukkan di bawah.
