ID,Dec
10000,Oi. Prazer em conhecê-lo.
10001,"Com o suporte do gerente}, ele criou uma nova equipe na Liga Roll."
10002,"Por favor, nomee sua equipe primeiro."
10003,Vamos fazer a equipe da AAA na história.
10004,Este é o primeiro jogo da liga.
10005,Aqui você pode ver as informações da nossa equipe e outras equipes antes da partida.
10006,A equipe atual já tem um jogador se inscreveu.
10007,Mas você precisa de muitos jogadores para ganhar.
10008,Vamos pegar um novo jogador antes da partida.
10009,Toque no mercado de recrutamento
10010,Você pode recrutar novos jogadores com a essência que você tem no mercado de recrutamento.
10011,Vamos contratar um novo jogador com a essência que temos agora.
10012,Pressione o botão Buy Players.
10013,Nós temos um novo jogador.
10014,A equipe ainda não é competitiva. Vamos contratar um jogador melhor para melhorar nossa competitividade.
10015,Não há essência suficiente para recrutar um bom jogador. Neste caso} você pode obter um número inteiro usando um patrocinador.
10016,Ver todos os anúncios de vídeo patrocinadores} para ganhar recompensas.
10017,Inicialmente} ADS patrocinados é especialmente preparado para receber 50% mais recompensas.
10018,Pressione Publicidade Patrocinada.
10019,O patrocinador nos enviou um inteiro. Agora vamos pegar um novo jogador com este inteiro.
10020,"Por favor, pressione o botão de compra."
10021,Nós temos um novo jogador.
10022,Agora vamos tentar um novo jogador.
10023,Pressione o botão Gerenciamento do jogador.
10024,"Na gestão do jogador}, você pode selecionar um jogador candidato."
10025,Pressione o botão SWAP para experimentar o candidato.
10026,Pressionar Substituir tornará o jogador selecionado que um player inicial e o jogador existente serão nomeados.
10027,Também} dependendo da composição dos iniciantes} efeitos adicionais podem ser obtidos.
10028,aperte o botão
10029,Você pode encontrar informações sobre Tim Chemie aqui.
10030,"Você pode tornar seu time mais forte, combinando diferentes químicas, como tipo e equipe."
10031,Pressione X para sair.
10032,Agora vamos mudar o jogador que não é necessário para outro jogador.
10033,Tente pressionar a recombinação.
10034,Aqui você pode substituir quatro candidatos por novos jogadores.
10035,Temporariamente eu dei quatro jogadores. Vamos recombinar esses jogadores.
10036,Pressione o botão Adicionar.
10037,Pressione o botão Adicionar.
10038,Pressione o botão Adicionar.
10039,Pressione o botão Adicionar.
10040,Coloque todos os três jogadores. Agora vamos mudar para um novo jogador.
10041,Você pode verificar as informações da habilidade do jogador das informações de recrutamento.
10042,Agora pegue o jogador.
10043,Tente pressionar a recombinação.
10044,"Desta forma, você pode substituir os jogadores existentes por novos jogadores."
10045,Agora vamos brincar com esses jogadores.
10046,Pressione o botão de correspondência
10047,Pressione o botão de progresso do jogo.
10048,O jogo começou.
10049,Vamos confiar nos jogadores e assistir ao jogo.
10050,Assim como este} quando o jogo acabar} você pode obter experiência e inteiros.
10051,A essência não pode ser obtida se o limite de correspondência diária for excedido.
10052,Pressione o botão Continuar para sair do estádio.
10053,O primeiro jogo acabou.
10054,"Os jogadores são importantes para ganhar}, mas a estratégia do gerente também é importante."
10055,Pressione o botão Estratégia.
10056,A configuração rápida facilita a configuração das principais estratégias.
10057,O equilíbrio é agora a estratégia básica.
10058,Vamos mudar as configurações.
10059,Clique na linha / gerencie.
10060,A linha de correspondência / operação é uma estratégia que termina o jogo operando os ganhos vistos na correspondência de linha.
10061,Vamos mudar a estratégia para operação de linha de linha.
10062,Pressione o botão Configurações
10063,A estratégia da equipe mudou agora com linha a corrida.
10064,Esta configuração rápida facilita a alteração da estratégia da sua equipe.
10065,Configurações detalhadas podem ser definidas através das instruções e pelo Pickvan.
10066,Agora vamos testar nossa estratégia.
10067,Pressione o botão de correspondência
10068,Vamos ver como usar itens de correspondência antes de prosseguir para a partida.
10069,! Aperte o botão.
10070,Eu ouvi um item de experiência adicional de 10% como um presente.
10071,"Por favor, verifique o uso."
10072,"Se você verificar o uso, você usará o item correspondente em faturações futuras."
10073,"Se houver vários itens, você poderá verificar automaticamente automaticamente os itens."
10074,Itens do mesmo tipo não podem ser usados repetidamente.
10075,Pressione X para sair.
10076,Agora vamos verificar as estratégias e itens.
10077,Pressione o botão de progresso do jogo
10078,"Depois desta partida, o nível do gerente aumentou."
10079,"Como o nível do gerente aumenta, você recebe uma essência extra como essa."
10080,"Você pode obter essências extras do nível do gerente, independentemente do limite diário de correspondência."
10081,Pressione o botão Continuar para sair do estádio.
10082,Alguns jogadores foram nivelados ganhando experiência neste jogo.
10083,Os jogadores que subiram podem aumentar suas estatísticas.
10084,Pressione o gerenciamento do jogador.
10085,Atletas que têm niveladas têm uma marca de flecha no nível.
10086,Toque no nível do player para aumentar as estatísticas.
10087,Aqui você pode aumentar suas estatísticas desejadas por pontos.
10088,Você pode aumentar a seta tocando na seta da estatística desejada.
10089,Toque nas estatísticas desejadas e toque na decisão.
10090,Isso aumentará a capacidade do jogador.
10091,Pressione X para sair.
10092,Os atletas podem ser mais fortes nivelando e fortalecendo assim.
10093,Vamos tornar o jogador mais forte por reforçar.
10094,Pressione o botão Reinforce.
10095,O reforço torna o jogador mais forte através do mesmo jogador.
10096,Desta vez. Vamos reinfroced o jogador que te dei.
10097,Tente pressionar o botão ▼.
10098,Pressione o botão para dobrar a lista de entradas. Pressione o botão para ver uma lista maior dos subamportes.
10099,Agora tente adicionar um jogador.
10100,Pressione o botão Adicionar.
10101,Se um jogador for adicionado} apenas o mesmo player é visível.
10102,Pressione o botão Adicionar.
10103,Como os jogadores de coisas são adicionados} você pode ver a chance de sucesso.
10104,A probabilidade de sucesso é determinada pela diferença entre o nível de reforço e o nível de reforço.
10105,Pressione o botão Reinfroche.
10106,Se você é reinado como este} o jogador de coisas desaparece.
10107,Não fazê-lo não faz o jogador principal desaparecer ou perder a aula.
10108,Agora vamos verificar pela última vez a informação da liga.
10109,Pressione o botão da liga.
10110,Pressione o botão Agendar.
10111,Você pode verificar a programação da liga para sua equipe aqui.
10112,Pressione o botão RANK.
10113,Aqui você pode ver a classificação da liga.
10114,Pressione o botão do torneio
10115,Aqui você pode verificar os playoffs depois que a liga regular acabou.
10116,W é o ranking de avanço ao Campeonato Mundial.
10117,O Campeonato Mundial é realizado no final da liga regular.
10118,Você pode competir contra as principais equipes em outras ligas e obter recompensas mais altas.
10119,Pressione o botão SET.
10120,Onde você quer a liga
10121,Você pode definir o nível de dificuldade e iniciar uma nova liga.
10122,"Ao selecionar uma liga e dificuldade, você pode ver as recompensas alteradas e a capacidade da equipe da liga."
10123,Escolha o nível da sua liga e dificuldade e pressione o botão Iniciar novo liga.
10124,Você pode começar uma nova liga como esta.
10125,Agora tudo está pronto.
10126,"Finalmente, o gerente nos enviou a essência."
10127,Vamos fazer o vencedor da Liga Aaa!
10128,Oi. Bem vindo ao jogo Multi Match.
10129,Aqui você pode jogar o jogo outros treinadores.
10130,Aqui você pode ver as classificações do seu time} pontos e combinar dados.
10131,Pressione o botão de informações de recompensa.
10132,Aqui você pode encontrar informações sobre as recompensas do Multi Match.
10133,Na mesa de camada} Há seis camadas de bronze} prata} ouro} Platinum} diamante} Master} Celinger.
10134,"A primeira vez que você começa}, você começa com um nível de bronze."
10135,Aumentar sua camada lhe dará a essência acima.
10136,E você pode ganhar essência de bônus no final da partida pela porcentagem indicada abaixo.
10137,Eu vou explicar a temporada.
10138,A temporada redefine o nível e inicia um novo jogo após um período fixo.
10139,"Quando uma nova temporada começa, você é recompensado de acordo com a classificação da última temporada."
10140,Recompensas para o seu nível podem ser encontradas aqui.
10141,Agora pressione X para sair da informação de recompensa.
10142,Para subir} você tem que ganhar o jogo e coletar pontos.
10143,Colete 100 pontos para avançar para o próximo nível.
10144,Mas tenha cuidado porque você pode ser rebaixado em uma perda contínua em zero.
10145,"Se você aumentar o seu nível mais alto, ganhando}, você pode verificar o ranking da sua equipe através da classificação abaixo."
10146,E você pode ver a equipe de rankers em detalhes.
10147,Aperte o botão.
10148,Agora você pode ver os jogadores e estratégias usadas pelos Rankers. Confira e cresça sua equipe mais forte.
10149,Agora vamos pressionar o botão novamente.
10150,Ranking leva tempo para refrescar.
10151,"Se você quiser atualizar imediatamente}, você pode atualizar o ranking imediatamente através do botão Atualizar."
10152,Bom. Pronto levante sua classificação e colete pontos para se tornar o melhor gerente!
10153,Na sua conta} você pode ver as informações da sua conta e as realizações diárias} outras informações.
10154,Nas missões diárias são atualizadas todos os dias.
10155,Em conquistas} você pode ver as conquistas
10156,Na temporada} você pode ver as novas missões atualizadas a cada temporada.
10157,"Em outro} você pode ver outras partes, como o Suporte do Desenvolvedor."
10158,Você pode ganhar recompensas preenchendo conquistas de quest ou outras partes.
10159,"Além disso, o patrocínio nos ajudará a continuar a desenvolver o jogo no futuro."
10160,Obrigado pelo seu patrocínio. Obrigada.
