ID,Name,Dec
1000,Ежедневное войти на вознаграждение,Войти сегодня вознаграждение
1001,3 ежедневных награды,Сегодняшние 3 матча награды
1002,Поддерживать,Вы можете спонсировать разработчик через двойную работу.
1003,Рассмотрение,"Пожалуйста, просмотрите, и мы вознаградим вас."
1004,Учебник завершен,Полный учебник
1005,Достижение серебряного ранга,Добиться многопользовательской серебристого звания
1006,Достижение золота ранга,Добиться многопользовательского золота
1007,Достижение ранга платины,Добиться многоположной платиновой ранги
1008,Достижение алмазного ранга,Добиться многопользовательского бриллиантового ранга
1009,Мастерское ранжественное достижение,Добиться многопользовательского мастера
1010,Достижение претенденции,Добиться многопользовательской оценки
1011,Чемпион Лиги,Достигнуто первое место в лиге
1012,Серебряная медаль,Достиг второго места в лиге
1013,Бронзовая медаль,Достиг третье место в лиге
1014,3 чемпионов,Добиться 3 названия лиги
1015,3 серебряные медали,Достиг второго места в трех лигах
1016,3 бронзовые медали,Достиг третье место в трех лигах
1017,5 чемпионов,Достичь 5 титулов лиги
1018,5 серебряных медалей,Достичь второго места в пяти лигах
1019,5 бронзовых медалей,Достичь третье место в пяти лигах
1020,Первый сезон,Срок первого сезона
1021,Третий сезон,Третий сезон сроки
1022,Пятый сезон,Срок пятого сезона
1023,Десятый сезон,Срок 10-го сезона
1024,6 ежедневных наград,Сегодняшние 6 наград на матч
1025,Достижение серебряного ранга,Добиться многопользовательской серебристого звания
1026,Достижение золота ранга,Добиться многопользовательского золота
1027,Достижение ранга платины,Добиться многоположной платиновой ранги
1028,Достижение алмазного ранга,Добиться многопользовательского бриллиантового ранга
1029,Мастерское ранжественное достижение,Добиться многопользовательского мастера
1030,Достижение претенденции,Добиться многопользовательской оценки
1031,Ежедневный лимит совпадения,"Количество совпадений в день, когда вы можете получить сущность"
