ID,Korean,Dec
1000,효과음,Звуковой эффект
1001,배경음,Фоновый звук
1002,언어,Язык
1003,만든이: 허민구{연락: huccce@gmail.com,Создано: Heo Min-Gu {Contact: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,Загрузка / {Google Войти в
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,"<Внимание> {{есть более одного данных. Пожалуйста, выберите данные для загрузки. {Необработанные данные будут удалены."
1006,팀이름,Название команды
1007,라운드,Круглый
1008,정수,Сущность
1009,저장날짜,Сохранить дату
1010,결정,Решение
1011,경기,Соответствовать
1012,리그,Лига
1013,전략,Стратегия
1014,선수{관리,Игрок {Управление
1015,영입{시장,Подбор персонала {Рынок
1016,멀티{대전,Multi {Match
1017,계정,Счет
1018,순위,Классифицировать
1019,승,Вал
1020,패,Ливня
1021,라인전,Линия
1022,한타,Командный бой
1023,운영,Эксплуатация
1024,포지션,Позиция
1025,이름,Имя
1026,종합,Всего
1027,일정,Календарь
1028,상대팀,Противоположная команда
1029,총합,Всего
1030,결과,Результат
1031,승리,Победа
1032,패배,Поражение
1033,간편,Простой
1034,지침,Руководство
1035,픽밴,Выбирать запрет
1036,설정,Задавать
1037,설명,Объяснение
1038,라인,Линия
1039,타입,Тип
1040,등급,Рейтинг
1041,강화,Усилить
1042,재조합,Рекомбинация
1043,팀케미,Команда Chemie
1044,선발 선수,Начальный игрок
1045,후보 선수,Подразделение
1046,레벨 포인트,Уровень уровня
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Chemie Chemie (▲ 2) {год Chemie (▲ 1) {Hype Chemie (▲ 1) {Chemie League (▲ 1)
1048,케미스트리,Химия
1049,재조합 선수,Рекомбинантный игрок
1050,제거,Удалять
1051,강화 선수,Усилитель
1052,재료 선수,Вещи игрока
1053,성공확률:,Шанс успеха:
1054,영입시장,Рекрукционный рынок
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,"Смотрите спонсируемые объявления, чтобы получить награды."
1056,5번 보시면 200정수를 추가로 드립니다.,"Если вы посмотрите 5 раз}, вы получите дополнительную 200ЕСУНУЮ."
1057,골드 영입,Золотой рекрутинг
1058,실버 선수,Серебристый игрок
1059,시청,Смотреть
1060,플레,Платина
1061,골드,Золото
1062,선수명단,Список игроков
1063,가격,Цена
1064,추천,Рекомендую
1065,구입,Купить
1066,탑 랭킹,Верхний ранг
1067,내 순위,Мой ранг
1068,새로고침시간,Обновить время
1069,대전정보,Соответствие информации
1070,대전찾기,Поиск матчей
1071,선수,Игрок
1072,감독,Управляющий делами
1073,로그인,Авторизоваться
