teamID,Dec
1000000.0,Победите всех команд Лиги КР в 18 сезон.
1000001.0,Победите всех команд КР Лиги в 19 весеннем сезоне.
1000002.0,Победите всех команд Лиги КР в 19 летнем сезоне.
1000003.0,Победите все Multi Match 19 сезона TOP10 команд.
1000004.0,Победите всех команд КР Лиги в 20 весеннем сезоне.
1000005.0,Победите всех команд Лиги ЕС в 20 весеннем сезоне.
1000006.0,Победите все команды лиги NA в 20 весеннем сезоне.
1000007.0,Победите всех команд Лиги КР в 20 летних сезонах.
1000008.0,Победите всех команд Лиги ЕС в 20 летнем сезоне.
1000009.0,Победите всех команд лиги NA в 20 летних сезонах.
1000010.0,Победите все Multi Match 20 сезон TOP10 команд.
1000011.0,Победите все команды Лиги КР в 21 весеннем сезоне.
1000012.0,Победите всех команд Лиги ЕС в 21 весеннем сезоне.
1000013.0,Победите всех команд лиги Na в 21 весеннем сезоне.
1000014.0,Победите все Multi Match 21-1 сезон команды TOP10.
1000015.0,Победите все Multi Match 21-2 сезона TOP10 Teams.
1000016.0,Победите все команды Лиги CN в 21 весеннем сезоне.
1000017.0,Победите всех команд Лиги КР в 21 летнем сезоне.
1000018.0,Победите все команды Лиги ЕС в 21 летнем сезоне.
1000019.0,Победите всех команд лиги Na в 21 летнем сезоне.
1000020.0,Победите всех команд Лиги CN в 21 летнем сезоне.
1000021.0,Победите все Multi Match 21-3 сезона TOP10 команд.
1000022.0,Победить все Multi Match 22-1 Season Top10.
1000023.0,Победить все команды NA League в 22 весеннем сезоне.
1000024.0,Победить все команды NA League в 22 весеннем сезоне.
1000025.0,Победить все команды NA League в 22 весеннем сезоне.
1000026.0,Победить все Multi Match 22-2 сезона Top10.
1000027.0,
1000028.0,Derrota a todos los equipos de la temporada Top10 de la temporada 22-4.
1000029.0,Derrota a todos los equipos de la Liga KR en la temporada 22 de verano.
1000030.0,Derrota a todos los equipos de la Liga de la UE en la temporada 22 de verano.
1000031.0,Derrota a todos los equipos de la Liga NA en la temporada 22 de verano.
