ID,Dec
10000,你好。很高兴见到你。
10001,通过支持经理}他在卷联赛中创造了一支新的团队。
10002,请先命名您的团队。
10003,让我们成为历史的AAA团队。
10004,这是联盟的第一场比赛。
10005,在这里，您可以在比赛前查看我们团队和其他团队的信息。
10006,目前的团队已经有一名球员注册。
10007,但是你需要很多玩家赢得。
10008,让我们在比赛前先获得一个新的球员。
10009,点击招聘市场
10010,您可以用您在招聘市场中招募新的球员。
10011,让我们聘请一个新的球员，以我们现在的本质为本。
10012,按“购买播放器”按钮。
10013,我们有一个新的球员。
10014,该团队仍然没有竞争力。让我们聘请更好的球员来提高竞争力。
10015,还有足够的精华来招募一个好玩家。在本案中，您可以使用赞助商获取整个数字。
10016,查看所有赞助商的视频广告}赚取奖励。
10017,最初}赞助广告专门准备收到50％的奖励。
10018,新闻赞助广告。
10019,赞助商向我们发送了一个整数。现在让我们通过这个整数来获得一个新的播放器。
10020,请按采购按钮。
10021,我们有一个新的球员。
10022,现在让我们尝试一名新手。
10023,按播放器管理按钮。
10024,在玩家管理}中，您可以选择候选播放器。
10025,按SWAP按钮试用候选人。
10026,按Replace将使所选播放器成为起始播放器和现有播放器将被提名。
10027,此外，取决于启动器的组成}可以获得其他效果。
10028,按下按钮
10029,您可以在此处找到有关Tim Chemie的信息。
10030,您可以通过匹配类型和团队等不同的化学物质使您的团队更强大。
10031,按X退出。
10032,现在让我们改变另一名球员不需要的球员。
10033,尝试按重组。
10034,在这里，您可以用新玩家替换四个候选人。
10035,暂时我给了四名球员。让我们重组这些球员。
10036,按“添加”按钮。
10037,按“添加”按钮。
10038,按“添加”按钮。
10039,按“添加”按钮。
10040,把所有三名球员都放了一下。现在让我们改变新手。
10041,您可以从招聘信息检查玩家的能力信息。
10042,现在得到播放器。
10043,尝试按重组。
10044,这样你就可以用新的球员替换现有的玩家。
10045,现在让我们玩这些球员。
10046,按匹配按钮
10047,按下游戏进度按钮。
10048,游戏已经开始。
10049,让我们相信玩家并观看游戏。
10050,就像这个游戏结束时，你可以获得体验和整数。
10051,如果超过日常匹配限制，则无法获得本质。
10052,按“继续”按钮退出体育场。
10053,第一场比赛结束了。
10054,玩家对获胜很重要}但经理战略也很重要。
10055,按策略按钮。
10056,快速设置可以轻松设置关键策略。
10057,平衡现在是基本策略。
10058,让我们更改设置。
10059,单击“行/管理”。
10060,线匹配/操作是一种通过操作在线匹配中看到的增益来结束游戏的策略。
