teamID,Dec
1000000,Derrota a todos los equipos de la liga de KR en la temporada 18.
1000001,Derrota a todos los equipos de la liga de KR en la temporada de primavera de 19 años.
1000002,Derrota a todos los equipos de la liga de KR en la temporada de verano de 19.
1000003,Derrota a todos los equipos Top10 Multi Match 19 Temporada.
1000004,Derrota a todos los equipos de la liga de KR en la temporada 20 de primavera.
1000005,Derrota a todos los equipos de la Liga de la UE en la temporada 20 de primavera.
1000006,Derrota a todos los equipos de NA Liga en la temporada 20 de primavera.
1000007,Derrota a todos los equipos de la liga de KR en la temporada 20 de verano.
1000008,Derrota a todos los equipos de la Liga de la UE en la temporada 20 de verano.
1000009,Derrota a todos los equipos de NA Liga en la temporada 20 de verano.
1000010,Derrota a todos los equipos Top10 Top10 de temporada Multi Match 20.
1000011,Derrota a todos los equipos de la liga de KR en la temporada 20 de primavera.
1000012,Derrota a todos los equipos de la Liga de la UE en la temporada 20 de primavera.
1000013,Derrota a todos los equipos de NA Liga en la temporada 20 de primavera.
1000014,Derrota a todos los equipos Top10 de la temporada de Multi Match 20-1.
