ID,Dec
10000,Hola. Un placer conocerte.
10001,Con el apoyo del gerente} creó un nuevo equipo en la liga de Roll.
10002,"Por favor, nombra a su equipo primero."
10003,Hagamos el equipo de AAA en la historia.
10004,Este es el primer partido de la liga.
10005,Aquí puede ver la información de nuestro equipo y otros equipos antes del partido.
10006,El equipo actual ya tiene un jugador firmado.
10007,Pero necesitas muchos jugadores para ganar.
10008,Vamos a conseguir un nuevo jugador primero antes del partido.
10009,Toque el mercado de contratación
10010,Puedes reclutar nuevos jugadores con la esencia que tienes en el mercado de reclutamiento.
10011,Vamos a contratar a un nuevo jugador con la esencia que tenemos ahora.
10012,Presione el botón Comprar jugadores.
10013,Tenemos un nuevo jugador.
10014,El equipo todavía no es competitivo. Contramos a un mejor jugador para mejorar nuestra competitividad.
10015,No hay suficiente esencia para reclutar a un buen jugador. En este caso} puede obtener un número entero con un patrocinador.
10016,Ver todos los anuncios de video de los patrocinadores} para ganar recompensas.
10017,Inicialmente} Los anuncios patrocinados están especialmente preparados para recibir un 50% más de recompensas.
10018,Presione publicidad patrocinada.
10019,Patrocinador nos envió un entero. Ahora vamos a conseguir un nuevo jugador con este entero.
10020,Por favor presione el botón de compra.
10021,Tenemos un nuevo jugador.
10022,Ahora probamos un nuevo jugador.
10023,Presione el botón Gestión del reproductor.
10024,En la gestión del jugador} puede seleccionar un reproductor candidato.
10025,Presione el botón SWAP para probar el candidato.
10026,Presionar Reemplazar hará que el jugador de inicio seleccionado y el reproductor existente se nominará.
10027,También} dependiendo de la composición de los arrancadores} se pueden obtener efectos adicionales.
10028,presiona el botón
10029,Puede encontrar información sobre Tim Chemie aquí.
10030,Puede hacer que su equipo sea más fuerte al igualar diferentes químicas como el tipo y el equipo.
10031,Presione X para salir.
10032,Ahora vamos a cambiar el jugador que no es necesario para otro jugador.
10033,Intenta presionar la recombinación.
10034,Aquí puede reemplazar a cuatro candidatos con nuevos jugadores.
10035,Temporalmente le di a cuatro jugadores. Vamos a recombinar a estos jugadores.
10036,Presione el botón Agregar.
10037,Presione el botón Agregar.
10038,Presione el botón Agregar.
10039,Presione el botón Agregar.
10040,Pon a los tres jugadores. Ahora vamos a cambiar a un nuevo jugador.
10041,Puede verificar la información de la habilidad del jugador de la información de reclutamiento.
10042,Ahora consigue el jugador.
10043,Intenta presionar la recombinación.
10044,De esta manera puedes reemplazar a los jugadores existentes con nuevos jugadores.
