ID,Name,Dec
1000,รางวัลการเข้าสู่ระบบทุกวัน,เข้าสู่ระบบรางวัลวันนี้
1001,3 รางวัลรายวัน,รางวัล 3 นัดวันนี้
1002,สนับสนุน,คุณสามารถสปอนเซอร์ผู้พัฒนาผ่านการแหว่ง
1003,วิจารณ์,โปรดตรวจสอบและเราจะให้รางวัลแก่คุณ
1004,กวดวิชาเสร็จสมบูรณ์,กวดวิชาที่สมบูรณ์
1005,ความสำเร็จอันดับเงิน,บรรลุอันดับเงินที่หลากหลาย
1006,ความสำเร็จอันดับทองคำ,บรรลุอันดับ Gold Multiplay
1007,ความสำเร็จอันดับแพลทินัม,บรรลุอันดับแพลทินัมของผู้เล่นหลายคน
1008,ความสำเร็จอันดับเพชร,บรรลุอันดับเพชรที่มีการเล่นซ้ำ
1009,ความสำเร็จอันดับต้นแบบ,บรรลุอันดับ Multiplay Master
1010,ความสำเร็จของผู้ท้าชิง,บรรลุอันดับของผู้ท้าชิงที่หลากหลาย
1011,แชมป์ลีก,ประสบความสำเร็จในสถานที่แรกในลีก
1012,เหรียญเงิน,ประสบความสำเร็จในอันดับสองในลีก
1013,เหรียญทองแดง,ประสบความสำเร็จในอันดับสามในลีก
1014,3 แชมเปียน,บรรลุ 3 ชื่อลีก
1015,เหรียญเงิน 3 เหรียญ,ประสบความสำเร็จในตำแหน่งที่สองในสามลีก
1016,3 เหรียญทองแดง,ประสบความสำเร็จในอันดับสามในสามลีก
1017,5 แชมป์,บรรลุ 5 ชื่อลีก
1018,เหรียญเงิน 5 เหรียญ,บรรลุอันดับที่สองในห้าลีก
1019,5 เหรียญทองแดง,บรรลุอันดับที่สามในห้าลีก
1020,ฤดูกาลแรก,กำหนดเส้นตายฤดูกาลแรก
1021,ฤดูกาลที่สาม,กำหนดเส้นตายฤดูกาลที่สาม
1022,ฤดูกาลที่ห้า,กำหนดเส้นตายฤดูกาลที่ห้า
1023,ฤดูที่สิบ,กำหนดเส้นตายฤดูกาลที่ 10
1024,6 รางวัลรายวัน,รางวัล 6 นัดวันนี้
1025,ความสำเร็จอันดับเงิน,บรรลุอันดับเงินที่หลากหลาย
1026,ความสำเร็จอันดับทองคำ,บรรลุอันดับ Gold Multiplay
1027,ความสำเร็จอันดับแพลทินัม,บรรลุอันดับแพลทินัมของผู้เล่นหลายคน
1028,ความสำเร็จอันดับเพชร,บรรลุอันดับเพชรที่มีการเล่นซ้ำ
1029,ความสำเร็จอันดับต้นแบบ,บรรลุอันดับ Multiplay Master
1030,ความสำเร็จของผู้ท้าชิง,บรรลุอันดับของผู้ท้าชิงที่หลากหลาย
1031,ขีด จำกัด การแข่งขันประจำวัน,จำนวนการแข่งขันต่อวันที่คุณสามารถรับสาระสำคัญ
