teamID,Dec
1000000.0,เอาชนะทีม KR ลีกทั้งหมดในฤดูกาล 18
1000001.0,เอาชนะทีมคคลีกทั้งหมดในฤดูใบไม้ผลิ 19 ฤดู
1000002.0,เอาชนะทีมคอร์คลีกทั้งหมดในฤดูร้อน 19
1000003.0,เอาชนะทีม TOP10 Season 19 Season ทั้งหมด
1000004.0,เอาชนะทีมคคลีกทั้งหมดในฤดูใบไม้ผลิ 20 ฤดูกาล
1000005.0,เอาชนะทีมลีกสหภาพยุโรปทั้งหมดในฤดูใบไม้ผลิ 20 ฤดู
1000006.0,เอาชนะทีม NA League ทั้งหมดในฤดูใบไม้ผลิ 20 ฤดู
1000007.0,เอาชนะทีมคอร์คลีกทั้งหมดในฤดูร้อน 20
1000008.0,เอาชนะทีมลีกสหภาพยุโรปทั้งหมดในฤดูร้อน 20 ฤดู
1000009.0,เอาชนะทีม NA League ทั้งหมดในฤดูร้อน 20
1000010.0,เอาชนะทีม Top10 ของการแข่งขันหลายครั้งที่ 20
1000011.0,เอาชนะทีม KR ลีกทั้งหมดในฤดูกาลฤดูใบไม้ผลิ 21
1000012.0,เอาชนะทีมสหภาพยุโรปลีกทั้งหมดในฤดูกาล 21 ฤดูใบไม้ผลิ
1000013.0,เอาชนะทีม NA League ทั้งหมดในฤดูใบไม้ผลิ 21 ฤดู
1000014.0,เอาชนะทีม Multi Match 21-1 Season ทั้งหมด
1000015.0,เอาชนะทีม Multi Matter 21-2 ทุกฤดูกาล
1000016.0,เอาชนะทีม CN League ทั้งหมดในฤดูใบไม้ผลิ 21
1000017.0,เอาชนะทีมคอร์คลีกทั้งหมดในฤดูร้อน 21
1000018.0,เอาชนะทีมลีกสหภาพยุโรปทั้งหมดในฤดูร้อน 21
1000019.0,เอาชนะทีม NA League ทั้งหมดในฤดูร้อน 21
1000020.0,เอาชนะทีม CN League ทั้งหมดในฤดูร้อน 21
1000021.0,เอาชนะทีมที่มีการแข่งขันหลายครั้งที่ 21-3 Season Top10 ทั้งหมด
1000022.0,เอาชนะทีม MALTION MATCH ทั้งหมด 22-1 Season 10 ทีม
1000023.0,เอาชนะทีม NA League ทั้งหมดใน 22 ฤดูใบไม้ผลิ
1000024.0,เอาชนะทีม NA League ทั้งหมดใน 22 ฤดูใบไม้ผลิ
1000025.0,เอาชนะทีม NA League ทั้งหมดใน 22 ฤดูใบไม้ผลิ
