ID,Name,Dec
1000.0,Recrutamento de ouro,Recrute 1 jogador aleatório com um estatuto combinado acima de 81.
1001.0,Pacote de ouro,Recrute 5 jogadores aleatórios com um estatuto combinado acima de 81.
1002.0,Recrutamento de jogadores,Recrute 1 jogador aleatório.
1003.0,Recrutamento de prata,Recrute 1 jogador aleatório com um estatuto combinado acima de 76.
1004.0,Recrutamento de ouro,Recrute 1 jogador aleatório com um estatuto combinado acima de 81.
1005.0,Recrutamento de platina,Recrute 1 jogador aleatório com um GPA combinado de 84 ou superior.
1006.0,Pacote básico,Recrute 5 jogadores aleatórios.
1007.0,Pacote de prata,Recrute 5 jogadores aleatórios com um estatuto combinado acima de 76.
1008.0,Pacote de ouro,Recrute 5 jogadores aleatórios com um estatuto combinado acima de 81.
1009.0,Pacote de platina,Recrute 5 jogadores aleatórios com um GPA combinado de 84 ou superior.
1010.0,2021 recrutamento de estaasta,Recrute 1 jogador aleatório da temporada 21sum.
1011.0,Pacote 2021season, (Não incluindo limitação)
1012.0,Recrutamento de estação anterior,Recrute 5 jogador aleatório da temporada 21sum.
1013.0,Pacote de temporada anterior, (Não incluindo limitação)
1014.0,Önceki Sezon İşe Alım,18-20sum sezonundan 5 rastgele oyuncu işe alındı.
1015.0,Önceki Sezon Paketi, (Sınırlama dahil değil)
1012.0,Önceki Sezon İşe Alım,18-20sum sezonundan bir rastgele oyuncu işe alındı.
1013.0,Önceki Sezon Paketi, (Sınırlama dahil değil)
1016.0,Antrenör işe alım,18-20sum sezonundan bir rastgele oyuncu işe alındı.
1017.0,Takım adını değiştir, (Sınırlama dahil değil)
