ID,Dec
10000,สวัสดี ยินดีที่ได้รู้จัก.
10001,ด้วยการสนับสนุนของผู้จัดการ} เขาสร้างทีมใหม่ใน Roll League
10002,โปรดตั้งชื่อทีมของคุณก่อน
10003,มาทำให้ทีม AAA เป็นประวัติศาสตร์
10004,นี่คือการแข่งขันครั้งแรกของลีก
10005,ที่นี่คุณสามารถดูข้อมูลของทีมงานของเราและทีมอื่น ๆ ก่อนการแข่งขัน
10006,ทีมปัจจุบันมีผู้เล่นสมัครใช้งานแล้ว
10007,แต่คุณต้องมีผู้เล่นจำนวนมากที่จะชนะ
10008,มารับผู้เล่นใหม่ก่อนการแข่งขันกันก่อน
10009,แตะตลาดการสรรหา
10010,คุณสามารถรับสมัครผู้เล่นใหม่ด้วยสาระสำคัญที่คุณมีในตลาดการสรรหา
10011,เรามาจ้างผู้เล่นใหม่ด้วยสาระสำคัญที่เรามีตอนนี้
10012,กดปุ่มซื้อผู้เล่น
10013,เรามีผู้เล่นใหม่
10014,ทีมยังไม่สามารถแข่งขันได้ มาจ้างผู้เล่นที่ดีกว่าเพื่อปรับปรุงความสามารถในการแข่งขันของเรา
10015,มีสาระสำคัญไม่เพียงพอที่จะรับสมัครผู้เล่นที่ดี ในกรณีนี้} คุณสามารถรับจำนวนเต็มโดยใช้สปอนเซอร์
10016,ดูโฆษณาวิดีโอของสปอนเซอร์ทั้งหมด} เพื่อรับรางวัล
10017,ในขั้นต้น} โฆษณาที่ได้รับการสนับสนุนมีการเตรียมพร้อมเป็นพิเศษที่จะได้รับรางวัลมากกว่า 50%
10018,กดโฆษณาสนับสนุน
10019,สปอนเซอร์ส่งจำนวนเต็มให้เรา ตอนนี้เรามารับผู้เล่นใหม่ด้วยจำนวนเต็มนี้
10020,กรุณากดปุ่มซื้อ
10021,เรามีผู้เล่นใหม่
10022,ตอนนี้ลองเล่นผู้เล่นใหม่กัน
10023,กดปุ่มการจัดการผู้เล่น
10024,ในการจัดการผู้เล่น} คุณสามารถเลือกผู้เล่นผู้สมัคร
10025,กดปุ่ม Swap เพื่อลองผู้สมัคร
10026,การกดแทนที่จะทำให้ผู้เล่นที่เลือกเป็นผู้เล่นเริ่มต้นและผู้เล่นที่มีอยู่จะได้รับการเสนอชื่อ
10027,ยัง} ขึ้นอยู่กับองค์ประกอบของผู้เริ่มต้น} เอฟเฟกต์เพิ่มเติมสามารถรับได้
10028,กดปุ่ม
10029,คุณสามารถค้นหาข้อมูลเกี่ยวกับ Tim Chemie ได้ที่นี่
10030,คุณสามารถทำให้ทีมของคุณแข็งแกร่งขึ้นโดยการจับคู่เคมีที่แตกต่างกันเช่นประเภทและทีม
10031,กด X เพื่อออก
10032,ตอนนี้ลองเปลี่ยนผู้เล่นที่ไม่ต้องการกับผู้เล่นอื่น
10033,ลองกด recombination
10034,ที่นี่คุณสามารถแทนที่ผู้สมัครสี่คนกับผู้เล่นใหม่
10035,ชั่วคราวฉันให้ผู้เล่นสี่คน มารวมตัวกันใหม่ผู้เล่นเหล่านี้
10036,กดปุ่มเพิ่ม
10037,กดปุ่มเพิ่ม
10038,กดปุ่มเพิ่ม
10039,กดปุ่มเพิ่ม
10040,ใส่ผู้เล่นทั้งสามคน ตอนนี้ลองเปลี่ยนเป็นผู้เล่นใหม่
10041,คุณสามารถตรวจสอบข้อมูลความสามารถของผู้เล่นได้จากข้อมูลการสรรหา
10042,ตอนนี้รับผู้เล่น
10043,ลองกด recombination
10044,วิธีนี้คุณสามารถแทนที่ผู้เล่นที่มีอยู่กับผู้เล่นใหม่
10045,ตอนนี้มาเล่นกับผู้เล่นเหล่านี้กันเถอะ
10046,กดปุ่มจับคู่
10047,กดปุ่มความคืบหน้าของเกม
10048,เกมเริ่มขึ้นแล้ว
10049,ให้ความไว้วางใจผู้เล่นและดูเกม
10050,เช่นนี้} เมื่อเกมจบ} คุณจะได้รับประสบการณ์และจำนวนเต็ม
10051,ไม่สามารถรับเอสเซ้นได้หากเกินขีด จำกัด การจับคู่รายวัน
10052,กดปุ่มดำเนินการต่อเพื่อออกจากสนามกีฬา
10053,เกมแรกจบลงแล้ว
10054,ผู้เล่นมีความสำคัญต่อการชนะ} แต่กลยุทธ์ผู้จัดการก็มีความสำคัญเช่นกัน
10055,กดปุ่มกลยุทธ์
10056,การตั้งค่าด่วนทำให้ง่ายต่อการตั้งค่ากลยุทธ์ที่สำคัญ
10057,ยอดคงเหลือตอนนี้เป็นกลยุทธ์พื้นฐาน
10058,ลองเปลี่ยนการตั้งค่ากัน
10059,คลิกที่บรรทัด / จัดการ
10060,การจับคู่สาย / การดำเนินงานเป็นกลยุทธ์ที่จบเกมโดยการดำเนินงานที่ได้รับจากการแข่งขันในบรรทัด
10061,มาเปลี่ยนกลยุทธ์เพื่อดำเนินการตามบรรทัดกัน
10062,กดปุ่มการตั้งค่า
10063,กลยุทธ์ของทีมได้เปลี่ยนไปพร้อมกับการทำงานแบบบรรทัด
10064,การตั้งค่าด่วนนี้ทำให้ง่ายต่อการเปลี่ยนกลยุทธ์ของทีมของคุณ
10065,การตั้งค่าโดยละเอียดสามารถตั้งค่าผ่านคำแนะนำและ Pickvan
10066,ตอนนี้ลองทดสอบกลยุทธ์ของเรา
10067,กดปุ่มจับคู่
10068,เรามาดูกันว่าจะใช้รายการจับคู่ได้อย่างไรก่อนดำเนินการแข่งขัน
10069,! กดปุ่ม.
10070,ฉันได้ยินไอเท็มประสบการณ์เพิ่มเติม 10% เป็นของขวัญ
10071,โปรดตรวจสอบการใช้งาน
10072,หากคุณตรวจสอบการใช้งานคุณจะใช้รายการที่เกี่ยวข้องในการแข่งขันในอนาคต
10073,หากมีหลายรายการคุณสามารถตรวจสอบอัตโนมัติเพื่อใช้รายการโดยอัตโนมัติ
10074,รายการประเภทเดียวกันไม่สามารถใช้ซ้ำได้
10075,กด X เพื่อออก
10076,ลองตรวจสอบกลยุทธ์และรายการกัน
10077,กดปุ่มความคืบหน้าของเกม
10078,หลังจากการแข่งขันครั้งนี้ระดับของผู้จัดการก็เพิ่มขึ้น
10079,ในฐานะที่เป็นระดับผู้จัดการเพิ่มขึ้นคุณจะได้รับสาระสำคัญพิเศษเช่นนี้
10080,คุณสามารถรับเอสเซ้นส์พิเศษจากระดับผู้จัดการโดยไม่คำนึงถึงขีด จำกัด การแข่งขันประจำวัน
10081,กดปุ่มดำเนินการต่อเพื่อออกจากสนามกีฬา
10082,ผู้เล่นบางคนได้รับการปรับระดับโดยการได้รับประสบการณ์ในการแข่งขันนี้
10083,ผู้เล่นที่ระดับขึ้นสามารถเพิ่มสถิติของพวกเขา
10084,กดการจัดการเครื่องเล่น
10085,นักกีฬาที่มีเลเวลอัพมีเครื่องหมายลูกศรในระดับ
10086,แตะระดับของผู้เล่นเพื่อยกสถิติ
10087,ที่นี่คุณสามารถเพิ่มสถิติที่คุณต้องการตามคะแนน
10088,คุณสามารถเพิ่มสถิติโดยแตะลูกศรของสถิติที่ต้องการ
10089,แตะสถิติที่คุณต้องการและการตัดสินใจแตะ
10090,สิ่งนี้จะเพิ่มความสามารถของผู้เล่น
10091,กด X เพื่อออก
10092,นักกีฬาสามารถทำให้แข็งแกร่งขึ้นโดยการปรับระดับและเสริมสร้างความเข้มแข็งเช่นนี้
10093,มาทำให้ผู้เล่นแข็งแกร่งขึ้นโดยเสริมกำลัง
10094,กดปุ่มเสริมแรง
10095,การเสริมแรงทำให้ผู้เล่นแข็งแกร่งขึ้นผ่านผู้เล่นคนเดียวกัน
10096,คราวนี้} เรามาเริ่มต้นใหม่ผู้เล่นที่ฉันให้คุณ
10097,ลองกดปุ่ม▼
10098,กดปุ่มเพื่อพับรายการเริ่มต้น กดปุ่มเพื่อดูรายการที่ใหญ่กว่าของผู้เล่นย่อย
10099,ตอนนี้ลองเพิ่มผู้เล่น
10100,กดปุ่มเพิ่ม
10101,หากผู้เล่นถูกเพิ่ม} มีเพียงผู้เล่นเดียวกันเท่านั้นที่มองเห็นได้
10102,กดปุ่มเพิ่ม
10103,ในฐานะที่เป็นสิ่งที่ผู้เล่นจะถูกเพิ่ม} คุณสามารถเห็นโอกาสประสบความสำเร็จ
10104,ความน่าจะเป็นของความสำเร็จนั้นพิจารณาจากความแตกต่างระหว่างระดับการเสริมแรงและระดับการเสริมแรง
10105,กดปุ่ม ReinSFRECE
10106,หากคุณเริ่มต้นเช่นนี้}} สิ่งที่ผู้เล่นจะหายไป
10107,ความล้มเหลวในการทำเช่นนั้นไม่ทำให้ผู้เล่นหลักหายไปหรือสูญเสียชั้นเรียน
10108,ตอนนี้ลองตรวจสอบข้อมูลลีกครั้งสุดท้ายกันเถอะ
10109,กดปุ่มลีก
10110,กดปุ่มกำหนดการ
10111,คุณสามารถตรวจสอบตารางลีกสำหรับทีมของคุณที่นี่
10112,กดปุ่ม RAND
10113,ที่นี่คุณสามารถเห็นอันดับลีก
10114,กดปุ่มทัวร์นาเมนต์
10115,ที่นี่คุณสามารถตรวจสอบรอบตัดเชือกหลังจากลีกปกติสิ้นสุดลงแล้ว
10116,W คือการจัดอันดับเพื่อความก้าวหน้าสู่การแข่งขันชิงแชมป์โลก
10117,การแข่งขันชิงแชมป์โลกจัดขึ้นในตอนท้ายของลีกปกติ
10118,คุณสามารถแข่งขันกับทีมชั้นนำในลีกอื่น ๆ และรับรางวัลที่สูงขึ้น
10119,กดปุ่ม SET
10120,ที่ที่คุณต้องการลีก
10121,คุณสามารถตั้งค่าระดับความยากและเริ่มลีกใหม่
10122,โดยการเลือกลีกและความยากลำบากคุณสามารถดูรางวัลที่เปลี่ยนแปลงและความสามารถของทีมลีก
10123,เลือกลีกและระดับความยากของคุณและกดปุ่ม START New League
10124,คุณสามารถเริ่มต้นลีกใหม่แบบนี้
10125,ตอนนี้ทุกอย่างพร้อมแล้ว
10126,ในที่สุด} ผู้จัดการส่งสาระสำคัญให้เรา
10127,มาสร้างผู้ชนะ AAA League กันเถอะ!
10128,สวัสดี ยินดีต้อนรับสู่เกม Multi Match
10129,ที่นี่คุณสามารถเล่นคู่โค้ชอื่น ๆ
10130,ที่นี่คุณสามารถดูคะแนนของทีมของคุณ} คะแนนและการจับคู่ DATAS
10131,กดปุ่มข้อมูลรางวัล
10132,ที่นี่คุณสามารถค้นหาข้อมูลเกี่ยวกับรางวัลของการแข่งขันหลายครั้ง
10133,บนโต๊ะเทียร์} มีหกระดับของบรอนซ์} เงิน} ทองคำ} ทองคำขาว} เพชร} หลัก} Celinger
10134,ครั้งแรกที่คุณเริ่มต้น} คุณเริ่มต้นด้วยชั้นทองสัมฤทธิ์
10135,การยกระดับของคุณจะให้สาระสำคัญแก่คุณด้านบน
10136,และคุณสามารถรับโบนัสเอสเซ้นส์ในตอนท้ายของการแข่งขันโดยเปอร์เซ็นต์ที่ระบุด้านล่าง
10137,ฉันจะอธิบายฤดูกาล
10138,ฤดูกาลรีเซ็ตเทียร์และเริ่มเกมใหม่หลังจากระยะเวลาที่แน่นอน
10139,เมื่อฤดูกาลใหม่เริ่มต้นขึ้นคุณจะได้รับรางวัลตามฤดูกาลที่ผ่านมา
