teamID,Dec
1000000,Đánh bại tất cả các đội KR League trong giai đoạn 18.
1000001,Đánh bại tất cả các đội KR League trong mùa xuân 19.
1000002,Đánh bại tất cả các đội KR League trong mùa hè 19.
1000003,Đánh bại tất cả các đội Top10 Multi Multi Match 19.
1000004,Đánh bại tất cả các đội KR League trong mùa xuân 20 đội.
1000005,Đánh bại tất cả các đội League của EU trong mùa xuân 20 đội.
1000006,Đánh bại tất cả các đội Na League trong mùa xuân 20 đội.
1000007,Đánh bại tất cả các đội KR League trong mùa hè 20.
1000008,Đánh bại tất cả các đội League EU trong mùa hè 20.
1000009,Đánh bại tất cả các đội Na League trong mùa hè 20.
1000010,Đánh bại tất cả các đội Multi Match 20 Season Top10.
1000011,Đánh bại tất cả các đội KR League trong mùa xuân 20 đội.
1000012,Đánh bại tất cả các đội League của EU trong mùa xuân 20 đội.
1000013,Đánh bại tất cả các đội Na League trong mùa xuân 20 đội.
1000014,Đánh bại tất cả các đội Multi Match 20-1 mùa.
