ID,Dec
10000,Chào. Rất vui được gặp bạn.
10001,Với sự hỗ trợ của người quản lý} Ông đã tạo ra một đội mới trong League.
10002,Vui lòng đặt tên cho nhóm của bạn đầu tiên.
10003,Hãy làm cho đội AAA vào lịch sử.
10004,Đây là trận đấu đầu tiên của League.
10005,Ở đây bạn có thể thấy thông tin của nhóm của chúng tôi và các đội khác trước trận đấu.
10006,Nhóm hiện tại đã có một người chơi đăng ký.
10007,Nhưng bạn cần rất nhiều người chơi để giành chiến thắng.
10008,Hãy lấy một người chơi mới trước khi trận đấu.
10009,Khai thác thị trường tuyển dụng
10010,Bạn có thể tuyển dụng người chơi mới với bản chất bạn có trong thị trường tuyển dụng.
10011,Hãy thuê một người chơi mới với bản chất chúng ta có bây giờ.
10012,Nhấn nút Mua Người chơi.
10013,Chúng tôi có một người chơi mới.
10014,Đội vẫn không cạnh tranh. Hãy thuê một người chơi tốt hơn để cải thiện khả năng cạnh tranh của chúng tôi.
10015,"Không có đủ tinh chất để tuyển dụng một người chơi giỏi. Trong trường hợp này}, bạn có thể nhận được một số nguyên sử dụng một nhà tài trợ."
10016,Xem tất cả quảng cáo video của nhà tài trợ} để kiếm phần thưởng.
10017,Ban đầu} Quảng cáo được tài trợ đặc biệt được chuẩn bị để nhận thêm 50% phần thưởng.
10018,Báo chí quảng cáo được tài trợ.
10019,Nhà tài trợ đã gửi cho chúng tôi một số nguyên. Bây giờ hãy để một người chơi mới với số nguyên này.
10020,Vui lòng nhấn nút MUA.
10021,Chúng tôi có một người chơi mới.
10022,Bây giờ hãy thử một người chơi mới.
10023,Nhấn nút quản lý trình phát.
10024,"Trong quản lý trình phát}, bạn có thể chọn một trình phát ứng viên."
10025,Nhấn nút hoán đổi để thử ứng cử viên.
10026,Nhấn Thay thế sẽ làm cho trình phát đã chọn trở thành người chơi bắt đầu và trình phát hiện tại sẽ được đề cử.
10027,Ngoài ra} tùy thuộc vào thành phần của người mới bắt đầu} có thể thu được hiệu ứng bổ sung.
10028,Nhấn nút
10029,Bạn có thể tìm thấy thông tin về Tim Chemie ở đây.
10030,Bạn có thể làm cho nhóm của bạn mạnh hơn bằng cách phù hợp với các hóa chất khác nhau như loại và nhóm.
10031,Nhấn X để thoát.
10032,Bây giờ hãy thay đổi người chơi không cần thiết cho người chơi khác.
10033,Hãy thử nhấn tái hợp.
10034,Ở đây bạn có thể thay thế bốn ứng cử viên bằng những người chơi mới.
10035,Tạm thời tôi đã cho bốn người chơi. Hãy kết hợp lại những người chơi này.
10036,Nhấn nút Thêm.
10037,Nhấn nút Thêm.
10038,Nhấn nút Thêm.
10039,Nhấn nút Thêm.
10040,Đặt cả ba người chơi. Bây giờ hãy thay đổi thành một người chơi mới.
10041,Bạn có thể kiểm tra thông tin khả năng của người chơi từ thông tin tuyển dụng.
10042,Bây giờ có được người chơi.
10043,Hãy thử nhấn tái hợp.
10044,"Bằng cách này, bạn có thể thay thế những người chơi hiện có bằng người chơi mới."
10045,Bây giờ hãy chơi với những người chơi này.
10046,Nhấn nút khớp
10047,Nhấn nút Tiến trình trò chơi.
10048,Trò chơi đã bắt đầu.
10049,Hãy tin tưởng những người chơi và xem trò chơi.
10050,"Như thế này} khi trò chơi kết thúc}, bạn có thể nhận được kinh nghiệm và số nguyên."
10051,Tinh chất không thể có được nếu vượt quá giới hạn khớp hàng ngày.
10052,Nhấn nút Tiếp tục để thoát khỏi sân vận động.
10053,Trò chơi đầu tiên đã kết thúc.
10054,Người chơi rất quan trọng để chiến thắng} nhưng chiến lược quản lý cũng rất quan trọng.
10055,Nhấn nút Chiến lược.
10056,Thiết lập nhanh giúp bạn dễ dàng thiết lập các chiến lược chính.
10057,Cân bằng bây giờ là chiến lược cơ bản.
10058,Hãy thay đổi cài đặt.
10059,Nhấp vào LINE / Manage.
10060,Trận đấu / hoạt động của dòng là một chiến lược kết thúc trò chơi bằng cách vận hành các lợi ích được nhìn thấy trong trận đấu phù hợp.
10061,Hãy thay đổi chiến lược để vận hành đường dây.
10062,Nhấn nút Cài đặt
10063,Chiến lược của đội hiện đã thay đổi với dòng chảy để chạy.
10064,Thiết lập nhanh này giúp bạn dễ dàng thay đổi chiến lược của nhóm.
10065,Cài đặt chi tiết có thể được đặt thông qua các hướng dẫn và Pickvan.
10066,Bây giờ hãy kiểm tra chiến lược của chúng tôi.
10067,Nhấn nút khớp
10068,Hãy xem cách sử dụng các mặt hàng trận đấu trước khi tiến hành trận đấu.
10069,! Nhấn nút.
10070,Tôi đã nghe một mục kinh nghiệm bổ sung 10% như một món quà.
10071,Vui lòng kiểm tra việc sử dụng.
10072,"Nếu bạn kiểm tra sử dụng, bạn sẽ sử dụng mục tương ứng trong các trận đấu trong tương lai."
10073,"Nếu có nhiều mục, bạn có thể kiểm tra tự động để tự động sử dụng các mục."
10074,Các mục cùng loại không thể được sử dụng nhiều lần.
10075,Nhấn X để thoát.
10076,Bây giờ hãy kiểm tra các chiến lược và vật phẩm.
10077,Nhấn nút Tiến trình trò chơi
10078,"Sau trận đấu này, cấp độ của người quản lý đã tăng lên."
10079,"Khi cấp độ người quản lý tăng lên, bạn sẽ có thêm một bản chất như thế này."
10080,Bạn có thể nhận thêm tinh chất từ cấp độ quản lý bất kể giới hạn trận đấu hàng ngày.
10081,Nhấn nút Tiếp tục để thoát khỏi sân vận động.
10082,Một số người chơi đã được tăng cấp bằng cách đạt được kinh nghiệm trong trận đấu này.
10083,Người chơi tăng cấp có thể tăng số liệu thống kê của họ.
10084,Quản lý người chơi báo chí.
10085,Các vận động viên đã lên cấp có một dấu mũi tên trên cấp độ.
10086,Nhấn vào mức độ của người chơi để nâng các chỉ số.
10087,Ở đây bạn có thể tăng số liệu thống kê mong muốn của bạn theo điểm.
10088,Bạn có thể tăng chỉ số bằng cách nhấn vào mũi tên của stat mong muốn.
10089,Nhấn vào số liệu thống kê mong muốn của bạn và nhấn quyết định.
10090,Điều này sẽ tăng khả năng của người chơi.
10091,Nhấn X để thoát.
10092,Các vận động viên có thể được làm cho mạnh mẽ hơn bằng cách san lấp và tăng cường như thế này.
10093,Hãy làm cho người chơi mạnh hơn bằng cách củng cố.
10094,Nhấn nút củng cố.
10095,Củng cố làm cho người chơi mạnh hơn thông qua cùng một người chơi.
10096,Lần này} Hãy phục hồi công ty tôi đã cho bạn.
10097,Hãy thử nhấn nút.
10098,Nhấn nút để gập danh sách bắt đầu. Nhấn nút để xem danh sách lớn hơn các trình phát phụ.
10099,Bây giờ hãy thử thêm một người chơi.
10100,Nhấn nút Thêm.
10101,Nếu một người chơi được thêm} chỉ có thể nhìn thấy cùng một người chơi.
10102,Nhấn nút Thêm.
10103,"Như những người chơi được thêm vào}, bạn có thể thấy cơ hội thành công."
10104,Xác suất thành công được xác định bởi sự khác biệt giữa mức cốt thép và mức cốt thép.
10105,Nhấn nút ReMfroce.
10106,Nếu bạn tái sinh như thế này} Người chơi công cụ biến mất.
10107,Không làm như vậy không làm cho người chơi chính biến mất hoặc mất lớp.
10108,Bây giờ hãy kiểm tra thông tin liên minh.
10109,Nhấn nút LEAGUE.
10110,Nhấn nút Lịch trình.
10111,Bạn có thể kiểm tra lịch trình giải đấu cho nhóm của bạn tại đây.
10112,Nhấn nút Xếp hạng.
10113,Ở đây bạn có thể thấy bảng xếp hạng giải đấu.
10114,Nhấn nút giải đấu
10115,Ở đây bạn có thể kiểm tra vòng playoffs sau khi giải đấu thông thường kết thúc.
10116,W là thứ hạng cho sự tiến bộ cho Giải vô địch thế giới.
10117,Giải vô địch thế giới được tổ chức vào cuối giải đấu thường xuyên.
10118,Bạn có thể cạnh tranh với các đội hàng đầu trong các giải đấu khác và nhận được phần thưởng cao hơn.
10119,Nhấn nút SET.
10120,Nơi bạn muốn giải đấu
10121,Bạn có thể đặt mức độ khó và bắt đầu một giải đấu mới.
10122,"Bằng cách chọn một giải đấu và khó khăn, bạn có thể thấy phần thưởng đã thay đổi và khả năng của đội tuyển giải đấu."
10123,Chọn mức độ giải đấu và khó khăn của bạn và nhấn nút Bắt đầu giải đấu mới.
10124,Bạn có thể bắt đầu một giải đấu mới như thế này.
10125,Bây giờ mọi thứ đã sẵn sàng.
10126,Cuối cùng} Người quản lý đã gửi cho chúng tôi bản chất.
10127,Hãy làm cho người chiến thắng giải đấu AAA!
10128,Chào. Chào mừng bạn đến với trò chơi nhiều trận đấu.
10129,Ở đây bạn có thể chơi các huấn luyện viên khác.
10130,Tại đây bạn có thể thấy xếp hạng của nhóm của bạn} điểm và kết hợp dữ liệu.
10131,Nhấn nút THÔNG TIN THƯỞNG.
