ID,Name,Dec
1000,每日登录奖励,登录今天奖励
1001,3每日奖励,今天的3场比赛奖励
1002,支持,您可以通过锥体赞助开发人员。
1003,审查,请审查，我们会奖励你。
1004,教程完整,完整的教程
1005,银色等级成就,实现多戏银色等级
1006,黄金等级成就,实现多戏金等级
1007,铂级别成就,实现乘法铂级别
1008,钻石等级成就,实现多戏钻石等级
1009,大师等级成就,实现多戏主排名
1010,挑战者成就,实现多戏挑战者等级
1011,联赛冠军,在联盟中实现了第一名
1012,银牌,在联盟中实现了第二名
1013,铜牌,在联盟中实现了第三位
1014,3个冠军,达到3个联赛标题
1015,3银牌,在三个联赛中实现了第二名
1016,3铜奖奖牌,在三个联赛中实现了第三位
1017,5冠军,达到5个联赛标题
1018,5银牌,在五个联赛中实现第二名
1019,5铜奖奖牌,在五个联赛中实现第三名
1020,第一季,第一季截止日期
1021,第三季,第三季截止日期
1022,第五季,第五季截止日期
1023,十个季节,第10赛季截止日期
1024,6每日奖励,今天的6场比赛奖励
1025,银色等级成就,实现多戏银色等级
1026,黄金等级成就,实现多戏金等级
1027,铂级别成就,实现乘法铂级别
1028,钻石等级成就,实现多戏钻石等级
1029,大师等级成就,实现多戏主排名
1030,挑战者成就,实现多戏挑战者等级
1031,每日比赛限制,您可以获得本质的每天的比赛数
