ID,Dec
1000000,在18个赛季中击败所有KR联赛球队。
1000001,在19个春季击败所有KR联赛球队。
1000002,在19个夏季击败所有KR联赛球队。
1000003,击败所有多场比赛19赛季Top10球队。
1000004,在20个春季击败所有KR联赛球队。
1000005,在20个春季击败所有欧盟联赛球队。
1000006,在20个春季击败所有NA联赛球队。
1000007,在20个夏季击败所有KR联赛球队。
1000008,在20个夏季，击败了所有欧盟联赛球队。
1000009,在20个夏季击败所有NA联赛球队。
1000010,击败所有多场比赛20赛季Top10球队。
1000011,在21个春季击败所有KR联赛球队。
1000012,在21个春季击败所有欧盟联赛球队。
1000013,在21个春季击败所有NA联赛球队。
1000014,击败所有多场比赛21-1赛季Top10球队。
1000015,击败所有多比赛21-2赛季Top10球队。
1000016,在21个春季击败所有CN联赛球队。
1000017,在21个夏季击败所有KR联赛球队。
1000018,在21个夏季击败所有欧盟联赛球队。
1000019,在21个夏季击败所有NA联赛球队。
1000020,在21个夏季击败所有CN联赛球队。
1000021,击败所有多场比赛21-3赛季Top10球队。
1000022,击败所有多场比赛22-1赛季Top10球队。
1000023,在22个春季击败所有KR联赛球队。
1000024,在22个春季击败所有欧盟联赛球队。
1000025,在22个春季击败所有NA联赛球队。
1000026,击败所有多场比赛22-2赛季Top10球队。
1000027,击败所有多场比赛22-3赛季Top10球队。
1000028,击败所有多场比赛22-4赛季Top10球队。
1000029,在22个夏季击败所有KR联赛球队。
1000030,在22个夏季击败所有欧盟联赛球队。
1000031,在22个夏季击败所有NA联赛球队。
1000032,击败所有多场比赛23-1赛季Top10球队。
1000033,击败所有多场比赛23-2赛季Top10球队。
1000034,在23个春季击败所有KR联赛球队。
1000035,在23个春季击败所有欧盟联赛球队。
1000036,在23个春季击败所有NA联赛球队。
1000037,击败所有多场比赛23-3赛季Top10球队。
1000038,在23个夏季，打败了所有KR联赛球队。
1000039,在23个夏季，打败了所有欧盟联赛球队。
1000040,在23个夏季，打败了所有NA联赛球队。
1000041,击败所有多场比赛23-4赛季Top10球队。
1000042,击败所有多场比赛24-1赛季Top10球队。
1000043,击败所有多场比赛24-2赛季Top10球队。
1000044,在24个春季击败所有KR联赛球队。
1000045,在24个春季击败所有欧盟联赛球队。
1000046,在24个春季击败所有NA联赛球队。
