ID,Name,Dec
1000,招募黄金,招募1个随机播放器，其组合统计数据高于81。
1001,黄金包,招募5个随机企业，其统计数据超过81。
1002,球员招募,招募1个随机玩家。
1003,银牌招募,招募1个随机播放器，其组合统计数在76以上。
1004,招募黄金,招募1个随机播放器，其组合统计数据高于81。
1005,白金招募,招募1个随机播放器的GPA合并为84或更高。
1006,基本软件包,招募5名随机玩家。
1007,银包,招募5名随机玩家，其统计数据以上是76。
1008,黄金包,招募5个随机企业，其统计数据超过81。
1009,铂金包,招募5名随机玩家，其总GPA为84或更高。
1010,2021年季节招募,从21SPR-21SUM赛季招募1名随机球员。
1011,2021季节包, （不包括限制）
1012,2022季节招募,从21SPR-21SUM赛季中招募5名随机球员。
1013,2022季节包, （不包括限制）
1014,2023季节招募,从22SPR-22SUM赛季中招募1名随机球员。
1015,2023季节套餐, （不包括限制）
1016,上个赛季招募,从22SPR-22SUM赛季中招募5名随机球员。
1017,上个季节套餐, （不包括限制）
1018,教练招聘,从23SPR-23SUM赛季中招募1名随机球员。
1019,更改团队名称, （不包括限制）
