ID,Dec
10000,你好。 很高兴认识您。
10001,在经理的支持下}他在LOL联盟中创建了一个新团队。
10002,请先命名您的团队。
10003,让我们成为AAA团队进入历史。
10004,这是联盟的第一场比赛。
10005,在这里，您可以在比赛前查看我们的团队和其他团队的信息。
10006,当前的团队已经有一个球员注册。
10007,但是您需要很多球员才能获胜。
10008,让我们在比赛前先获得一个新球员。
10009,点击招聘市场
10010,您可以通过招聘市场中的本质招募新玩家。
10011,让我们聘请一个新玩家，以我们现在拥有的本质。
10012,按“购买播放器”按钮。
10013,我们有一个新球员。
10014,团队仍然没有竞争力。 让我们聘请更好的球员来提高我们的竞争力。
10015,没有足够的本质来招募优秀的球员。 在这种情况下}您可以使用赞助商获得整数。
10016,查看所有赞助商的视频广告}以赢得奖励。
10017,最初}赞助广告已准备好获得50％的奖励。
10018,按赞助广告。
10019,赞助商给我们发送了一个整数。 现在，让我们使用这个整数来获得一个新的播放器。
10020,请按购买按钮。
10021,我们有一个新球员。
10022,现在让我们尝试一个新玩家。
10023,按播放器管理按钮。
10024,在播放器管理中}您可以选择一个候选播放器。
10025,按交换按钮尝试候选。
10026,按替换将使选定的播放器成为启动播放器，现有播放器将被提名。
10027,同样，取决于起动器的组成}可以获得其他效果。
10028,按按钮
10029,您可以在此处找到有关蒂姆·塞米（Tim Chemie）的信息。
10030,您可以通过匹配类型和团队等不同的化学成分来使团队更强大。
10031,按X到退出。
10032,现在，让我们更改不需要的球员。
10033,尝试按重组。
10034,在这里，您可以用新玩家替换四个候选人。
10035,暂时我给了四个球员。 让我们重组这些球员
10036,按添加按钮。
10037,按添加按钮。
10038,按添加按钮。
10039,按添加按钮。
10040,放所有三个球员。 现在让我们更改为新玩家。
10041,您可以从招聘信息中检查玩家的能力信息。
10042,现在得到玩家。
10043,尝试按重组。
10044,这样，您可以用新玩家替换现有玩家。
10045,现在让我们和这些玩家一起玩。
10046,按匹配按钮
10047,按游戏进度按钮。
10048,游戏已经开始。
10049,让我们相信玩家并观看比赛。
10050,像这样}游戏结束时，您可以获得体验和整数。
10051,如果超过每日匹配限制，将无法获得本质。
10052,按下继续按钮退出体育场。
10053,第一场比赛结束了。
10054,玩家对于获胜很重要}，但经理策略也很重要。
10055,按策略按钮。
10056,快速设置使设置关键策略变得容易。
10057,平衡现在是基本策略。
10058,让我们更改设置。
10059,单击行 /管理。
10060,线匹配 /操作是一种通过在线匹配中看到的收益来结束游戏的策略。
10061,让我们将策略更改为线运行。
10062,按设置按钮
10063,团队的策略现在随着线到运行而发生了变化。
10064,这种快速设置使您可以轻松更改团队的策略。
10065,详细的设置可以通过说明和pickvan设置。
10066,现在让我们测试我们的策略。
10067,按匹配按钮
10068,让我们看看如何在进行比赛之前使用匹配项。
10069,呢 按按钮。
10070,我听到10％的额外经验项目作为礼物。
10071,请检查使用。
10072,如果您检查使用，将在以后的比赛中使用相应的项目。
10073,如果有多个项目，则可以检查自动使用这些项目。
10074,同一类型的项目不能反复使用。
10075,按X到退出。
10076,现在让我们检查一下策略和项目。
10077,按游戏进度按钮
10078,这场比赛结束后，经理的级别上升。
10079,随着经理级别的提高，您将获得这样的额外本质。
10080,无论每日比赛限制如何，您都可以从经理级别获得额外的精髓。
10081,按下继续按钮退出体育场。
10082,在这场比赛中获得经验，有些球员已经升级了。
10083,升级的玩家可以增加他们的统计数据。
10084,按照播放器管理。
10085,升级的运动员在该水平上有一个箭头标记。
10086,点击播放器的级别以提高统计数据。
10087,在这里，您可以按点增加所需的统计数据。
10088,您可以通过点击所需统计数据的箭头来增加统计信息。
10089,点击您所需的统计数据并点击决策。
10090,这将提高玩家的能力。
10091,按X到退出。
10092,可以通过这样的升级和加强来使运动员变得更强大。
10093,让我们通过加强来使玩家更强壮。
10094,按下钢筋按钮。
10095,强化使球员通过同一球员更强壮。
10096,这次}让我们重新将我给您的球员置于
10097,尝试按▼按钮。
10098,按按钮折叠入门列表。 按按钮查看较大的子播放器列表。
10099,现在尝试添加播放器。
10100,按添加按钮。
10101,如果添加了一个播放器}只有相同的玩家可见。
10102,按添加按钮。
10103,随着添加播放器的内容}，您可以看到成功的机会。
10104,成功的概率取决于增强水平和增强水平之间的差异。
10105,按重新支撑按钮。
10106,如果您像这样重新掩盖了}东西玩家消失了。
10107,不这样做不会使主要球员消失或失去班级。
10108,现在让我们最后检查联盟信息。
10109,按联赛按钮。
10110,按时间表按钮。
10111,您可以在此处查看团队的联盟时间表。
10112,按等级按钮。
10113,在这里，您可以看到联盟的积分榜。
10114,按“比赛”按钮
10115,在这里，您可以在常规联赛结束后检查季后赛。
10116,W是晋级世界冠军的排名。
10117,世界冠军在常规联赛结束时举行。
10118,您可以在其他联赛中与顶级球队竞争并获得更高的回报。
10119,按设置按钮。
10120,您想要联盟的地方
10121,您可以设置难度水平并开始新联盟。
10122,通过选择联盟和困难，您可以看到更改的奖励和联赛球队的能力。
10123,选择您的联赛和难度水平，然后按开始新的联赛按钮。
10124,您可以开始这样的新联盟。
10125,现在一切都准备就绪。
10126,最后}经理向我们发送了本质。
10127,让我们成为AAA联赛冠军！
10128,你好。 欢迎来到多匹配游戏。
10129,在这里，您可以参加比赛其他教练。
10130,在这里，您可以看到团队的评分}点并匹配数据。
10131,按奖励信息按钮。
10132,在这里，您可以找到有关多匹配奖励的信息。
10133,在层上}有六层的青铜}}金}铂} diamond} master} master} celinger。
10134,您第一次开始}您以青铜层开始。
10135,提高层将为您提供上面的本质。
10136,您可以在比赛结束时以下面指示的百分比获得奖励精华。
10137,我会解释这个季节。
10138,季节重置层，并在固定时期开始新游戏。
