ID,Dec
1000000,在18個賽季中擊敗所有KR聯賽球隊。
1000001,在19個春季擊敗所有KR聯賽球隊。
1000002,在19個夏季擊敗所有KR聯賽球隊。
1000003,擊敗所有多場比賽19賽季Top10球隊。
1000004,在20個春季擊敗所有KR聯賽球隊。
1000005,在20個春季擊敗所有歐盟聯賽球隊。
1000006,在20個春季擊敗所有NA聯賽球隊。
1000007,在20個夏季擊敗所有KR聯賽球隊。
1000008,在20個夏季，擊敗了所有歐盟聯賽球隊。
1000009,在20個夏季擊敗所有NA聯賽球隊。
1000010,擊敗所有多場比賽20賽季Top10球隊。
1000011,在21個春季擊敗所有KR聯賽球隊。
1000012,在21個春季擊敗所有歐盟聯賽球隊。
1000013,在21個春季擊敗所有NA聯賽球隊。
1000014,擊敗所有多場比賽21-1賽季Top10球隊。
1000015,擊敗所有多比賽21-2賽季Top10球隊。
1000016,在21個春季擊敗所有CN聯賽球隊。
1000017,在21個夏季擊敗所有KR聯賽球隊。
1000018,在21個夏季擊敗所有歐盟聯賽球隊。
1000019,在21個夏季擊敗所有NA聯賽球隊。
1000020,在21個夏季擊敗所有CN聯賽球隊。
1000021,擊敗所有多場比賽21-3賽季Top10球隊。
1000022,擊敗所有多場比賽22-1賽季Top10球隊。
1000023,在22個春季擊敗所有KR聯賽球隊。
1000024,在22個春季擊敗所有歐盟聯賽球隊。
1000025,在22個春季擊敗所有NA聯賽球隊。
1000026,擊敗所有多場比賽22-2賽季Top10球隊。
1000027,擊敗所有多場比賽22-3賽季Top10球隊。
1000028,擊敗所有多場比賽22-4賽季Top10球隊。
1000029,在22個夏季擊敗所有KR聯賽球隊。
1000030,在22個夏季擊敗所有歐盟聯賽球隊。
1000031,在22個夏季擊敗所有NA聯賽球隊。
1000032,擊敗所有多場比賽23-1賽季Top10球隊。
1000033,擊敗所有多場比賽23-2賽季Top10球隊。
1000034,在23個春季擊敗所有KR聯賽球隊。
1000035,在23個春季擊敗所有歐盟聯賽球隊。
1000036,在23個春季擊敗所有NA聯賽球隊。
1000037,擊敗所有多場比賽23-3賽季Top10球隊。
1000038,在23個夏季，打敗了所有KR聯賽球隊。
1000039,在23個夏季，打敗了所有歐盟聯賽球隊。
1000040,在23個夏季，打敗了所有NA聯賽球隊。
1000041,擊敗所有多場比賽23-4賽季Top10球隊。
1000042,擊敗所有多場比賽24-1賽季Top10球隊。
1000043,擊敗所有多場比賽24-2賽季Top10球隊。
1000044,在24個春季擊敗所有KR聯賽球隊。
1000045,在24個春季擊敗所有歐盟聯賽球隊。
1000046,在24個春季擊敗所有NA聯賽球隊。
