ID,Name,Dec
1000.0,招募黃金,招募1個隨機播放器，其組合統計數據高於81。
1001.0,黃金包,招募5個隨機企業，其統計數據超過81。
1002.0,球員招募,招募1個隨機玩家。
1003.0,銀牌招募,招募1個隨機播放器，其組合統計數在76以上。
1004.0,招募黃金,招募1個隨機播放器，其組合統計數據高於81。
1005.0,白金招募,招募1個隨機播放器的GPA合併為84或更高。
1006.0,基本軟件包,招募5名隨機玩家。
1007.0,銀包,招募5名隨機玩家，其統計數據以上是76。
1008.0,黃金包,招募5個隨機企業，其統計數據超過81。
1009.0,鉑金包,招募5名隨機玩家，其總GPA為84或更高。
1010.0,2021年季節招募,從21SPR-21SUM賽季招募1名隨機球員。
1011.0,2021季節包, （不包括限制）
1012.0,2022季節招募,從21SPR-21SUM賽季中招募5名隨機球員。
1013.0,2022季節包, （不包括限制）
1014.0,2023季節招募,從22SPR-22SUM賽季中招募1名隨機球員。
1015.0,2023季節套餐, （不包括限制）
1016.0,上個賽季招募,從22SPR-22SUM賽季中招募5名隨機球員。
1017.0,上個季節套餐, （不包括限制）
1018.0,教練招聘,從23SPR-23SUM賽季中招募1名隨機球員。
1019.0,更改團隊名稱, （不包括限制）
1012.0,Takım adını değiştir,Takım adınızı değiştirin.
1013.0,Takım adını değiştir,Takım adınızı değiştirin.
1012.0,Tuyển dụng mùa trước,Một cầu thủ ngẫu nhiên từ mùa giải 18-20sum được tuyển dụng.
1013.0,Gói mùa trước, (Không bao gồm giới hạn)
