ID,Dec
10000,"你好。
很高興見到你。"
10001,在經理的支持下，他在LOL聯盟中創建了一支新團隊。
10002,請先命名您的團隊。
10003,讓我們成為AAA團隊進入歷史。
10004,這是聯盟的第一場比賽。
10005,在這裡，您可以在比賽前看到我們的團隊和其他團隊的信息。
10006,當前的團隊已經有一個球員簽約。
10007,但是您需要很多球員才能贏得勝利。
10008,讓我們在比賽前先獲得一個新球員。
10009,點擊招聘市場
10010,您可以通過招聘市場的本質招募新玩家。
10011,讓我們聘請一個新玩家，以我們現在擁有的本質。
10012,按X1招聘按鈕。
10013,我們有一個新球員。
10014,"團隊仍然沒有競爭力。
讓我們聘請更好的球員來提高我們的競爭力。"
10015,"沒有足夠的本質來招募優秀的球員。
在這種情況下，您可以使用贊助商獲得整數。"
10016,查看所有贊助商的視頻廣告}以贏得獎勵。
10017,最初}贊助廣告已準備好獲得50％的獎勵。
10018,媒體贊助廣告。
10019,"贊助商給我們發送了一個整數。
現在，讓我們使用這個整數來獲得一個新的播放器。"
10020,按X5招聘按鈕。
10021,我們有一個新球員。
10022,現在讓我們嘗試一個新玩家。
10023,按下播放器管理按鈕。
10024,在播放器管理中}您可以選擇一個候選播放器。
10025,按“交換”按鈕嘗試候選人。
10026,按替換將使選定的播放器成為起始播放器，現有播放器將被提名。
10027,同樣，取決於起動器的組成}可以獲得其他效果。
10028,按下按鈕
10029,您可以在此處找到有關蒂姆·化學的信息。
10030,您可以通過匹配類型和團隊等不同的化學成分來使團隊更強大。
10031,按X退出。
10032,現在，讓我們更改不需要的球員。
10033,嘗試按重組。
10034,在這裡，您可以用新玩家替換四個候選人。
10035,"暫時我給了四個球員。
讓我們重組這些球員。"
10036,按添加按鈕。
10037,按添加按鈕。
10038,按添加按鈕。
10039,按添加按鈕。
10040,"放所有三個球員。
現在讓我們更改為新玩家。"
10041,您可以從招聘信息中查看玩家的能力信息。
10042,現在得到球員。
10043,嘗試按重組。
10044,這樣，您可以用新玩家替換現有玩家。
10045,現在讓我們和這些球員一起玩。
10046,按匹配按鈕
10047,按遊戲進度按鈕。
10048,遊戲已經開始。
10049,讓我們相信玩家並觀看比賽。
10050,像這樣}遊戲結束時，您可以獲得體驗和整數。
10051,如果超過每日匹配限制，將無法獲得本質。
10052,按下繼續按鈕退出體育場。
10053,第一場比賽結束了。
10054,玩家對於獲勝很重要}，但經理策略也很重要。
10055,按策略按鈕。
10056,快速設置使設置關鍵策略變得容易。
10057,平衡現在是基本策略。
10058,讓我們更改設置。
10059,單擊行 /管理。
10060,線匹配 /操作是一種通過在線匹配中看到的收益來結束遊戲的策略。
10061,讓我們將策略更改為線操作。
10062,按設置按鈕
10063,該團隊的策略現在隨著線到運行而發生了變化。
10064,這種快速的設置使更改團隊的策略變得容易。
10065,詳細的設置可以通過說明和pickvan設置。
10066,現在讓我們測試我們的策略。
10067,按匹配按鈕
10068,讓我們看看如何在進行比賽之前使用匹配項。
10069,"呢
按下按鈕。"
10070,我聽到有10％的額外經驗項目作為禮物。
10071,請檢查使用。
10072,如果您檢查使用，將在以後的比賽中使用相應的項目。
10073,如果有多個項目，則可以檢查自動使用這些項目。
10074,相同類型的項目不能反複使用。
10075,按X退出。
10076,現在，讓我們檢查一下策略和項目。
10077,按遊戲進度按鈕
10078,這場比賽結束後，經理的級別上升了。
10079,隨著經理級別的提高，您將獲得這樣的額外本質。
10080,無論每日比賽限制如何，您都可以從經理級別獲得額外的精髓。
10081,按下繼續按鈕退出體育場。
10082,在這場比賽中獲得經驗，有些球員已經升級了。
10083,升級的球員可以增加他們的統計數據。
10084,新聞播放器管理。
10085,升級的運動員在水平上有一個箭頭標記。
10086,點擊播放器的水平以提高統計數據。
10087,在這裡，您可以按點增加所需的統計數據。
10088,您可以通過點擊所需統計數據的箭頭來增加統計數據。
10089,點擊您所需的統計數據並點擊決策。
10090,這將提高玩家的能力。
10091,按X退出。
10092,可以通過這樣的升級和加強來使運動員變得更強大。
10093,讓我們通過加強使玩家更強壯。
10094,按增強按鈕。
10095,加強使球員通過同一玩家更強壯。
10096,這次}讓我們重新將我給您的球員置於。
10097,嘗試按下▼按鈕。
10098,"按按鈕折疊入門列表。
按按鈕查看更大的子播放器列表。"
10099,現在嘗試添加一個播放器。
10100,按添加按鈕。
10101,如果添加了播放器}只能看到同一玩家。
10102,按添加按鈕。
10103,隨著添加播放器的內容}，您可以看到成功的機會。
10104,成功的可能性取決於加固水平和加固水平之間的差異。
10105,按重新支撐按鈕。
10106,如果您像這樣重新掩蓋了}東西玩家消失了。
10107,不這樣做不會使主要球員消失或失去班級。
10108,現在讓我們最後檢查聯盟信息。
10109,按聯賽按鈕。
10110,按時間表按鈕。
10111,您可以在這裡查看您的團隊的聯盟時間表。
10112,按等級按鈕。
10113,在這裡，您可以看到聯盟的積分榜。
10114,按下比賽按鈕
10115,常規聯賽結束後，您可以在這裡檢查季后賽。
10116,W是晉級世界冠軍的排名。
10117,世界冠軍在常規聯賽結束時舉行。
10118,您可以在其他聯賽中與頂級球隊競爭並獲得更高的回報。
10119,按設置按鈕。
10120,你想要聯盟的地方
10121,您可以設置難度水平並開始新聯盟。
10122,通過選擇聯盟和困難，您可以看到變化的回報和聯賽球隊的能力。
10123,選擇您的聯賽和難度水平，然後按開始新的聯賽按鈕。
10124,您可以開始這樣的新聯盟。
10125,現在一切都準備好了。
10126,最後}經理向我們發送了本質。
10127,讓我們成為AAA聯盟的冠軍！
10128,"你好。
歡迎來到多匹配遊戲。"
10129,在這裡，您可以參加其他教練。
10130,在這裡，您可以看到團隊的評分}積分並匹配數據。
10131,按獎勵信息按鈕。
10132,在這裡，您可以找到有關多匹配獎勵的信息。
10133,在層上}有六層的青銅}牛}金}鉑}鑽石} master} master} celinger。
10134,您第一次開始}您從青銅層開始。
10135,提高層將為您提供上面的本質。
10136,您可以在比賽結束時以下面指定的百分比獲得獎金精華。
10137,我會解釋這個季節。
10138,本賽季重置了層，並在固定時期開始了新遊戲。
10139,當新賽季開始時，根據上賽季的排名，您將獲得回報。
10140,可以在這裡找到您的層的獎勵。
10141,現在按X退出獎勵信息。
10142,為了提高}，您必須贏得比賽並收集積分。
10143,收集100分以晉升為下一個層。
10144,但是要小心，因為您可以在零時降級。
10145,如果您通過獲勝來提高層次，則可以通過以下排名來檢查團隊的排名。
10146,您可以詳細地看到排名團隊。
10147,按下按鈕。
10148,"現在，您可以看到排名者使用的玩家和策略。
檢查一下，並使您的團隊更強大。"
10149,現在讓我們再次按下按鈕。
10150,排名需要時間來刷新。
10151,如果您想立即刷新}}可以通過刷新按鈕立即更新排名。
10152,"好的。
準備提高您的排名並收集積分成為頂級經理！"
10153,在您的帳戶中，您可以看到您的帳戶信息和每日成就}其他信息。
10154,每天}任務每天都會更新。
10155,在成就中}您可以看到成就
10156,在季節中，您可以看到每個季節都會更新新任務。
10157,在其他情況下，您可以看到其他部分，例如開發人員支持。
10158,您可以通過完成任務成就或其他零件來贏得獎勵。
10159,此外，贊助將有助於我們將來繼續開發遊戲。
10160,"謝謝您的讚助。
謝謝。"
