ID,Korean,Dec
1000,효과음,Sound effect
1001,배경음,Background Sound
1002,언어,Language
1003,만든이: 허민구{연락: huccce@gmail.com,Created by: Heo Min-gu {Contact: huccce@gmail.com
1004,불러오는 중 /{구글 로그인,Loading / {Google Sign In
1005,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다.,<Attention>{{There is more than one data. Please select the data to load. {Unselected data will be deleted.
1006,팀이름,Team name
1007,라운드,Round
1008,정수,Essence
1009,저장날짜,Save Date
1010,결정,Decision
1011,경기,Match
1012,리그,League
1013,전략,Strategy
1014,선수{관리,Player{Management
1015,영입{시장,Recruitment{Market
1016,멀티{대전,Multi{Match
1017,계정,Account
1018,순위,Rank
1019,승,W
1020,패,L
1021,라인전,Line
1022,한타,TeamFight
1023,운영,Operation
1024,포지션,Position
1025,이름,Name
1026,종합,Total
1027,일정,Calendar
1028,상대팀,Opposing team
1029,총합,Total
1030,결과,Result
1031,승리,Victory
1032,패배,Defeat
1033,간편,Simple
1034,지침,Guideline
1035,픽밴,Pick Ban
1036,설정,Set
1037,설명,Explanation
1038,라인,Line
1039,타입,Type
1040,등급,Rating
1041,강화,Reinforce
1042,재조합,Recombination
1043,팀케미,Team Chemie
1044,선발 선수,Starting Player
1045,후보 선수,Sub Player
1046,레벨 포인트,Level point
1047,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),Team Chemie(▲2){Year Chemie(▲1){Type Chemie(▲1){League Chemie(▲1)
1048,케미스트리,Chemistry
1049,재조합 선수,Recombinant player
1050,제거,Remove
1051,강화 선수,Reinforcement Player
1052,재료 선수,Stuff Player
1053,성공확률:,Success Chance:
1054,영입시장,Recruitment Market
1055,스폰서 광고를 보고 원하는 보상을 받으세요.,Watch sponsored ads to get rewards.
1056,5번 보시면 200정수를 추가로 드립니다.,If you look 5 times} you will receive an additional 200essence.
1057,골드 영입,Gold Recruitment
1058,실버 선수,Silver player
1059,시청,Watch
1060,플레,Platinum
1061,골드,Gold
1062,선수명단,Player List
1063,가격,Price
1064,추천,Recommend
1065,구입,Buy
1066,탑 랭킹,Top rank
1067,내 순위,My rank
1068,새로고침시간,Refresh time
1069,대전정보,Match Information
1070,대전찾기,Match Search
1071,선수,Player
1072,감독,Manager
1073,로그인,Login
1074,확인,Confirm
