ID,Dec
10000,Salut. Ravi de vous rencontrer.
10001,"Avec le soutien du manager}, il a créé une nouvelle équipe dans la LOL League. "
10002,Veuillez d'abord nommer votre équipe. 
10003,Faisons de l'équipe AAA dans l'histoire. 
10004,Ceci est le premier match de la ligue. 
10005,"Ici, vous pouvez voir les informations de notre équipe et d'autres équipes avant le match. "
10006,L'équipe actuelle a déjà un joueur inscrit. 
10007,Mais vous avez besoin de beaucoup de joueurs pour gagner. 
10008,Obtenons d'abord un nouveau joueur avant le match. 
10009,Appuyez sur le marché du recrutement 
10010,Vous pouvez recruter de nouveaux joueurs avec l'essence que vous avez sur le marché du recrutement. 
10011,Embauchons un nouveau joueur avec l'essence que nous avons maintenant. 
10012,Appuyez sur le bouton Acheter les joueurs. 
10013,Nous avons un nouveau joueur. 
10014,L'équipe n'est toujours pas compétitive. Embauchons un meilleur joueur pour améliorer notre compétitivité. 
10015,"Il n'y a pas assez d'essence pour recruter un bon joueur. Dans ce cas, vous pouvez obtenir un numéro entier en utilisant un sponsor. "
10016,Afficher toutes les publicités vidéo des sponsors} pour gagner des récompenses. 
10017,Initialement} Les annonces parrainées sont spécialement préparées à recevoir 50% de récompenses en plus. 
10018,Appuyez sur la publicité parrainée. 
10019,"Le sponsor nous a envoyé un entier. Maintenant, obtenons un nouveau joueur avec cet entier. "
10020,Veuillez appuyer sur le bouton d'achat. 
10021,Nous avons un nouveau joueur. 
10022,Essayons maintenant un nouveau joueur. 
10023,Appuyez sur le bouton de gestion des joueurs. 
10024,"Dans la gestion des joueurs}, vous pouvez sélectionner un joueur candidat. "
10025,Appuyez sur le bouton d'échange pour essayer le candidat. 
10026,Appuyez sur Remplacer fera le joueur sélectionné un joueur de départ et le lecteur existant sera nominé. 
10027,Également} en fonction de la composition des démarreurs} des effets supplémentaires peuvent être obtenus. 
10028,Appuie sur le bouton
10029,Vous pouvez trouver des informations sur Tim Chemie ici. 
10030,Vous pouvez rendre votre équipe plus forte en faisant correspondre différentes chimies telles que le type et l'équipe. 
10031,Appuyez sur x pour quitter. 
10032,Changeons maintenant le joueur qui n'est pas nécessaire à un autre joueur. 
10033,Essayez d'appuyer sur la recombinaison. 
10034,"Ici, vous pouvez remplacer quatre candidats par de nouveaux joueurs. "
10035,"Temporairement, j'ai donné à quatre joueurs. Recombinons ces joueurs. "
10036,Appuyez sur le bouton Ajouter. 
10037,Appuyez sur le bouton Ajouter. 
10038,Appuyez sur le bouton Ajouter. 
10039,Appuyez sur le bouton Ajouter. 
10040,Mettez les trois joueurs. Passons maintenant à un nouveau joueur. 
10041,Vous pouvez vérifier les informations de capacité du joueur à partir des informations de recrutement. 
10042,Obtenez maintenant le joueur. 
10043,Essayez d'appuyer sur la recombinaison. 
10044,"De cette façon, vous pouvez remplacer les joueurs existants par de nouveaux joueurs. "
10045,Jouons maintenant avec ces joueurs. 
10046,Appuyez sur le bouton de correspondance 
10047,Appuyez sur le bouton de progression du jeu. 
10048,Le jeu a commencé. 
10049,Faisons confiance aux joueurs et regardons le jeu. 
10050,"Comme ceci} Lorsque le jeu est terminé}, vous pouvez obtenir de l'expérience et des entiers. "
10051,L'essence ne peut pas être obtenue si la limite de correspondance quotidienne est dépassée. 
10052,Appuyez sur le bouton Continuer pour quitter le stade. 
10053,Le premier jeu est terminé. 
10054,Les joueurs sont importants pour gagner} mais la stratégie du gestionnaire est également importante. 
10055,Appuyez sur le bouton de stratégie. 
10056,La configuration rapide facilite la configuration des stratégies clés. 
10057,L'équilibre est maintenant la stratégie de base. 
10058,Changeons les paramètres. 
10059,Cliquez sur Line / Manage. 
10060,La correspondance / l'opération de ligne est une stratégie qui termine le jeu en fonctionnant les gains observés en ligne. 
10061,Changeons la stratégie en fonctionnement de ligne de ligne. 
10062,Appuyez sur le bouton Paramètres 
10063,La stratégie de l'équipe a maintenant changé avec une ligne à run. 
10064,Cette configuration rapide facilite la modification de la stratégie de votre équipe. 
10065,Les paramètres détaillés peuvent être définis via les instructions et le pickvan. 
10066,Testons maintenant notre stratégie. 
10067,Appuyez sur le bouton de correspondance 
10068,Voyons comment utiliser les éléments de correspondance avant de passer au match. 
10069,! Appuie sur le bouton.
10070,J'ai entendu un élément d'expérience supplémentaire de 10% en cadeau. 
10071,Veuillez vérifier l'utilisation. 
10072,"Si vous vérifiez l'utilisation, vous utiliserez l'élément correspondant dans les correspondances futures. "
10073,"S'il y a plusieurs éléments, vous pouvez vérifier l'auto pour utiliser automatiquement les éléments. "
10074,Les éléments du même type ne peuvent pas être utilisés à plusieurs reprises. 
10075,Appuyez sur x pour quitter. 
10076,Voyons maintenant les stratégies et les éléments. 
10077,Appuyez sur le bouton de progression du jeu 
10078,"Après cette correspondance, le niveau du gestionnaire a augmenté. "
10079,"À mesure que le niveau du gestionnaire augmente, vous obtenez une essence supplémentaire comme celle-ci. "
10080,Vous pouvez obtenir des essences supplémentaires du niveau du gestionnaire quelle que soit la limite de correspondance quotidienne. 
10081,Appuyez sur le bouton Continuer pour quitter le stade. 
10082,Certains joueurs ont été nivelés en acquérir de l'expérience dans ce match. 
10083,Les joueurs qui montent en niveau peuvent augmenter leurs statistiques. 
10084,Appuyez sur la gestion des joueurs. 
10085,Les athlètes qui se sont nivelés ont une marque de flèche au niveau. 
10086,Appuyez sur le niveau du lecteur pour élever les statistiques. 
10087,"Ici, vous pouvez augmenter les statistiques souhaitées par points. "
