ID,Dec
10000,"Hallo. Freut mich, Sie kennenzulernen."
10001,Mit der Unterstützung des Managers} erstellte er ein neues Team in der LOL -Liga. 
10002,Bitte nennen Sie Ihr Team zuerst. 
10003,Lassen Sie das AAA -Team in die Geschichte machen. 
10004,Dies ist das erste Match der Liga. 
10005,Hier sehen Sie die Informationen unseres Teams und anderer Teams vor dem Spiel. 
10006,Das aktuelle Team hat bereits einen Spieler angemeldet. 
10007,"Aber Sie brauchen viele Spieler, um zu gewinnen. "
10008,Lassen Sie uns zuerst einen neuen Spieler vor dem Spiel erhalten. 
10009,Tippen Sie auf den Rekrutierungsmarkt 
10010,"Sie können neue Spieler mit der Essenz rekrutieren, die Sie auf dem Rekrutierungsmarkt haben. "
10011,"Mieten wir einen neuen Spieler mit der Essenz, die wir jetzt haben. "
10012,Drücken Sie die Taste von Buy Players. 
10013,Wir haben einen neuen Spieler. 
10014,"Das Team ist immer noch nicht wettbewerbsfähig. Mieten wir einen besseren Spieler, um unsere Wettbewerbsfähigkeit zu verbessern. "
10015,"Es gibt nicht genug Essenz, um einen guten Spieler zu rekrutieren. In diesem Fall} können Sie eine ganze Nummer mit einem Sponsor erhalten. "
10016,"Zeigen Sie alle Sponsoren -Videoanzeigen} an, um Belohnungen zu erhalten. "
10017,"Anfangs} gesponserte Anzeigen sind speziell darauf vorbereitet, 50% weitere Belohnungen zu erhalten. "
10018,Drücken Sie gesponserte Werbung. 
10019,Der Sponsor hat uns eine Ganzzahl geschickt. Lassen Sie uns nun einen neuen Spieler mit dieser Ganzzahl erhalten. 
10020,Bitte drücken Sie die Kauftaste. 
10021,Wir haben einen neuen Spieler. 
10022,Versuchen wir nun einen neuen Spieler. 
10023,Drücken Sie die Player -Management -Taste. 
10024,Im Player Management} können Sie einen Kandidatenspieler auswählen. 
10025,"Drücken Sie die Taste Swap, um den Kandidaten auszuprobieren. "
10026,Drücken Ersatz macht den ausgewählten Spieler zu einem Startspieler und der vorhandene Spieler wird nominiert. 
10027,Auch} Abhängig von der Zusammensetzung der Starter} Es können zusätzliche Effekte erhalten werden. 
10028,Drücken Sie den Knopf
10029,Hier finden Sie Informationen über Tim Chemie. 
10030,"Sie können Ihr Team stärker machen, indem Sie verschiedene Chemikalien wie Typ und Team abgleichen. "
10031,"Drücken Sie X, um zu beenden. "
10032,"Wechseln Sie nun den Spieler, der nicht an einen anderen Spieler benötigt wird. "
10033,"Versuchen Sie, die Rekombination zu drücken. "
10034,Hier können Sie vier Kandidaten durch neue Spieler ersetzen. 
10035,Vorübergehend gab ich vier Spieler. Lassen Sie uns diese Spieler rekombinieren. 
10036,Drücken Sie die Taste hinzufügen. 
10037,Drücken Sie die Taste hinzufügen. 
10038,Drücken Sie die Taste hinzufügen. 
10039,Drücken Sie die Taste hinzufügen. 
10040,Setzen Sie alle drei Spieler. Wechseln Sie nun zu einem neuen Spieler. 
10041,Sie können die Fähigkeitsinformationen des Players aus den Rekrutierungsinformationen überprüfen. 
10042,Jetzt hol den Player. 
10043,"Versuchen Sie, die Rekombination zu drücken. "
10044,Auf diese Weise können Sie vorhandene Spieler durch neue Spieler ersetzen. 
10045,Jetzt spielen wir mit diesen Spielern. 
10046,Drücken Sie die Übereinstimmungstaste 
10047,Drücken Sie die Taste des Spiels Fortschritt. 
10048,Das Spiel hat begonnen. 
10049,Vertrauen wir den Spielern und schauen uns das Spiel an. 
10050,Wie dieses} Wenn das Spiel vorbei ist} Sie können Erfahrung und ganze Zahlen bekommen. 
10051,"Die Essenz kann nicht erhalten werden, wenn die tägliche Übereinstimmungsgrenze überschritten wird. "
10052,"Drücken Sie die Schaltfläche Weiter, um das Stadion zu beenden. "
10053,Das erste Spiel ist vorbei. 
