ID,Name,Dec
1000,दैनिक लॉगिन इनाम,लॉगिन आज इनाम
1001,3 दैनिक पुरस्कार,आज के 3 मैच पुरस्कार
1002,सहयोग,आप downation के माध्यम से डेवलपर को प्रायोजित कर सकते हैं।
1003,समीक्षा,कृपया समीक्षा करें और हम आपको इनाम देंगे।
1004,ट्यूटोरियल पूरा,पूर्ण ट्यूटोरियल
1005,रजत रैंक उपलब्धि,मल्टीप्ले रजत रैंक प्राप्त करें
1006,गोल्ड रैंक उपलब्धि,मल्टीप्ले गोल्ड रैंक प्राप्त करें
1007,प्लैटिनम रैंक उपलब्धि,मल्टीप्ले प्लैटिनम रैंक प्राप्त करें
1008,डायमंड रैंक उपलब्धि,मल्टीप्ले डायमंड रैंक प्राप्त करें
1009,मास्टर रैंक उपलब्धि,मल्टीप्ले मास्टर रैंक प्राप्त करें
1010,चैलेंजर उपलब्धि,मल्टीप्ले चैलेंजर रैंक प्राप्त करें
1011,लीग चैंपियन,लीग में पहली जगह हासिल की
1012,रजत पदक,लीग में दूसरा स्थान हासिल किया
1013,कांस्य पदक,लीग में तीसरा स्थान हासिल किया
1014,3 चैंपियंस,3 लीग टाइटल प्राप्त करें
1015,3 रजत पदक,तीन लीग में दूसरी जगह हासिल की
1016,3 कांस्य पदक,तीन लीग में तीसरा स्थान हासिल किया
1017,5 चैंपियंस,5 लीग शीर्षक प्राप्त करें
1018,5 रजत पदक,पांच लीग में दूसरी जगह हासिल करें
1019,5 कांस्य पदक,पांच लीग में तीसरी जगह हासिल करें
1020,पहला सीज़न,पहला सीजन की समय सीमा
1021,तीसरा सीजन,तीसरा सीजन की समय सीमा
1022,पांचवें सीजन,पांचवें सीज़न की समय सीमा
1023,दसवां मौसम,10 वीं सीजन की समय सीमा
1024,6 दैनिक पुरस्कार,आज के 6 मैच पुरस्कार
1025,रजत रैंक उपलब्धि,मल्टीप्ले रजत रैंक प्राप्त करें
1026,गोल्ड रैंक उपलब्धि,मल्टीप्ले गोल्ड रैंक प्राप्त करें
1027,प्लैटिनम रैंक उपलब्धि,मल्टीप्ले प्लैटिनम रैंक प्राप्त करें
1028,डायमंड रैंक उपलब्धि,मल्टीप्ले डायमंड रैंक प्राप्त करें
1029,मास्टर रैंक उपलब्धि,मल्टीप्ले मास्टर रैंक प्राप्त करें
1030,चैलेंजर उपलब्धि,मल्टीप्ले चैलेंजर रैंक प्राप्त करें
1031,दैनिक मिलान सीमा,प्रति दिन मैचों की संख्या जहां आप सार प्राप्त कर सकते हैं
