ID,Korean,Dec
,효과음,नया विज्ञापन तैयार करना ... कृपया प्रतीक्षा करें | v |
1001.0,배경음,पृष्ठभूमि आवाज
1002.0,언어,भाषा
1003.0,만든이: 허민구{연락: huccce@gmail.com,द्वारा बनाया गया: Heo Min-Gu {संपर्क: huccce@gmail.com {
1004.0,불러오는 중 /{구글 로그인,}लोडिंग / {Google साइन इन 
1005.0,<주의>{{데이터가 여러개 있습니다. 불러올 데이터를 선택해주세요.{선택이 되지 않은 데이터는 삭제됩니다., में<ध्यान> {{एक से अधिक डेटा है। कृपया लोड करने के लिए डेटा का चयन करें। {अचूक डेटा हटा दिया जाएगा। 
1006.0,팀이름,}टीम का नाम
1007.0,라운드,गोल
1008.0,정수,सार
1009.0,저장날짜,दिनांक सहेजें 
1010.0,결정,}फ़ैसला
1011.0,경기,मिलान
1012.0,리그,लीग 
1013.0,전략,}रणनीति
1014.0,선수{관리,खिलाड़ी {प्रबंधन 
1015.0,영입{시장,}भर्ती {बाजार 
1016.0,멀티{대전,}मल्टी {मैच 
1017.0,계정,}खाता
1018.0,순위,पद
1019.0,승,W 
1020.0,패,}L 
1021.0,라인전,}रेखा
1022.0,한타,दल की लड़ाई
1023.0,운영,संचालन
1024.0,포지션,पद
1025.0,이름,नाम
1026.0,종합,कुल
1027.0,일정,पंचांग
1028.0,상대팀,विरोधी टीम
1029.0,총합,कुल
1030.0,결과,परिणाम
1031.0,승리,विजय
1032.0,패배,हराना
1033.0,간편,सरल
1034.0,지침,दिशानिर्देश 
1035.0,픽밴,}बैन 
1036.0,설정, चुनेंतय करना
1037.0,설명,स्पष्टीकरण
1038.0,라인,रेखा
1039.0,타입,प्रकार
1040.0,등급,रेटिंग 
1041.0,강화,}
1042.0,재조합,} को सुदृढ़ करेंपुनर्संयोजन 
1043.0,팀케미,}टीम केमी 
1044.0,선발 선수,}शुरुआती खिलाड़ी 
1045.0,후보 선수,}उप खिलाड़ी 
1046.0,레벨 포인트,}स्तर बिंदु 
1047.0,팀 케미(▲2){년도 케미(▲1){타입 케미(▲1){리그 케미(▲1),}टीम केमि () 2) {वर्ष केमि () 1) {टाइप केमि () 1) {लीग केमि () 1) 
1048.0,케미스트리,}रसायन विज्ञान
