ID,Dec
1000000,18 सीज़न में सभी केआर लीग टीमों को हराएं। V |19 स्प्रिंग सीज़न में सभी केआर लीग टीमों को हराएं। V |19 गर्मियों के सीज़न में सभी केआर लीग टीमों को हराएं। V |सभी मल्टी मैच 19 सीज़न टॉप 10 टीमों को हराएं 
1000001,20 स्प्रिंग सीज़न में सभी केआर लीग टीमों को हराएं। V |20 स्प्रिंग सीज़न में यूरोपीय संघ के सभी लीग टीमों को हराएं। V |20 स्प्रिंग सीज़न में सभी NA लीग टीमों को हराएं। V |20 गर्मियों के सीज़न में सभी केआर लीग टीमों को हराएं। V |20 गर्मियों के सीज़न में यूरोपीय संघ की सभी लीग टीमों को हराएं। V |20 गर्मियों के सीज़न में सभी NA लीग टीमों को हराएं। V |सभी मल्टी मैच 20 सीज़न टॉप 10 टीमों को हराएं 
1000002,21 स्प्रिंग सीज़न में सभी केआर लीग टीमों को हराएं। V |21 स्प्रिंग सीज़न में यूरोपीय संघ के सभी लीग टीमों को हराएं। V |21 स्प्रिंग सीज़न में सभी NA लीग टीमों को हराएं। V |सभी मल्टी मैच 21-1 सीज़न TOP10 टीमों को हराएं। V |सभी मल्टी मैच 21-2 सीज़न TOP10 टीमों को हराएं। V |21 स्प्रिंग सीज़न में सभी सीएन लीग टीमों को हराएं। V |21 ग्रीष्मकालीन सीज़न में सभी केआर लीग टीमों को हराएं। V |21 गर्मियों के सीज़न में यूरोपीय संघ की सभी टीमों को हराएं। V |21 गर्मियों के सीज़न में सभी NA लीग टीमों को हराएं। V |21 गर्मियों के सीज़न में सभी सीएन लीग टीमों को हराएं। V |सभी मल्टी मैच 21-3 सीज़न TOP10 टीमों को हराएं। V |सभी मल्टी मैच 22-1 सीज़न TOP10 टीमों को हराएं। V |22 स्प्रिंग सीज़न में सभी केआर लीग टीमों को हराएं। V |22 स्प्रिंग सीज़न में यूरोपीय संघ के सभी लीग टीमों को हराएं। V |22 स्प्रिंग सीज़न में सभी NA लीग टीमों को हराएं। V |सभी मल्टी मैच 22-2 सीज़न TOP10 टीमों को हराएं। V |सभी मल्टी मैच 22-3 सीज़न टॉप 10 टीमों को हराएं।सभी मल्टी मैच 22-4 सीज़न TOP10 टीमों को हराएं। V |22 गर्मियों के सीज़न में सभी केआर लीग टीमों को हराएं। V |22 गर्मियों के सीज़न में यूरोपीय संघ की सभी लीग टीमों को हराएं। V |22 गर्मियों के सीज़न में सभी NA लीग टीमों को हराएं। V |सभी मल्टी मैच 23-1 सीज़न TOP10 टीमों को हराएं। V |सभी मल्टी मैच 23-2 सीज़न TOP10 टीमों को हराएं। V |23 स्प्रिंग सीज़न में सभी केआर लीग टीमों को हराएं। V |23 स्प्रिंग सीज़न में यूरोपीय संघ के सभी लीग टीमों को हराएं। V |23 स्प्रिंग सीज़न में सभी NA लीग टीमों को हराएं। V |सभी मल्टी मैच 23-3 सीज़न TOP10 टीमों को हराएं। V |23 गर्मियों के सीज़न में सभी केआर लीग टीमों को हराएं। वी |23 गर्मियों के सीज़न में यूरोपीय संघ की सभी टीमों को हराएं। V |23 गर्मियों के सीज़न में सभी NA लीग टीमों को हराएं। V |सभी मल्टी मैच 23-4 सीज़न TOP10 टीमों को हराएं। V |सभी मल्टी मैच 24-1 सीज़न TOP10 टीमों को हराएं। V |सभी मल्टी मैच 24-2 सीज़न TOP10 टीमों को हराएं। V |24 स्प्रिंग सीज़न में सभी केआर लीग टीमों को हराएं। V |24 स्प्रिंग सीज़न में यूरोपीय संघ की सभी लीग टीमों को हराएं। V |24 स्प्रिंग सीज़न में सभी NA लीग टीमों को हराएं। V |
1000003,Defeat all Multi Match 19 Season Top10 teams.
1000004,Defeat all the KR League teams in the 20 spring season.
1000005,Defeat all the EU League teams in the 20 spring season.
1000006,Defeat all the NA League teams in the 20 spring season.
1000007,Defeat all the KR League teams in the 20 summer season.
1000008,Defeat all the EU League teams in the 20 summer season.
1000009,Defeat all the NA League teams in the 20 summer season.
1000010,Defeat all Multi Match 20 Season Top10 teams.
1000011,Defeat all the KR League teams in the 21 spring season.
1000012,Defeat all the EU League teams in the 21 spring season.
1000013,Defeat all the NA League teams in the 21 spring season.
1000014,Defeat all Multi Match 21-1 Season Top10 teams.
1000015,Defeat all Multi Match 21-2 Season Top10 teams.
1000016,Defeat all the CN League teams in the 21 spring season.
1000017,Defeat all the KR League teams in the 21 summer season.
1000018,Defeat all the EU League teams in the 21 summer season.
1000019,Defeat all the NA League teams in the 21 summer season.
1000020,Defeat all the CN League teams in the 21 summer season.
1000021,Defeat all Multi Match 21-3 Season Top10 teams.
1000022,Defeat all Multi Match 22-1 Season Top10 teams.
1000023,Defeat all the KR League teams in the 22 spring season.
1000024,Defeat all the EU League teams in the 22 spring season.
1000025,Defeat all the NA League teams in the 22 spring season.
1000026,Defeat all Multi Match 22-2 Season Top10 teams.
1000027,Defeat all Multi Match 22-3 Season Top10 teams.
1000028,Defeat all Multi Match 22-4 Season Top10 teams.
1000029,Defeat all the KR League teams in the 22 summer season.
1000030,Defeat all the EU League teams in the 22 summer season.
1000031,Defeat all the NA League teams in the 22 summer season.
1000032,Defeat all Multi Match 23-1 Season Top10 teams.
1000033,Defeat all Multi Match 23-2 Season Top10 teams.
1000034,Defeat all the KR League teams in the 23 spring season.
1000035,Defeat all the EU League teams in the 23 spring season.
1000036,Defeat all the NA League teams in the 23 spring season.
1000037,Defeat all Multi Match 23-3 Season Top10 teams.
1000038,Defeat all the KR League teams in the 23 summer season.
1000039,Defeat all the EU League teams in the 23 summer season.
1000040,Defeat all the NA League teams in the 23 summer season.
1000041,Defeat all Multi Match 23-4 Season Top10 teams.
1000042,Defeat all Multi Match 24-1 Season Top10 teams.
1000043,Defeat all Multi Match 24-2 Season Top10 teams.
1000044,Defeat all the KR League teams in the 24 spring season.
1000045,Defeat all the EU League teams in the 24 spring season.
1000046,Defeat all the NA League teams in the 24 spring season.
