ID,Dec
11000,आपकी टीम ने बेहतरीन कोचिंग के साथ लीग जीत ली! चलिए विश्व चैंपियनशिप जीतने की तैयारी करते हैं।
11001,"हालांकि इसने जीत नहीं हासिल की, फिर भी इसका प्रदर्शन बेहतरीन रहा। स्नो बाथिंग वर्ल्ड चैंपियन में पूरी हो गई!"
11002,"यह कोई चैंपियनशिप नहीं थी, लेकिन हम विश्व चैम्पियनशिप में क्वालिफाई करने में सफल रहे!"
11003,"यह कोई चैम्पियनशिप नहीं था, लेकिन यह अगली सीज़न में जीतने के लिए एक अच्छा रैंकिंग लक्ष्य है।"
11004,"सबसे बुरा टाल दिया गया, लेकिन रैंकिंग अच्छी नहीं रही। उच्चतर रैंक पाने के लिए— मेरा मानना है कि इसे थोड़ा सुधार/मेंटेनेंस चाहिए।"
11005,"हमने सीज़न को सबसे ख़राब पोज़िशन में समाप्त किया। जो फ़ैन हमारे पीछे खड़े हैं, उनके लिए— अगले सीज़न में और आगे बढ़ते हैं!"
11006,टीम ने शानदार कोचिंग से विश्व चैम्पियनशिप जीत ली! खिलाड़ी और प्रशंसक आपकी बेहतरीन कमांड का जश्न मना रहे हैं। बधाई हो।
11007,"यह जीत नहीं पाया, लेकिन बहुत बढ़िया काम किया। चलिए अगले सीज़न में विश्व चैंपियनशिप जीतने की कोशिश करते हैं!"
11008,"दुर्भाग्यवश, यह एक शानदार ग्रेड है। चलिए अगले सीज़न में अपनी पावर बढ़ाते हैं और अगली विश्व चैंपियनशिप जीतने की कोशिश करते हैं।"
11009,"आपने सफलतापूर्वक टूर्नामेंट में प्रवेश कर लिया है। अगले सीजन में, चलिए ऊँचे‑स्तर के टुर्नामेंट की ओर बढ़ते हैं।"
11010,"दुर्भाग्यवश, टूर्नामेंट फेल हो गया। खैर, अगले सीज़न में हम वर्ल्ड चैंपियनशिप की ओर बढ़ेंगे और ट्रॉफी को अपने नाम करेंगे।"
20000,लाइन प्रदर्शन / ऑपरेशन
20001,बैलेंस
20002,टीमफ़ाइट
20003,कस्टम
21000,यह एक रणनीति है जिसमें आप मजबूत लाइन लड़ाइयों के आधार पर स्नोबॉल रोल करते हैं। {{- यह तब उपयुक्त होता है जब आपकी लाइन लड़ाई ज़ोरदार हो। {- यदि आपके पास कमजोर धक्का है तो आप एक ही शॉट में उलटे जा सकते हैं।
21001,लाइन‑अप } टीमफ़ाइट } ऑपरेशन — गेम को संतुलित तरीके से खेलें। {{-यह तब उपयुक्त है जब खिलाड़ियों की क्षमता बराबर हो।
21002,यह एक ऐसी रणनीति है जो एक ही शॉट से पूरी टीम को गिरा देने का लक्ष्य रखती है। यह तब उपयुक्त होती है जब टीम के पास मजबूत वन-शॉट क्षमता हो।
21003,यह आपकी रणनीति है।
22000,गेम का केंद्र
22001,गैंकिन्ग का केंद्र
22002,मुख्य आदेश
23000,"गेम का केंद्र बनने के लिए अपनी क्षमता चुनें। टीम की आँकड़े बढ़ेंगे, जबकि बाकी शक्ति गिरती रहेगी।"
23001,जंगलर गैंकिंग के लिए लेन का चयन करता है।
23002,ऑपरेशन्स पर केंद्रित एक पोज़ीशन सेट करें। मुख्य ऑर्डर टीम के ऑपरेशन की हिस्सेदारी को बढ़ाएगा।
24000,संतुलन
24001,लाइन
24002,टीमफ़ाइट
24003,ऑपरेशन
24004,संतुलन
24005,टॉप
24006,मिड
24007,बॉट
24008,टॉप
24009,जंगल
24010,मिड
24011,एडी
24012,सपोर्ट
25000,आक्रमण
25001,संतुलित
25002,टैंकर
25003,हमला
25004,संतुलित
25005,टैंकर
25006,हमला
25007,संतुलित
25008,सपोर्टर
25009,आक्रमण
25010,संतुलित
25011,उपयोगिता
25012,हमला
25013,संतुलित
25014,टैंकर
26000,लाइन में विरोधी पर ज़ोरदार दबाव डालें। यह स्प्लिट के माध्यम से ऑपरेशन को भी नियंत्रित करता है। {{▲ ऑपरेशन आँकड़े बढ़ते हैं। {{-लाइन पर प्राप्त या खोए गए पॉइंट्स बढ़ते हैं। {{▼ टीमफ़ाइट आँकड़ा घटता है।
26001,बेसिक डील टैंक
26002,"लाइन लड़ाइयों में प्रभाव घटाया गया है। हालांकि वह टीमफ़ाइट में अधिक ताकतवर है।  
▲ टीमफ़ाइट क्षमता बढ़ी हुई है।  
- लाइन पर प्राप्त या खोए गए पॉइंट्स कम हो जाते हैं।  
▼ ऑपरेशन स्टैट कम किया गया है।"
26003,गैंकिंग ज़्यादा दमदार हो जाती है। लेकिन गैंक फेल होने का जोखिम बहुत अधिक रहता है। ▲ लाइन स्टैट्स बढ़ते हैं।
26004,बेसिक डैमेज टैंक
26005,"गैंक करने की क्षमता घट गई है। हालांकि, हिटिंग क्षमता बढ़ती है। {{▲ हिटिंग क्षमता बढ़ी है। {{▼ लाइनअप क्षमता कम हो रही है।"
26006,लाइन में विरोधी पर ज़ोरदार दबाव डालें। यह स्प्लिट के माध्यम से ऑपरेशन का नियंत्रण भी लेता है। {{▲ ऑपरेशन आँकड़े बढ़ते हैं। {{-लाइन पर प्राप्त या खोए गए पॉइंट्स बढ़ते हैं। {{▼ टीमफाइट आँकड़ा घटता है।
26007,बुनियादी न्यूकर चैंप।
26008,लक्ष्य है One Dil की क्षमताओं में सुधार करना। {{▲ One Dil के स्टैट बढ़े।
26009,प्रारम्भिक चरण बहुत ज़्यादा प्रभावशाली होते हैं। लेकिन समय के साथ उनका प्रभाव घटता जाता है। {{▲ पहले 20 मिनट तक की लाइन‑अप} टीमफ़ाइट क्षमता बढ़ती है। {{▼ दूसरे हाफ़ से टीमफ़ाइट क्षमता कम होती है।
26010,बेसिक वन‑डील चैम्पियन
26011,कैरी की भूमिका के बजाय टीम की मदद पर फोकस करना। {{▲ ऑपरेशनल स्टैट्स बढ़े। {{▼ लाइन स्टैट्स घटे।
26012,लाइन फाइट बहुत ताकतवर है। लेकिन कम हेल्थ के साथ ऑपरेशन करना खतरनाक हो सकता है। {{▲ लाइन‑अप आँकड़े बढ़ते हैं। {{-ऑपरेशन से मिलने या खोने वाले पॉइंट्स बढ़ते हैं।
26013,बुनियादी सपोर्ट चैंपियन।
26014,लाइन में कमजोर। लेकिन टीमफ़ाइट में मजबूत। {{▲ टीमफ़ाइट स्टैट बढ़ा है। {{▼ लाइन स्टैट घट गया है।
30000,"यदि आप Google में लॉग‑इन नहीं करेंगे, तो मल्टीप्लेयर नहीं खेल पाएँगे। कृपया तुरंत Google में लॉगिन करें।"
30001,पिछली मल्टी‑मैच के दौरान खेल का असामान्य अंत हुआ। गेम को फॉरफ़िट कर दिया गया।
30002,बधाई हो! आपने अगले स्तर में प्रोमोशन हासिल कर लिया है!
30003,लगातार हार के कारण आपको पदावनति दे दी गई है।
30004,साइन इन हो रहा है
30005,एक समस्या है। समस्या का कारण:
30006,"इंटरनेट कनेक्शन खो गया है। जब आपका इंटरनेट कनेक्शन फिर से स्थापित हो जाएगा, तो आप स्वतः पुन: जुड़ जाएंगे।"
30007,इंटरनेट मल्टी‑मैच के दौरान डिस्कनेक्ट हो गया। यदि आप **OK** क्लिक करेंगे तो स्टेडियम से बाहर निकल जाएंगे।
30008,विरोधी खोजने में समस्या हुई। {स्टेडियम से बाहर निकलने के लिए OK दबाएँ}
30009,गेम अपडेट नहीं है। मैच खेलने के लिए आपको नवीनतम संस्करण में अपडेट करना होगा। {{नीचे बटन दबाकर फिर से वर्ज़न चेक करें} या अपडेट पेज पर जाएँ।
30010,जाँच रहा हूँ।
30011,यह नवीनतम संस्करण नहीं है।
30012,मिनट
30013,आपको धोखाधड़ी खिलाड़ी के रूप में रिपोर्ट किया गया है और आप मल्टीप्लेयर गेम नहीं खेल सकते।{{किसी भी प्रश्न के लिए कृपया {hucce@gmail.com पर ईमेल करें।
