ID,Dec
10000.0,नमस्ते। आपसे मिलकर अच्छा लगा।
10001.0,प्रबंधक के समर्थन के साथ} उन्होंने LOL लीग में एक नई टीम बनाई। {
10002.0,}कृपया अपनी टीम को पहले नाम दें। 
10003.0,}चलो AAA टीम को इतिहास में बनाते हैं। 
10004.0,}यह लीग का पहला मैच है। 
10005.0,}यहां आप मैच से पहले हमारी टीम और अन्य टीमों की जानकारी देख सकते हैं। 
10006.0,}}वर्तमान टीम ने पहले से ही एक खिलाड़ी को साइन अप किया है। 
10007.0,}लेकिन आपको जीतने के लिए बहुत सारे खिलाड़ियों की आवश्यकता है। 
10008.0,}आइए मैच से पहले एक नया खिलाड़ी प्राप्त करें। 
10009.0,}भर्ती बाजार पर टैप करें 
10010.0,}आप भर्ती बाजार में आपके द्वारा किए गए सार के साथ नए खिलाड़ियों को भर्ती कर सकते हैं। {
10011.0,}आइए अब हमारे पास मौजूद सार के साथ एक नए खिलाड़ी को किराए पर लें। 
10012.0,}खरीदें खिलाड़ी बटन दबाएं। 
10013.0,}हमारे पास एक नया खिलाड़ी है। 
10014.0,}टीम अभी भी प्रतिस्पर्धी नहीं है। आइए हमारी प्रतिस्पर्धा में सुधार करने के लिए एक बेहतर खिलाड़ी को काम पर रखें। 
10015.0,}एक अच्छे खिलाड़ी की भर्ती के लिए पर्याप्त सार नहीं है। इस मामले में} आप एक प्रायोजक का उपयोग करके एक पूरी संख्या प्राप्त कर सकते हैं। 
10016.0,}}पुरस्कार अर्जित करने के लिए सभी प्रायोजकों के वीडियो विज्ञापन} देखें। 
10017.0,}प्रारंभ में} प्रायोजित विज्ञापन विशेष रूप से 50% अधिक पुरस्कार प्राप्त करने के लिए तैयार हैं। {
10018.0,}प्रायोजित विज्ञापन दबाएं। 
10019.0,}प्रायोजक ने हमें एक पूर्णांक भेजा। अब इस पूर्णांक के साथ एक नया खिलाड़ी प्राप्त करें। 
10020.0,}कृपया खरीद बटन दबाएं। 
10021.0,}हमारे पास एक नया खिलाड़ी है। 
10022.0,}अब एक नए खिलाड़ी की कोशिश करें। 
10023.0,}प्लेयर मैनेजमेंट बटन दबाएं। 
10024.0,}खिलाड़ी प्रबंधन में} आप एक उम्मीदवार खिलाड़ी का चयन कर सकते हैं। 
10025.0,}उम्मीदवार को आज़माने के लिए स्वैप बटन दबाएं। 
10026.0,}प्रेसिंग रिप्लेसिंग से चयनित खिलाड़ी को एक शुरुआती खिलाड़ी बना देगा और मौजूदा खिलाड़ी को नामांकित किया जाएगा। {
10027.0,}इसके अलावा} शुरुआत की संरचना के आधार पर} अतिरिक्त प्रभाव प्राप्त किए जा सकते हैं। {
10028.0,}बटन दबाएँ
10029.0,आप यहां टिम केमी के बारे में जानकारी पा सकते हैं। 
10030.0,}आप विभिन्न रसायन विज्ञान जैसे प्रकार और टीम से मेल करके अपनी टीम को मजबूत बना सकते हैं। {
10031.0,}X को बाहर निकलने के लिए दबाएं। 
10032.0,}अब उस खिलाड़ी को बदलते हैं जिसे किसी अन्य खिलाड़ी के लिए आवश्यकता नहीं है। 
10033.0,}पुनर्संयोजन को दबाने का प्रयास करें। 
10034.0,}यहां आप चार उम्मीदवारों को नए खिलाड़ियों से बदल सकते हैं। 
10035.0,}अस्थायी रूप से मैंने चार खिलाड़ी दिए। आइए इन खिलाड़ियों को फिर से जोड़ दें। 
10036.0,}Add बटन दबाएं। {
10037.0,}Add बटन दबाएं। {
10038.0,}Add बटन दबाएं। {
10039.0,}Add बटन दबाएं। {
10040.0,}तीनों खिलाड़ियों को रखो। अब एक नए खिलाड़ी को बदलते हैं। 
10041.0,}आप भर्ती जानकारी से खिलाड़ी की क्षमता की जानकारी की जांच कर सकते हैं। 
10042.0,}अब खिलाड़ी प्राप्त करें। 
10043.0,}पुनर्संयोजन को दबाने का प्रयास करें। 
10044.0,}इस तरह आप मौजूदा खिलाड़ियों को नए खिलाड़ियों के साथ बदल सकते हैं। 
10045.0,}अब इन खिलाड़ियों के साथ खेलते हैं। 
10046.0,}मैच बटन दबाएं 
10047.0,}गेम प्रगति बटन दबाएं। 
10048.0,}खेल शुरू हो गया है। 
10049.0,}आइए खिलाड़ियों पर भरोसा करें और खेल देखें। 
10050.0,}इस तरह} जब खेल खत्म हो जाता है} आप अनुभव और पूर्णांक प्राप्त कर सकते हैं। {
10051.0,}यदि दैनिक मैच सीमा पार हो गई है तो सार प्राप्त नहीं किया जा सकता है। 
10052.0,}}स्टेडियम से बाहर निकलने के लिए जारी बटन दबाएं। 
10053.0,}पहला गेम खत्म हो गया है। 
10054.0,}खिलाड़ी जीतने के लिए महत्वपूर्ण हैं} लेकिन प्रबंधक की रणनीति भी महत्वपूर्ण है। 
10055.0,}रणनीति बटन दबाएं। 
10056.0,}त्वरित सेटअप प्रमुख रणनीतियों को सेट करना आसान बनाता है। 
10057.0,}संतुलन अब मूल रणनीति है। 
10058.0,}आइए सेटिंग्स बदलें। 
10059.0,}लाइन / मैनेज पर क्लिक करें। 
10060.0,}लाइन मैच / ऑपरेशन एक रणनीति है जो लाइन मैच में देखे गए लाभ को संचालित करके गेम को समाप्त करती है। {
10061.0,}आइए लाइन-ऑफ-लाइन ऑपरेशन में रणनीति बदलें। 
10062.0,}सेटिंग्स बटन दबाएं 
10063.0,}टीम की रणनीति अब लाइन-टू-रन के साथ बदल गई है। 
10064.0,}यह त्वरित सेटअप आपकी टीम की रणनीति को बदलना आसान बनाता है। 
10065.0,}विस्तृत सेटिंग्स को निर्देशों और पिकवन के माध्यम से सेट किया जा सकता है। 
10066.0,}अब हमारी रणनीति का परीक्षण करें। 
10067.0,}मैच बटन दबाएं 
10068.0,}आइए देखें कि मैच में आगे बढ़ने से पहले मैच आइटम का उपयोग कैसे करें। 
10069.0,}तू बटन दबाएँ।
10070.0,मैंने एक उपहार के रूप में 10% अतिरिक्त अनुभव आइटम सुना। 
10071.0,}कृपया उपयोग करें। {
10072.0,"}यदि आप उपयोग की जाँच करते हैं, तो आप भविष्य के मैचों में संबंधित आइटम का उपयोग करेंगे। {"
10073.0,"}यदि कई आइटम हैं, तो आप स्वचालित रूप से आइटम का उपयोग करने के लिए ऑटो की जांच कर सकते हैं। "
10074.0,}}एक ही प्रकार की वस्तुओं का उपयोग बार -बार नहीं किया जा सकता है। 
10075.0,}X को बाहर निकलने के लिए दबाएं। 
10076.0,}अब रणनीतियों और वस्तुओं की जाँच करें। 
10077.0,}गेम प्रगति बटन दबाएं 
10078.0,"}इस मैच के बाद, प्रबंधक का स्तर बढ़ गया है। "
10079.0,"}जैसे -जैसे प्रबंधक स्तर बढ़ता है, आपको इस तरह एक अतिरिक्त सार मिलता है। "
10080.0,}}आप दैनिक मैच सीमा की परवाह किए बिना प्रबंधक स्तर से अतिरिक्त निबंध प्राप्त कर सकते हैं। {
10081.0,}स्टेडियम से बाहर निकलने के लिए जारी बटन दबाएं। 
10082.0,}इस मैच में अनुभव प्राप्त करके कुछ खिलाड़ियों को समतल किया गया है। 
10083.0,}जो खिलाड़ी अपने आँकड़े बढ़ा सकते हैं। 
10084.0,}प्रेस प्लेयर मैनेजमेंट। 
10085.0,"}जिन एथलीटों को समतल किया गया है, उनके स्तर पर एक तीर का निशान है। "
10086.0,}}आँकड़ों को उठाने के लिए खिलाड़ी के स्तर पर टैप करें। 
10087.0,}यहां आप अपने वांछित आँकड़ों को अंक द्वारा बढ़ा सकते हैं। 
10088.0,}आप वांछित स्टेट के तीर को टैप करके स्टेट को बढ़ा सकते हैं। 
10089.0,}}
10090.0,अपने वांछित आँकड़े टैप करें और निर्णय टैप करें। 
10091.0,}इससे खिलाड़ी की क्षमता बढ़ेगी। 
10092.0,}X को बाहर निकलने के लिए दबाएं। 
10093.0,}एथलीटों को इस तरह से समतल और मजबूत करके मजबूत बनाया जा सकता है। 
10094.0,}}चलो खिलाड़ी को सुदृढ़ करके मजबूत बनाते हैं। 
10095.0,}सुदृढ़ बटन दबाएं। 
10096.0,}सुदृढीकरण खिलाड़ी को एक ही खिलाड़ी के माध्यम से मजबूत बनाता है। 
10097.0,}इस समय} चलो मेरे द्वारा दिए गए खिलाड़ी को मजबूत किया। 
