ID,Name,Dec
1000,Hadiah Login Harian.,Login hari ini hadiah
1001,3 Hadiah Harian.,3 Hadiah Pertandingan Hari Ini
1002,Dukung,Anda dapat mensponsori pengembang melalui twonation.
1003,Ulasan,Harap tinjau dan kami akan menghargai Anda.
1004,Tutorial lengkap,Lengkapi tutorial.
1005,Prestasi peringkat perak,Mencapai peringkat perak multiplay
1006,Prestasi peringkat emas,Dapatkan Peringkat Emas Multipemain
1007,Prestasi peringkat platinum,Mencapai Peringkat Multipelay Platinum
1008,Prestasi peringkat berlian,Mencapai peringkat berlian multiplay
1009,Magister Prestasi Peringkat,Dapatkan Peringkat Master Multiplay
1010,Pencapaian penantang,Mencapai Peringkat Multiplay Challenger
1011,Juara Liga,Dicapai tempat pertama di liga
1012,Medali perak,Mencapai tempat kedua di liga
1013,Medali perunggu,Mencapai tempat ketiga di liga
1014,3 juara,Mencapai 3 gelar liga
1015,3 medali perak,Mencapai tempat kedua dalam tiga liga
1016,3 medali perunggu,Mencapai tempat ketiga dalam tiga liga
1017,5 Champion.,Mencapai 5 judul liga
1018,5 medali perak,Mencapai tempat kedua dalam lima liga
1019,5 medali perunggu,Mencapai tempat ketiga dalam lima liga
1020,Musim pertama,Batas waktu musim pertama
1021,Musim ketiga.,Batas waktu ketiga musim
1022,Musim kelima.,Batas waktu musim kelima ..
1023,Musim kesepuluh,Batas waktu musim ke-10.
1024,6 Hadiah Harian.,6 Hadiah Pertandingan Hari Ini
1025,Prestasi peringkat perak,Mencapai peringkat perak multiplay
1026,Prestasi peringkat emas,Dapatkan Peringkat Emas Multipemain
1027,Prestasi peringkat platinum,Mencapai Peringkat Multipelay Platinum
1028,Prestasi peringkat berlian,Mencapai peringkat berlian multiplay
1029,Magister Prestasi Peringkat,Dapatkan Peringkat Master Multiplay
1030,Pencapaian penantang,Mencapai Peringkat Multiplay Challenger
1031,Batas kecocokan harian,Jumlah pertandingan per hari di mana Anda bisa mendapatkan esensi
