ID,Dec
10000,Hai.  Senang berkenalan dengan Anda.
10001,Dengan dukungan manajer} ia menciptakan tim baru di LOL League.
10002,Harap beri nama tim Anda terlebih dahulu.
10003,Mari kita buat tim AAA ke dalam sejarah.
10004,Ini adalah pertandingan pertama liga.
10005,Di sini Anda dapat melihat informasi tim kami dan tim lain sebelum pertandingan.
10006,Tim saat ini sudah memiliki pemain yang mendaftar.
10007,Tetapi Anda membutuhkan banyak pemain untuk menang.
10008,Mari kita dapatkan pemain baru terlebih dahulu sebelum pertandingan.
10009,Ketuk Pasar Perekrutan
10010,Anda dapat merekrut pemain baru dengan esensi yang Anda miliki di pasar perekrutan.
10011,Mari kita menyewa pemain baru dengan esensi yang kita miliki sekarang.
10012,Tekan tombol perekrutan X1.
10013,Kami memiliki pemain baru.
10014,Tim masih belum kompetitif.  Mari kita menyewa pemain yang lebih baik untuk meningkatkan daya saing kita.
10015,Tidak ada cukup esensi untuk merekrut pemain yang bagus.  Dalam hal ini} Anda bisa mendapatkan bilangan bulat menggunakan sponsor.
10016,Lihat semua iklan video sponsor} untuk mendapatkan hadiah.
10017,Awalnya} Iklan yang disponsori secara khusus siap menerima 50% lebih banyak hadiah.
10018,Iklan yang disponsori pers.
10019,Sponsor mengirimi kami bilangan bulat.  Sekarang mari kita dapatkan pemain baru dengan bilangan bulat ini.
10020,Tekan tombol perekrutan X5.
10021,Kami memiliki pemain baru.
10022,Sekarang mari kita coba pemain baru.
10023,Tekan tombol Manajemen Pemain.
10024,Dalam manajemen pemain} Anda dapat memilih pemain kandidat.
10025,Tekan tombol swap untuk mencoba kandidat.
10026,Menekan Replace akan membuat pemain yang dipilih menjadi pemain awal dan pemain yang ada akan dinominasikan.
10027,Juga} tergantung pada komposisi starter} efek tambahan dapat diperoleh.
10028,Tekan tombol
10029,Anda dapat menemukan informasi tentang Tim Chemie di sini.
10030,Anda dapat membuat tim Anda lebih kuat dengan mencocokkan kimia yang berbeda seperti jenis dan tim.
10031,Tekan X untuk keluar.
10032,Sekarang mari kita ubah pemain yang tidak diperlukan ke pemain lain.
10033,Coba tekan rekombinasi.
10034,Di sini Anda dapat mengganti empat kandidat dengan pemain baru.
10035,Sementara saya memberi empat pemain.  Mari kita bergabung kembali dengan para pemain ini.
10036,Tekan tombol Tambah.
10037,Tekan tombol Tambah.
10038,Tekan tombol Tambah.
10039,Tekan tombol Tambah.
10040,Letakkan ketiga pemain.  Sekarang mari kita ubah menjadi pemain baru.
10041,Anda dapat memeriksa informasi kemampuan pemain dari informasi perekrutan.
10042,Sekarang dapatkan pemainnya.
10043,Coba tekan rekombinasi.
10044,Dengan cara ini Anda dapat mengganti pemain yang sudah ada dengan pemain baru.
