ID,Name,Dec
1000,Ricompensa di accesso quotidiano,Accedi oggi ricompensa
1001,3 premi giornalieri,I premi per 3 partite di oggi
1002,Supporto,Puoi sponsorizzare lo sviluppatore attraverso Twonation.
1003,Revisione,Si prega di rivedere e ti ricompenseremo.
1004,Tutorial completo,Tutorial completo
1005,Achievement Silver Rank,Ottenere il rango d'argento multiplay
1006,Achievement Gold Rank,Ottenere il rango d'oro multiplay
1007,RAGGIEZIONE DEL RANNO PLATINUM,Ottenere rango platino multiplay
1008,Achievement Diamond Rank,Ottenere il rango di diamanti multiplay
1009,Contratto di rango principale,Ottenere il rango master multiplay
1010,Achievement Challenger,Ottenere il rango di sfidante multiplay
1011,Campione della lega,Raggiunto il primo posto in campionato
1012,Medaglia d'argento,Raggiunto il secondo posto in campionato
1013,Medaglia di bronzo,Raggiunto il terzo posto in campionato
1014,3 campioni,Ottenere 3 titoli di campionato
1015,3 medaglie d'argento,Raggiunto il secondo posto in tre leghe
1016,3 medaglie di bronzo,Raggiunto il terzo posto in tre campionati
1017,5 campioni,Ottenere 5 titoli di campionato
1018,5 medaglie d'argento,Ottenere il secondo posto in cinque campionati
1019,5 medaglie di bronzo,Raggiungere il terzo posto in cinque campionati
1020,Prima stagione,Scadenza della prima stagione
1021,Terza stagione,Scadenza della terza stagione
1022,Quinta stagione,Scadenza della quinta stagione
1023,Decima stagione,Scadenza della decima stagione
1024,6 premi giornalieri,I premi per le 6 partite di oggi
1025,Achievement Silver Rank,Ottenere il rango d'argento multiplay
1026,Achievement Gold Rank,Ottenere il rango d'oro multiplay
1027,RAGGIEZIONE DEL RANNO PLATINUM,Ottenere rango platino multiplay
1028,Achievement Diamond Rank,Ottenere il rango di diamanti multiplay
1029,Contratto di rango principale,Ottenere il rango master multiplay
1030,Achievement Challenger,Ottenere il rango di sfidante multiplay
1031,Limite di corrispondenza giornaliera,Numero di partite al giorno in cui puoi ottenere essenza
