ID,Name,Dec
1000,毎日のログイン報酬,今日の報酬をログインします
1001,3毎日の報酬,今日の3試合の報酬
1002,サポート,Twonationを介して開発者を後援することができます。
1003,レビュー,レビューしてください、そして私たちはあなたに報います。
1004,チュートリアル完了,完全なチュートリアル
1005,シルバーランクアチーブメント,マルチプレイシルバーランクを達成します
1006,ゴールドランクアチーブメント,マルチプレイゴールドランクを達成します
1007,プラチナランクの達成,マルチプレイプラチナランクを達成します
1008,ダイヤモンドランクの達成,マルチプレイダイヤモンドランクを達成します
1009,マスターランクアチーブメント,マルチプレイマスターランクを達成します
1010,チャレンジャーの成果,マルチプレイチャレンジャーランクを達成します
1011,リーグチャンピオン,リーグで1位を獲得しました
1012,銀メダル,リーグで2位を獲得しました
1013,銅メダル,リーグで3位を獲得しました
1014,3チャンピオン,3つのリーグタイトルを達成します
1015,3銀メダル,3つのリーグで2位を獲得しました
1016,3つの銅メダル,3つのリーグで3位を獲得しました
1017,5人のチャンピオン,5つのリーグタイトルを達成します
1018,5銀メダル,5つのリーグで2位を獲得します
1019,5つの銅メダル,5つのリーグで3位を獲得します
1020,最初のシーズン,最初のシーズンの締め切り
1021,第3シーズン,第3シーズンの締め切り
1022,第5シーズン,第5シーズンの締め切り
1023,第10シーズン,第10シーズンの締め切り
1024,6毎日の報酬,今日の6試合の報酬
1025,シルバーランクアチーブメント,マルチプレイシルバーランクを達成します
1026,ゴールドランクアチーブメント,マルチプレイゴールドランクを達成します
1027,プラチナランクの達成,マルチプレイプラチナランクを達成します
1028,ダイヤモンドランクの達成,マルチプレイダイヤモンドランクを達成します
1029,マスターランクアチーブメント,マルチプレイマスターランクを達成します
1030,チャレンジャーの成果,マルチプレイチャレンジャーランクを達成します
1031,毎日の一致制限,エッセンスを得ることができる1日あたりの一致数
