ID,Dec
1000000.0,第18シーズンで KRリーグの全チームを倒せ。
1000001.0,2019年春シーズンでKRリーグ全チームを撃破せよ。
1000002.0,2019年サマーシーズンでKRリーグの全チームを撃破せよ。
1000003.0,マルチマッチ19シーズンのトップ10チームをすべて撃破せよ。
1000004.0,2020年春シーズンでKRリーグの全チームを撃破せよ！
1000005.0,2020年春シーズンでEUリーグの全チームに打ち倒せ。
1000006.0,2020年春季シーズンで、NAリーグ（LCS）に所属する全チームを撃破せよ。
1000007.0,2020年サマーシーズンで、すべてのKRリーグチームを撃破せよ。
1000008.0,2020年サマーシーズンでEUリーグの全チームを撃破せよ。
1000009.0,20サマーシーズンで北米リーグの全チームを撃破せよ。
1000010.0,マルチマッチ20シーズンのトップ10チームをすべて撃破せよ。
1000011.0,2021年春シーズン、KRリーグの全チームを撃破しろ！
1000012.0,2021年春シーズンでEUリーグの全チームを撃破せよ。
1000013.0,2021年春シーズンでNAリーグの全チームを撃破せよ。
1000014.0,マルチマッチ21‑1シーズンのトップ10チームをすべて撃破せよ。
1000015.0,マルチマッチ21‑2シーズンのトップ10チームをすべて撃破せよ。
1000016.0,2021年春シーズン、すべてのCNリーグチームを撃破せよ。
1000017.0,2021年夏シーズンでKRリーグの全チームを撃破せよ。
1000018.0,2021年サマーシーズンでEUリーグの全チームを撃破せよ！
1000019.0,2021年サマーシーズンで、NAリーグの全チームを撃破せよ。
1000020.0,2021年夏シーズンで、CNリーグの全チームを撃破せよ。
1000021.0,マルチマッチ 21‑3 シーズンのトップ10チームを全て撃破せよ。
1000022.0,マルチマッチ 22‑1シーズンのトップ10チームを全て撃破せよ。
1000023.0,2022年春シーズンでKRリーグの全チームを撃破せよ！
1000024.0,2022年春シーズンでEUリーグの全チームを撃破せよ。
1000025.0,2022年春季シーズンでNAリーグの全チームを撃破せよ。
1000026.0,マルチマッチ 22‑2シーズンのトップ10チームをすべて撃破せよ。
1000027.0,マルチマッチ 22‑3シーズンのトップ10チームを全て倒す。
1000028.0,マルチマッチ 22-4シーズンのトップ10チームをすべて倒せ。
1000029.0,2022年サマーシーズンでLCK（KRリーグ）の全チームを撃破せよ。
1000030.0,2022年サマーシーズンでEUリーグの全チームを撃破せよ。
1000031.0,2022年夏シーズンでNAリーグの全チームを撃破せよ。
1000032.0,マルチマッチ23‑1シーズンのトップ10チームを全て撃破せよ。
1000033.0,マルチマッチ 23-2シーズンのトップ10チームをすべて倒せ。
1000034.0,2023スプリングシーズンでKRリーグの全チームを倒せ！
1000035.0,2023年春シーズンでEUリーグの全チームを撃破しろ。
1000036.0,2023年春シーズンでNAリーグ全チームを撃破せよ！
1000037.0,マルチマッチ23‑3シーズンのトップ10チームをすべて撃破せよ。
1000038.0,2023年夏シーズンでKRリーグの全チームを撃破せよ！
1000039.0,2023年夏シーズンでEUリーグの全チームを撃破せよ。
1000040.0,2023年夏シーズンで、NAリーグの全チームを撃破せよ。
1000041.0,マルチマッチ 23‑4 シーズンのトップ10チームを全て撃破せよ。
1000042.0,マルチマッチ24‑1シーズンのトップ10チームをすべて撃破せよ。
1000043.0,マルチマッチ24‑2シーズンのトップ10チームを全て撃破せよ。
1000044.0,2024年春シーズンで KRリーグの全チームを打ち破れ！
1000045.0,2024年春シーズンでEUリーグの全チームを撃破せよ。
1000046.0,2024年春シーズンで、NAリーグの全チームを撃破せよ。
1000047.0,マルチマッチ 24‑3シーズンのトップ10チームを全て撃破せよ。
1000048.0,2024年サマーシーズンでKRリーグの全チームを撃破せよ。
1000049.0,2024年夏シーズンでEUリーグの全チームを倒せ！
1000050.0,2024年夏シーズンで、NAリーグの全チームを撃破せよ。
1000051.0,マルチマッチ 24‑4 シーズンのトップ10チームを全て撃破せよ。
1000052.0,マルチマッチ 25‑1シーズンのトップ10チームを全員撃破せよ。
1000053.0,マルチマッチ 25‑2シーズンのTop10チームをすべて撃破せよ。
1000054.0,2025年春シーズンでKRリーグの全チームを撃破せよ。
1000055.0,2025年春シーズンでEUリーグの全チームを撃破せよ。
1000056.0,2025年春シーズンでNAリーグの全チームを撃破せよ。
1000057.0,マルチマッチ25‑3シーズンのトップ10チームをすべて倒せ！
1000058.0,2025年夏シーズンでKRリーグ全チームを撃破せよ。
1000059.0,2025年サマーシーズンでEUリーグの全チームを撃破せよ。
1000060.0,2025年夏シーズンでNAリーグの全チームを撃破しろ！
1000061.0,マルチマッチ 25‑4シーズンのトップ10チームをすべて撃破せよ。
1000062.0,26 ウィンター シーズンに KR リーグのチームをすべて破る。
1000063.0,26 ウィンター シーズンに EU リーグのすべてのチームを破る。
1000064.0,26 ウィンター シーズンに NA リーグのすべてのチームを破る。
1000065.0,マルチマッチ 26-1 シーズンのトップ 10 チームをすべて破る。
