ID,Name,Dec
1000,金の募集,81を超える統計統計を持つ1つのランダムプレーヤーを募集します。
1001,ゴールドパッケージ,81を超える統計統計を持つ5人のランダムプレーヤーを募集します。
1002,プレイヤーの募集,1ランダムなプレーヤーを募集します。
1003,銀の募集,76を超える統計統計を持つ1つのランダムプレーヤーを募集します。
1004,金の募集,81を超える統計統計を持つ1つのランダムプレーヤーを募集します。
1005,プラチナ募集,84以上のGPAを合わせた1つのランダムプレーヤーを募集します。
1006,基本パッケージ,5人のランダムプレーヤーを募集します。
1007,シルバーパッケージ,76を超える統計統計を持つ5人のランダムプレーヤーを募集します。
1008,ゴールドパッケージ,81を超える統計統計を持つ5人のランダムプレーヤーを募集します。
1009,プラチナパッケージ,84以上のGPAを組み合わせた5人のランダムプレーヤーを募集します。
1010,2021シーズン募集,21SPR-21Sumシーズンから1つのランダムプレーヤーを募集します。
1011,2021シーズンパッケージ, （制限が含まれていません）
1012,2022シーズン募集,21SPR-21Sumシーズンから5人のランダムプレーヤーを募集します。
1013,2022シーズンパッケージ, （制限が含まれていません）
1014,2023シーズン募集,22SPR-22Sumシーズンから1つのランダムプレーヤーを募集します。
1015,2023シーズンパッケージ, （制限が含まれていません）
1016,前シーズンの募集,22SPR-22Sumシーズンから5人のランダムプレーヤーを募集します。
1017,前シーズンパッケージ, （制限が含まれていません）
1018,コーチの募集,23SPR-23Sumシーズンから1つのランダムプレーヤーを募集します。
1019,チーム名を変更します, （制限が含まれていません）
