ID,Dec
10000,こんにちは。始めまして。
10001,マネージャーのサポートにより、彼はロールリーグに新しいチームを作成しました。
10002,最初にチームに名前を付けてください。
10003,AAAチームを歴史に作りましょう。
10004,これはリーグの最初の試合です。
10005,ここでは、試合の前にチームやその他のチームの情報を見ることができます。
10006,現在のチームにはすでに登録されています。
10007,しかし、あなたは勝つためにたくさんのプレーヤーが必要です。
10008,一致の前に最初に新しいプレーヤーを取得しましょう。
10009,採用市場をタップします
10010,あなたは採用市場であなたが持っている本質で新しいプレーヤーを募集することができます。
10011,私たちが今持っている本質を持つ新しいプレーヤーを雇ってみましょう。
10012,購入者ボタンを押します。
10013,私たちは新しいプレーヤーを持っています。
10014,チームはまだ競争力がありません。競争力を向上させるためにより良いプレイヤーを雇ってみましょう。
10015,良いプレーヤーを募集するのに十分なエッセンスがありません。この場合、スポンサーを使用して整数を取得できます。
10016,スポンサーのすべてのビデオ広告}を表示して報酬を獲得できます。
10017,スポンサーアドレスは、50％以上の報酬を受け取るために特別に準備されています。
10018,スポンサードアドバタイジングを押します。
10019,スポンサーは私達に整数を送った。それでは、この整数の新しいプレーヤーを入手しましょう。
10020,購入ボタンを押してください。
10021,私たちは新しいプレーヤーを持っています。
10022,それでは新しいプレーヤーを試してみましょう。
10023,プレーヤー管理ボタンを押します。
10024,プレイヤー管理では、候補者を選択できます。
10025,スワップボタンを押して候補を試す。
10026,REPLACEを押すと、選択されたプレーヤーが開始プレーヤーと既存のプレーヤーが推薦されます。
10027,スターターの構成に応じて}追加の効果が得られます。
10028,ボタンを押す
10029,Tim Chemieに関する情報はこちらです。
10030,タイプやチームなどのさまざまな化学物質をマッチングすることで、チームを強くすることができます。
10031,終了するにはXを押します。
10032,それでは、他のプレイヤーに必要ないプレイヤーを変更しましょう。
10033,再結合を押してみてください。
10034,ここでは、4つの候補者を新しいプレーヤーに置き換えることができます。
10035,一時的に私は4人の選手を与えました。これらのプレーヤーを再結合させましょう。
10036,追加ボタンを押してください。
10037,追加ボタンを押してください。
10038,追加ボタンを押してください。
10039,追加ボタンを押してください。
10040,3人全員を置く。今新しいプレイヤーに変えましょう。
10041,あなたは募集情報からプレイヤーの能力情報をチェックすることができます。
10042,今プレーヤーを入手してください。
10043,再結合を押してみてください。
10044,このようにして、既存のプレーヤーを新しいプレイヤーと置き換えることができます。
10045,今これらの選手と遊ぼう。
10046,試合ボタンを押す
10047,ゲームの進行状況ボタンを押してください。
10048,ゲームが始まりました。
10049,プレーヤーを信頼してゲームを見てみましょう。
10050,ゲームが終わったら、経験や整数を取得できます。
10051,毎日の一致限度を超えると、本質が得られません。
10052,続行ボタンを押してスタジアムを終了します。
10053,最初のゲームは終わりました。
10054,プレイヤーは勝利にとって重要です}しかし、マネージャー戦略も重要です。
10055,[戦略]ボタンを押してください。
10056,クイックセットアップにより、キー戦略を簡単に設定できます。
10057,バランスは基本的な戦略です。
10058,設定を変更しましょう。
10059,行/管理をクリックします。
10060,ラインマッチ/操作は、ラインマッチで見られるゲインを操作することによってゲームを終了する戦略です。
10061,戦略を回線操作に変更しましょう。
10062,設定ボタンを押してください
10063,チームの戦略は現在ラインイングラフィーで変更されました。
10064,このクイックセットアップにより、チームの戦略を簡単に変更できます。
10065,詳細設定は、指示とPickvanで設定できます。
10066,それでは私たちの戦略をテストしましょう。
10067,試合ボタンを押す
10068,試合に進む前に、一致項目を使用する方法を見てみましょう。
10069,！ボタンを押す。
10070,私は贈り物として10％追加の経験を聞いた。
10071,使用確認してください。
10072,使用を確認した場合は、将来の一致で対応する項目を使用します。
10073,複数の項目がある場合は、自動的に項目を使用するように自動を確認できます。
10074,同じ種類の項目は繰り返し使用できません。
10075,終了するにはXを押します。
10076,さて、戦略やアイテムをチェックしましょう。
10077,ゲームの進行ボタンを押してください
10078,この試合の後、マネージャーのレベルは上昇しました。
10079,マネージャーレベルが上がるにつれて、このような余分なエッセンスが得られます。
10080,毎日の一致限度に関係なく、マネージャレベルから追加のエッセンスを取得できます。
10081,続行ボタンを押してスタジアムを終了します。
10082,この試合で経験を得ることによって一部のプレイヤーがレベルアップされています。
10083,レベルアップするプレイヤーは彼らの統計を増やすことができます。
10084,プレーヤー管理を押します。
10085,平準化した選手はレベルに矢印を付けます。
10086,プレーヤーのレベルをタップして統計を上げます。
10087,ここでは、希望する統計をポイントごとに増やすことができます。
10088,目的のSTATの矢印をタップしてSTATを増やすことができます。
10089,希望する統計をタップして決定をタップします。
10090,これにより、選手の能力が向上します。
10091,終了するにはXを押します。
10092,選手はレベリングと強化によって強くすることができます。
10093,強化によってプレイヤーを強くするようにしましょう。
10094,補強ボタンを押します。
10095,補強は、プレイヤーを同じプレイヤーを通して強くします。
10096,今回は私があなたに与えたプレーヤーを再越えました。
10097,▼ボタンを押してみてください。
10098,ボタンを押してスターターリストを閉じます。ボタンを押して、サブプレーヤーのより大きなリストを表示します。
10099,今すぐプレーヤーを追加してみてください。
10100,追加ボタンを押してください。
10101,プレイヤーが追加された場合}同じプレイヤーだけが表示されます。
10102,追加ボタンを押してください。
10103,スタッフプレーヤーが追加されるように}あなたは成功の可能性を見ることができます。
10104,成功の可能性は、補強レベルと補強レベルの差によって決まります。
10105,Reinfroceボタンを押します。
10106,あなたがこのように再詐欺されたら、スタッフプレーヤーは消えます。
10107,そうしないと、メインプレーヤーが消えたりクラスを失うことはありません。
10108,今最後にリーグの情報を確認しましょう。
10109,リーグボタンを押します。
10110,スケジュールボタンを押します。
10111,あなたはここであなたのチームのリーグスケジュールをチェックすることができます。
10112,ランクボタンを押してください。
10113,ここでリーグの順位を見ることができます。
10114,トーナメントボタンを押す
10115,ここでは、通常のリーグが終了した後にプレーオフをチェックすることができます。
10116,Wは世界選手権への進歩のランキングです。
10117,世界選手権は通常のリーグの終わりに開催されます。
10118,あなたは他のリーグのトップチームと競争し、より高い報酬を得ることができます。
10119,SETボタンを押します。
10120,あなたがリーグを望みます
10121,難易度を設定して新しいリーグを始めることができます。
10122,リーグと困難を選択することによって、あなたは変更された報酬とリーグチームの能力を見ることができます。
10123,リーグと難易度を選択して、新しいリーグボタンを起動してください。
10124,あなたはこのような新しいリーグを始めることができます。
10125,今すべての準備ができています。
10126,managerは私たちに本質を送った。
10127,AAAリーグの勝者を作ろう！
10128,こんにちは。マルチマッチゲームへようこそ。
10129,ここで他のコーチを一致させることができます。
10130,ここであなたはあなたのチームの格付けを見ることができます}ポイントとマッチデータとを見ることができます。
10131,報酬情報ボタンを押してください。
10132,ここでは、マルチマッチの報酬に関する情報を見つけることができます。
10133,ティアテーブルの上に、6層の青銅}}} Zrandond} Master} Master} Master} Master} Master}
10134,初めて起動したときは、青銅階層から始めます。
10135,あなたのティアを上げるとあなたに上記の本質が与えられます。
10136,そして、あなたは以下の百分率で一致の終わりにボーナスエッセンスを獲得することができます。
10137,私はシーズンを説明します。
10138,シーズンはティアをリセットし、一定の期間後に新しいゲームを始めます。
10139,新しいシーズンが始まると、昨シーズンのランクに従って報酬があります。
10140,あなたのティアの報酬はここで見つけることができます。
10141,今すぐXを押して報酬情報を終了します。
10142,ティアアップする}あなたは試合に勝ち、ポイントを集める必要があります。
10143,次の層に進むには100ポイントを集めてください。
10144,しかし、ゼロでの継続的な損失で降格させることができるので注意してください。
10145,あなたが勝利することによってあなたの階層を上げるならば、あなたは下のランキングを通してあなたのチームのランキングをチェックすることができます。
10146,そして、あなたはランクのチームを詳細に見ることができます。
10147,ボタンを押す。
10148,これで、レンダが使用しているプレーヤーや戦略が見られます。それをチェックアウトしてチームを強く成長させます。
10149,もう一度ボタンを押しましょう。
10150,ランキングは更新に時間がかかります。
10151,すぐに更新したい場合は、更新ボタンを介してすぐにランク付けを更新できます。
10152,良い。準備ができてランクを上げて、トップマネージャになるためにポイントを集めてください！
10153,あなたのアカウントであなたはあなたのアカウント情報と毎日の成果を見ることができます}その他の情報。
10154,毎日のクエストは毎日更新されます。
10155,業績では、成果を見ることができます
10156,季節には、シーズンごとに新しいクエストが更新されました。
10157,他には、開発者サポートなどの他の部分を見ることができます。
10158,クエストアチーブメントや他の部分を完成させることで報酬を稼ぐことができます。
10159,さらに、スポンサーシップは将来的にゲームを開発し続けるのに役立ちます。
10160,あなたの後援をありがとう。ありがとうございました。
