ID,Dec
1000000,Ngalahake kabeh tim liga ing 18 musim. 
1000001,Ngalahake kabeh tim liga ing musim semi. 
1000002,Ngalahake kabeh tim liga ing musim panas. 
1000003,Kalah kabeh tim match match 19 mangsa Top10. Kèndêl ingsun 
1000004,Ngalahake kabeh tim liga ing 20 musim semi. |Ngalahake kabeh tim liga ing 20 musim semi. Kèndêl ingsun 
1000005,Ngalahake kabeh tim liga ing 20 musim semi. |Ngalahake kabeh tim liga ing musim panas. Kèndêl ingsun 
1000006,Ngalahake kabeh tim liga ing EU ing musim panas 20 musim panas. 
1000007,Ngalahake kabeh tim liga ing musim panas 20 musim panas. Kèndêl ingsun |Kekalahan kabeh tulisan setaun 20 SOP10. Kèndêl ingsun 
1000008,Ngalahake kabeh tim liga ing 21 musim semi. Kèndêl ingsun 
1000009,Ngalahake kabeh tim liga ing 21 musim semi. |Ngalahake kabeh tim liga ing 21 musim semi. |Kekalahan kabeh tulisan multi 14-1 Musim Top10. Kèndêl ingsun 
1000010,Kalah kabeh tim kaping pindho 3-2 musim ndhuwur. |Ngalahake kabeh tim liga Cn ing tanggal 21 musim semi. |Ngalahake kabeh tim liga ing musim panas. 
1000011,Ngalahake kabeh tim liga ing EU ing musim panas 21. 
1000012,Ngalahake kabeh tim liga ing musim panas 21. |Ngalahake kabeh tim liga Cn ing musim panas. Kèndêl ingsun |Kalah kabeh tim kaping pindho 3-3 musim 10-3 musim. |Kalah kabeh set macem-macem pasangan 22-1 Musim Top10. Kèndêl ingsun 
1000013,Ngalahake kabeh tim liga ing musim semi ing 22 musim semi. |Ngalahake kabeh tim liga ing 22 musim semi. |Ngalahake kabeh tim liga ing tanggal 22 musim semi. |Kekalahan kabeh tulisan setaun 22-2 musim paling dhuwur. Kèndêl ingsun 
1000014,Kekalahan kabeh pertandingan macem-macem 22-3 musim ndhuwur. Kèndêl ingsun 
1000015,Kalah kabeh nomer macem-macem 22-4 musim paling dhuwur10 tim. Kèndêl ingsun 
1000016,Ngalahake kabeh tim liga ing musim panas. Kèndêl ingsun 
1000017,Ngalahake kabeh tim liga ing taun 22 musim panas. 
1000018,Ngalahake kabeh tim liga ing musim panas 22. V |Kalah kabeh siji kaping 23-1 Musim Top10. Kèndêl ingsun 
1000019,Kalah kabeh tim kaping 23-2 musim ndhuwur. Kèndêl ingsun 
1000020,Ngalahake kabeh tim liga ing musim semi. Kèndêl ingsun 
1000021,Ngalahake kabeh tim liga ing eu ing musim semi. Kèndêl ingsun 
1000022,Ngalahake kabeh tim liga ing musim semi ing musim semi. 
1000023,Kekalahan kabeh pertandhingan kaping pindho 23-3 musim. |Ngalahake kabeh tim liga ing musim panas 23. |Asor kabeh tim liga ing EU ing musim panas. 
1000024,Ngalahake kabeh tim liga ing musim panas. 
1000025,Kekalahan kabeh tandhing kaping 23-4 musim top10. |Kekalahan kabeh nomer kaping 24-1 musim top10. Kèndêl ingsun 
1000026,Kalah kabeh tim 24-2 musim top10. |Ngalahake kabeh tim liga ing 24 musim semi. Kèndêl ingsun 
1000027,Ngalahake kabeh tim liga ing 24 musim semi. |Ngalahake kabeh tim liga ing 24 musim semi. |
1000028,Defeat all Multi Match 22-4 Season Top10 teams.
1000029,Defeat all the KR League teams in the 22 summer season.
1000030,Defeat all the EU League teams in the 22 summer season.
1000031,Defeat all the NA League teams in the 22 summer season.
1000032,Defeat all Multi Match 23-1 Season Top10 teams.
1000033,Defeat all Multi Match 23-2 Season Top10 teams.
1000034,Defeat all the KR League teams in the 23 spring season.
1000035,Defeat all the EU League teams in the 23 spring season.
1000036,Defeat all the NA League teams in the 23 spring season.
1000037,Defeat all Multi Match 23-3 Season Top10 teams.
1000038,Defeat all the KR League teams in the 23 summer season.
1000039,Defeat all the EU League teams in the 23 summer season.
1000040,Defeat all the NA League teams in the 23 summer season.
1000041,Defeat all Multi Match 23-4 Season Top10 teams.
1000042,Defeat all Multi Match 24-1 Season Top10 teams.
1000043,Defeat all Multi Match 24-2 Season Top10 teams.
1000044,Defeat all the KR League teams in the 24 spring season.
1000045,Defeat all the EU League teams in the 24 spring season.
1000046,Defeat all the NA League teams in the 24 spring season.
