ID,Dec
10000,Hi.  Becik ketemu sampeyan.
10001,"Kanthi dhukungan saka manajer}, dheweke nggawe tim anyar ing liga lol."
10002,Mangga jeneng tim pisanan.
10003,Ayo nggawe tim AAA dadi sejarah.
10004,Iki minangka pertandhingan pertama liga.
10005,Ing kene sampeyan bisa ndeleng informasi babagan tim lan tim liyane sadurunge pertandingan kasebut.
10006,Tim saiki wis duwe pemain sing mlebu.
10007,Nanging sampeyan butuh akeh pemain sing menang.
10008,Ayo pamuter anyar sadurunge pertandingan.
10009,Tutul pasar rekrutmen
10010,Sampeyan bisa njupuk rekrut pemain anyar kanthi intine sampeyan duwe ing pasar recruiting.
10011,Ayo nyewa pemain anyar kanthi intine saiki.
10012,Pencet tombol Rekrutmen X1.
10013,Kita duwe pemain anyar.
10014,Tim isih ora kompetitif.  Ayo nyewa pemain sing luwih apik kanggo nambah daya saing.
10015,Ora cukup inti kanggo ngrebut pamuter sing apik.  Ing kasus iki} sampeyan bisa entuk nomer kanthi nggunakake sponsor.
10016,Ndeleng kabeh iklan video sponsor} kanggo entuk hadiah.
10017,Wiwitane} Ads disponsori khusus kanggo nampa 50% Ganjaran luwih akeh.
10018,Pencet pariwara sing disponsori.
10019,Sponsor ngutus kita integer.  Saiki ayo golek pemain anyar kanthi integer iki.
10020,Pencet tombol Rekrutmen X5.
10021,Kita duwe pemain anyar.
10022,Saiki ayo nyoba pemain anyar.
10023,Penet tombol manajemen pamuter.
10024,Ing manajemen pamuter} Sampeyan bisa milih calon pamuter.
10025,Pencet Tombol Swap kanggo nyoba calon.
10026,Pencet Ganti bakal nggawe pamuter sing dipilih pamuter miwiti lan pamuter sing ana bakal dipilih.
10027,Uga} gumantung komposisi wiwitan wiwitan} efek tambahan bisa dipikolehi.
10028,Pencet tombol
10029,Sampeyan bisa nemokake informasi babagan Tim Chemhie ing kene.
10030,Sampeyan bisa nggawe tim luwih kuat kanthi cocog karo kimia sing beda kayata jinis lan tim.
10031,Pencet X kanggo metu.
10032,Saiki ayo ngganti pamuter sing ora dibutuhake kanggo pemain liyane.
10033,Coba mencet rekombinasi.
10034,Ing kene sampeyan bisa ngganti papat calon karo pemain anyar.
10035,Sementara aku menehi papat pemain.  Ayo dadi rekombine pemain iki.
10036,Pencet tombol Tambah.
10037,Pencet tombol Tambah.
10038,Pencet tombol Tambah.
10039,Pencet tombol Tambah.
10040,Sijine kabeh telung pemain.  Saiki ayo ngganti pemain anyar.
10041,Sampeyan bisa mriksa informasi kemampuan pamuter saka informasi rekrutmen.
10042,Saiki entuk pamuter.
10043,Coba mencet rekombinasi.
10044,Kanthi cara iki sampeyan bisa ngganti pemain sing ana karo pemain anyar.
10045,Saiki ayo main karo pemain kasebut.
10046,Pencet tombol match
10047,Pencet tombol Progress Game.
10048,Game wis diwiwiti.
10049,Ayo dipercaya para pemain lan nonton game.
10050,Kaya iki} Nalika game wis rampung} sampeyan bisa entuk pengalaman lan integer.
10051,Intine ora bisa dipikolehi yen watesan match saben dinane.
10052,Pencet tombol Terusake kanggo metu stadion.
10053,Game pisanan wis rampung.
10054,Pemain penting kanggo menang} nanging strategi manajer uga penting.
10055,Pencet tombol Strategi.
10056,Persiyapan cepet nggawe gampang nyetel strategi utama.
10057,Balance saiki dadi strategi dhasar.
10058,Ayo ngganti setelan.
10059,Klik ing Line / Ngatur.
10060,Pertandhingan / operasi baris minangka strategi sing mungkasi game kanthi nggunakake keuntungan sing katon ing pertandingan baris.
10061,Ayo ngganti strategi kanggo operasi line-of-line.
10062,Pencet tombol Setelan
10063,Strategi tim saiki wis diganti kanthi larangan.
10064,Persiyapan cepet iki gampang ngganti strategi tim sampeyan.
10065,Setelan sing rinci bisa disetel liwat pandhuan lan pickvan.
10066,Saiki ayo nyoba strategi kita.
10067,Pencet tombol match
10068,Ayo goleki cara nggunakake barang sing cocog sadurunge nerusake pertandingan kasebut.
10069,!  Pencet tombol.
10070,Aku krungu item pengalaman tambahan 10% minangka hadiah.
10071,Mangga priksa panggunaan kasebut.
10072,"Yen sampeyan mriksa, sampeyan bakal nggunakake item sing cocog ing pertandhingan mbesuk."
10073,"Yen ana macem-macem item, sampeyan bisa mriksa otomatis kanthi otomatis nggunakake barang-barang kanthi otomatis."
10074,Barang saka jinis sing padha ora bisa digunakake bola-bali.
10075,Pencet X kanggo metu.
10076,Saiki ayo mriksa strategi lan barang.
10077,Pencet tombol kemajuan game
10078,"Sawise pertandingan iki, tingkat manajer wis mundhak."
10079,"Minangka level manager, sampeyan entuk inti ekstra kaya iki."
10080,Sampeyan bisa entuk espan ekstraksi saka tingkat manajer preduli saka watesan pertandhingan saben dinane.
10081,Pencet tombol Terusake kanggo metu stadion.
10082,Sawetara pemain wis leveled kanthi entuk pengalaman ing pertandhingan iki.
10083,Pemain sing level munggah bisa nambah statistik.
10084,Penet manajemen pamuter.
10085,Atlit sing wis leveled duwe tandha panah ing tingkat kasebut.
10086,Tutul level pamuter kanggo ngunggahake statistik.
10087,Ing kene sampeyan bisa nambah statistik sing dikarepake kanthi poin.
