ID,Name,Dec
1000,Ganjaran log masuk harian,Log masuk ganjaran hari ini
1001,3 ganjaran harian,Ganjaran 3 perlawanan hari ini
1002,Sokongan,Anda boleh menaja pemaju melalui Twonation.
1003,Kajian,Sila semak dan kami akan memberi ganjaran kepada anda.
1004,Tutorial lengkap,Tutorial lengkap
1005,Pencapaian pangkat perak,Mencapai multiplay pangkat perak
1006,Pencapaian pangkat emas,Mencapai pangkat emas multiplay
1007,Pencapaian pangkat platinum,Mencapai multiplay Platinum Rank
1008,Pencapaian pangkat Diamond,Mencapai pangkat berlian multiplay
1009,Pencapaian pangkat induk,Mencapai pangkat induk multiplay
1010,Pencapaian pencabar,Mencapai pangkat pencabar multiplay
1011,Juara Liga,Mencapai tempat pertama dalam liga
1012,Pingat perak,Mencapai tempat kedua dalam liga
1013,Pingat gangsa,Mencapai tempat ketiga dalam liga
1014,3 Juara,Mencapai 3 gelaran liga
1015,3 pingat perak,Mencapai tempat kedua dalam tiga liga
1016,3 pingat gangsa,Mencapai tempat ketiga dalam tiga liga
1017,5 Juara,Mencapai 5 gelaran liga
1018,5 pingat perak,Mencapai tempat kedua dalam lima liga
1019,5 pingat gangsa,Mencapai tempat ketiga dalam lima liga
1020,Musim pertama,Tarikh akhir musim pertama
1021,Musim ketiga,Tarikh akhir musim ketiga
1022,Musim kelima,Tarikh akhir musim kelima
1023,Musim kesepuluh,Tarikh akhir musim ke -10
1024,6 ganjaran harian,Ganjaran 6 perlawanan hari ini
1025,Pencapaian pangkat perak,Mencapai multiplay pangkat perak
1026,Pencapaian pangkat emas,Mencapai pangkat emas multiplay
1027,Pencapaian pangkat platinum,Mencapai multiplay Platinum Rank
1028,Pencapaian pangkat Diamond,Mencapai pangkat berlian multiplay
1029,Pencapaian pangkat induk,Mencapai pangkat induk multiplay
1030,Pencapaian pencabar,Mencapai pangkat pencabar multiplay
1031,Had perlawanan harian,Bilangan perlawanan setiap hari di mana anda boleh mendapatkan intipati
