ID,Dec
1000000,Kalahkan semua pasukan liga KR dalam musim 18. 
1000001,Kalahkan semua pasukan liga KR pada musim musim bunga 19. 
1000002,Kalahkan semua pasukan liga KR pada musim panas 19. 
1000003,Kekalahan semua pasukan Multi Match 19 musim TOP10. 
1000004,Kalahkan semua pasukan liga KR pada musim 20 musim bunga. 
1000005,Kalahkan semua pasukan liga EU pada musim 20 musim bunga. 
1000006,Kalahkan semua pasukan liga NA pada musim 20 musim bunga. 
1000007,Kalahkan semua pasukan liga KR pada musim panas 20. 
1000008,Kalahkan semua pasukan liga EU pada musim panas 20. 
1000009,Kalahkan semua pasukan liga NA pada musim panas 20. 
1000010,Kekalahan semua perlawanan Multi 20 Musim TOP10. 
1000011,Kalahkan semua pasukan liga KR pada musim 21 musim bunga. 
1000012,Kalahkan semua pasukan liga EU pada musim 21 musim bunga. 
1000013,Kalahkan semua pasukan liga NA pada musim 21 musim bunga. 
1000014,Kekalahan semua pasukan Multi Match 21-1 musim TOP10. 
1000015,Kekalahan semua pasukan Multi Match 21-2 TOP10 musim. 
1000016,Kalahkan semua pasukan liga CN pada musim 21 musim bunga. 
1000017,Kalahkan semua pasukan liga KR pada musim panas 21. 
1000018,Kalahkan semua pasukan liga EU pada musim panas 21. 
1000019,Kalahkan semua pasukan liga NA pada musim panas 21. 
1000020,Kalahkan semua pasukan liga CN pada musim panas 21. 
1000021,Kekalahan semua pasukan Multi Match 21-3 musim TOP10. 
1000022,Kekalahan semua perlawanan multi 22-1 musim TOP10. 
1000023,Kalahkan semua pasukan liga KR pada musim 22 musim bunga. 
1000024,Kalahkan semua pasukan liga EU pada musim 22 musim bunga. 
1000025,Kalahkan semua pasukan liga NA pada musim 22 musim bunga. 
1000026,Kekalahan semua perlawanan Multi 22-2 Pasukan TOP10 Musim. 
1000027,Kekalahan semua perlawanan multi 22-3 musim top10 musim. 
1000028,Kekalahan semua perlawanan multi 22-4 musim top10 musim. 
1000029,Kalahkan semua pasukan liga KR pada musim panas 22. 
1000030,Kalahkan semua pasukan liga EU pada musim panas 22. 
1000031,Kalahkan semua pasukan liga NA pada musim panas 22. 
1000032,Kekalahan semua perlawanan multi 23-1 musim TOP10. 
1000033,Kekalahan semua perlawanan multi 23-2 musim top10 musim. 
1000034,Kalahkan semua pasukan liga KR pada musim 23 musim bunga. 
1000035,Kalahkan semua pasukan liga EU pada musim 23 musim bunga. 
1000036,Kalahkan semua pasukan liga NA pada musim 23 musim bunga. 
1000037,Kekalahan semua perlawanan multi 23-3 musim top10 musim. 
1000038,Kalahkan semua pasukan liga KR pada musim panas 23. 
1000039,Kalahkan semua pasukan liga EU pada musim panas 23 musim panas. 
1000040,Kalahkan semua pasukan liga NA pada musim panas 23. 
1000041,Kekalahan semua perlawanan multi 23-4 musim top10 musim. 
1000042,Kekalahan semua pasukan Multi perlawanan 24-1 musim TOP10. 
