ID,Dec
10000,Oi. Prazer em conhecê-lo.
10001,"Com o apoio do gerente}, ele criou uma nova equipe na LOL League. "
10002,Nomeie sua equipe primeiro. 
10003,Vamos transformar a equipe AAA na história. 
10004,Esta é a primeira partida da liga. 
10005,Aqui você pode ver as informações de nossa equipe e outras equipes antes da partida. 
10006,A equipe atual já tem um jogador inscrito. 
10007,Mas você precisa de muitos jogadores para vencer. 
10008,Vamos conseguir um novo jogador antes da partida. 
10009,Toque no mercado de recrutamento 
10010,Você pode recrutar novos players com a essência que você tem no mercado de recrutamento. 
10011,Vamos contratar um novo jogador com a essência que temos agora. 
10012,Pressione o botão Buy Players. 
10013,Temos um novo jogador. 
10014,A equipe ainda não é competitiva. Vamos contratar um jogador melhor para melhorar nossa competitividade. 
10015,Não há essência suficiente para recrutar um bom jogador. Nesse caso} você pode obter um número inteiro usando um patrocinador. 
10016,Veja todos os anúncios de vídeo dos patrocinadores} para ganhar recompensas. 
10017,Inicialmente} anúncios patrocinados estão especialmente preparados para receber 50% mais recompensas. 
10018,Pressione publicidade patrocinada. 
10019,O patrocinador nos enviou um número inteiro. Agora vamos conseguir um novo jogador com este número inteiro. 
10020,Pressione o botão Compra. 
10021,Temos um novo jogador. 
10022,Agora vamos tentar um novo jogador. 
10023,Pressione o botão de gerenciamento do player. 
10024,No gerenciamento do jogador} você pode selecionar um candidato. 
10025,Pressione o botão Swap para experimentar o candidato. 
10026,Pressionar substituir fará com que o jogador selecionado um jogador inicial e o jogador existente serão indicados. 
10027,"Também}, dependendo da composição dos iniciantes} efeitos adicionais podem ser obtidos. "
10028,Aperte o botão
10029,Você pode encontrar informações sobre Tim Chemie aqui. 
10030,"Você pode tornar sua equipe mais forte combinando diferentes químicas, como tipo e equipe. "
10031,Pressione x para sair. 
10032,Agora vamos mudar o jogador que não é necessário para outro jogador. 
10033,Tente pressionar a recombinação. 
10034,Aqui você pode substituir quatro candidatos por novos jogadores. 
10035,Temporariamente dei quatro jogadores. Vamos recombinar esses jogadores. 
10036,Pressione o botão Adicionar. 
10037,Pressione o botão Adicionar. 
10038,Pressione o botão Adicionar. 
10039,Pressione o botão Adicionar. 
10040,Coloque os três jogadores. Agora vamos mudar para um novo jogador. 
10041,Você pode verificar as informações de habilidade do jogador das informações de recrutamento. 
10042,Agora pegue o jogador. 
10043,Tente pressionar a recombinação. 
10044,"Dessa forma, você pode substituir os jogadores existentes por novos jogadores. "
10045,Agora vamos jogar com esses jogadores. 
10046,Pressione o botão de correspondência 
10047,Pressione o botão Progresso do jogo. 
10048,O jogo começou. 
10049,Vamos confiar nos jogadores e assistir ao jogo. 
10050,Assim} quando o jogo acabar} você pode obter experiência e números inteiros. 
10051,A essência não pode ser obtida se o limite diário de correspondência for excedido. 
10052,Pressione o botão Continuar para sair do estádio. 
10053,O primeiro jogo acabou. 
10054,"Os jogadores são importantes para ganhar}, mas a estratégia do gerente também é importante. "
10055,Pressione o botão da estratégia. 
10056,A configuração rápida facilita a configuração de estratégias -chave. 
10057,O equilíbrio é agora a estratégia básica. 
10058,Vamos alterar as configurações. 
10059,Clique na linha / gerenciamento. 
10060,A correspondência / operação da linha é uma estratégia que termina o jogo operando os ganhos vistos na correspondência da linha. 
10061,Vamos mudar a estratégia para a operação da linha de linha. 
10062,Pressione o botão Configurações 
10063,A estratégia da equipe agora mudou com a linha a punção. 
10064,Essa configuração rápida facilita a mudança da estratégia da sua equipe. 
10065,Configurações detalhadas podem ser definidas através das instruções e da pickvan. 
10066,Agora vamos testar nossa estratégia. 
10067,Pressione o botão de correspondência 
10068,Vamos ver como usar os itens correspondentes antes de prosseguir para a partida. 
10069,! Aperte o botão.
10070,Ouvi um item de experiência adicional de 10% como presente. 
10071,Verifique o uso. 
10072,"Se você verificar o uso, usará o item correspondente em correspondências futuras. "
10073,"Se houver vários itens, você poderá verificar automaticamente os itens. "
10074,Os itens do mesmo tipo não podem ser usados repetidamente. 
10075,Pressione x para sair. 
10076,Agora vamos conferir as estratégias e itens. 
10077,Pressione o botão Progresso do jogo 
10078,"Após esta partida, o nível do gerente aumentou. "
10079,"À medida que o nível do gerente aumenta, você obtém uma essência extra como esta. "
10080,"Você pode obter essências extras do nível do gerente, independentemente do limite diário de correspondência. "
10081,Pressione o botão Continuar para sair do estádio. 
10082,Alguns jogadores foram nivelados ganhando experiência nesta partida. 
10083,Os jogadores que subiram de nível podem aumentar suas estatísticas. 
10084,Pressione o gerenciamento do player. 
10085,Os atletas que se levantaram têm uma marca de seta no nível. 
10086,Toque no nível do jogador para aumentar as estatísticas. 
10087,Aqui você pode aumentar as estatísticas desejadas por pontos. 
10088,Você pode aumentar a estatística tocando a seta da estatística desejada. 
10089,Toque nas estatísticas desejadas e toque na decisão. 
10090,Isso aumentará a capacidade do jogador. 
10091,Pressione x para sair. 
10092,Os atletas podem ser mais fortes ao nivelar e fortalecer assim. 
10093,Vamos tornar o jogador mais forte por reforçar. 
10094,Pressione o botão reforçar. 
10095,O reforço torna o jogador mais forte através do mesmo jogador. 
10096,Desta vez} vamos reinfrocrar o jogador que dei a você. 
10097,Tente pressionar o botão ▼. 
10098,Pressione o botão para dobrar a lista de iniciantes. Pressione o botão para ver uma lista maior dos sub players. 
10099,Agora tente adicionar um jogador. 
