ID,Name,Dec
1000,Daily Login reward ,Войдите сегодня reward 
1001,3 Daily Rewards ,Сегодняшнее 3 -м матча rewards 
1002,Поддерживать,Вы можете спонсировать разработчика через Twonation. 
1003,Обзор,"Пожалуйста, просмотрите, и мы наградим вас. "
1004,Учебник завершен ,Полный учебник 
1005,Достижение серебряного ранга ,Достичь многопользовательского серебряного ранга 
1006,Достижение золотого ранга ,Достичь многопользовательского золотого ранга 
1007,Достижение Platinum Rank ,Достичь многопользовательский ранг 
1008,Достижение бриллиантового ранга ,Достичь многопользовательский ронник 
1009,Master Rank достижение ,Достичь многопользовательского мастер -ранга 
1010,Захват Challenger ,Достичь многопользовательский ранг 
1011,Чемпион лиги ,Достигнуто первое место в лиге 
1012,Серебряная медаль,Достигнуто второе место в лиге 
1013,Бронзовая медаль,Достигнуто третье место в лиге 
1014,3 чемпионы ,Достичь 3 названия лиги 
1015,3 серебряные медали ,Достигнуто второе место в трех лигах 
1016,3 бронзовые медали ,Достигнуто третье место в трех лигах 
1017,5 чемпионов ,Достичь 5 названий лиги 
1018,5 серебряных медалей ,Достичь второе место в пяти лигах 
1019,5 бронзовых медалей ,Достичь третьего места в пяти лигах 
1020,Первый сезон ,Крайний срок первого сезона 
1021,Третий сезон ,Крайний срок третьего сезона 
1022,Пятый сезон ,Крайний срок пятого сезона 
1023,Десятый сезон ,10 -й крайний срок сезона 
1024,6 Daily Rewards ,Сегодняшние 6 -й матч награды 
1025,Достижение серебряного ранга ,Достичь многопользовательского серебряного ранга 
1026,Достижение золотого ранга ,Достичь многопользовательского золотого ранга 
1027,Достижение Platinum Rank ,Достичь многопользовательский ранг 
1028,Достижение бриллиантового ранга ,Достичь многопользовательский ронник 
1029,Master Rank достижение ,Достичь многопользовательского мастер -ранга 
1030,Захват Challenger ,Достичь многопользовательский ранг 
1031,Daily Match Limit ,"Количество совпадений в день, когда вы можете получить Essence "
