ID,Dec
1000000.0,Одолейте все команды KR League в 18‑м сезоне.
1000001.0,Победите все команды KR League в 19‑м весеннем сезоне.
1000002.0,Победите все команды KR League в 19‑м летнем сезоне.
1000003.0,Разбейте все команды топ‑10 сезона Multi Match 19.
1000004.0,Победите все команды KR League в 20‑м весеннем сезоне.
1000005.0,Разбейте все команды EU League в 20‑м весеннем сезоне.
1000006.0,Победите все команды NA League в 20‑м весеннем сезоне.
1000007.0,Одолейте все команды KR League в летнем сезоне 2020 года.
1000008.0,Победите все команды EU League в 20‑м летнем сезоне.
1000009.0,Победите все команды NA League в 20‑м летнем сезоне.
1000010.0,Одолейте все команды топ‑10 сезона Multi Match 20.
1000011.0,Разгромите все команды KR League в весеннем сезоне 2021 года.
1000012.0,Одолейте все команды EU League в весеннем сезоне 2021 года.
1000013.0,Разбейте все команды NA LCS в весеннем сезоне 2021 года.
1000014.0,Победите все команды топ‑10 сезона Multi Match 21‑1.
1000015.0,Победите все команды Топ‑10 сезона Multi Match 21‑2.
1000016.0,Победите все команды CN League в весеннем сезоне 2021.
1000017.0,Одолейте все команды KR League в летнем сезоне 2021.
1000018.0,Одолейте все команды EU League в летнем сезоне 2021 года.
1000019.0,Покори все команды NA League в летнем сезоне 2021 года.
1000020.0,Победите все команды CN League в летнем сезоне 2021 года.
1000021.0,Победите все команды топ‑10 сезона Multi Match 21‑3.
1000022.0,Победите все команды топ‑10 сезона Multi Match 22‑1.
1000023.0,Разбейте все команды KR League в весеннем сезоне 2022 года.
1000024.0,Победите все команды EU League в весеннем сезоне 2022 года.
1000025.0,Победите все команды NA League в весеннем сезоне 2022 года.
1000026.0,Одолейте все команды Топ‑10 сезона Multi Match 22‑2.
1000027.0,Одолейте все команды топ‑10 сезона Multi Match 22‑3.
1000028.0,Победите все команды топ‑10 сезона Multi Match 22‑4.
1000029.0,Победите все команды KR League в летнем сезоне 2022 года.
1000030.0,Победите все команды EU League в летнем сезоне 2022 года.
1000031.0,Одолейте все команды NA League в летнем сезоне 2022 года.
1000032.0,Победите все команды топ‑10 сезона Multi Match 23‑1.
1000033.0,Победите все команды Топ‑10 сезона Multi Match 23‑2.
1000034.0,Одолейте все команды KR League в весеннем сезоне 2023 года.
1000035.0,Победите все команды EU League в весеннем сезоне 2023 года.
1000036.0,Одолейте все команды NA League в весеннем сезоне 2023 года.
1000037.0,Победите все команды топ‑10 сезона Multi Match 23‑3.
1000038.0,Победите все команды KR League в летнем сезоне 2023.
1000039.0,Победите все команды EU League в летнем сезоне 23.
1000040.0,Одолейте все команды NA League в летнем сезоне 2023 года.
1000041.0,Победите все команды топ‑10 сезона Multi Match 23‑4.
1000042.0,Победите все команды топ‑10 сезона Multi Match 24‑1.
1000043.0,Победите все команды Top 10 сезона Multi Match 24‑2.
1000044.0,Одолейте все команды KR League в весеннем сезоне 2024 года.
1000045.0,Победите все команды EU League в весеннем сезоне 2024.
1000046.0,Одолейте все команды NA League в спринт‑сплите 2024 года.
1000047.0,Победите все команды топ‑10 сезона Multi Match 24‑3.
1000048.0,Победите все команды KR League в летнем сплите 2024 года.
1000049.0,Победите все команды EU League в летнем сезоне 2024 года.
1000050.0,Победите все команды NA League в летнем сезоне 2024 года.
1000051.0,Победи все команды топ‑10 сезона Multi Match 24‑4.
1000052.0,Победите все команды топ‑10 сезона Multi Match 25‑1.
1000053.0,Одолейте все команды Top 10 сезона Multi Match 25‑2.
1000054.0,Победите все команды KR League в 25‑м весеннем сезоне.
1000055.0,Одолейте все команды EU League в 25‑м весеннем сезоне.
1000056.0,Победите все команды NA League в 25‑м весеннем сезоне.
1000057.0,Одолейте все команды топ‑10 сезона Multi Match 25‑3.
1000058.0,Одолейте все команды KR League в 25‑м летнем сезоне.
1000059.0,Сокрушите все команды EU League в 25‑м летнем сезоне.
1000060.0,Победите все команды NA League в 25‑м летнем сезоне.
1000061.0,Победите все команды топ‑10 сезона 25‑4 в мультиматчах.
1000062.0,Победите все команды Лиги КР в 26-м зимнем сезоне.
1000063.0,Победите все команды Лиги ЕС в 26-м зимнем сезоне.
1000064.0,Победите все команды лиги Северной Америки в 26-м зимнем сезоне.
1000065.0,Победите все 10 лучших команд сезона Multi Match 26-1.
