ID,Dec
10000,Привет. Рад встрече.
10001,При поддержке менеджера} Он создал новую команду в лиге LOL. 
10002,"Пожалуйста, сначала назовите свою команду. "
10003,Давайте сделаем команду AAA в историю. 
10004,Это первый матч лиги. 
10005,Здесь вы можете увидеть информацию нашей команды и других команд перед матчем. 
10006,В текущей команде уже зарегистрировано игрока. 
10007,"Но вам нужно много игроков, чтобы выиграть. "
10008,Давайте сначала получим нового игрока перед матчем. 
10009,Нажмите на рынок найма 
10010,"Вы можете набирать новых игроков с той сущностью, которая у вас есть на рынке рекрутинга. "
10011,"Давайте нанимаем нового игрока с тем, что у нас есть. "
10012,Нажмите кнопку «Купить игроки». 
10013,У нас есть новый игрок. 
10014,Команда все еще не конкурентоспособна. Давайте нанять лучшего игрока для повышения нашей конкурентоспособности. 
10015,"Не хватает сущности, чтобы нанять хорошего игрока. В этом случае} вы можете получить целое число, используя спонсор. "
10016,"Просмотреть видео рекламы спонсоров}, чтобы заработать вознаграждения. "
10017,Первоначально} спонсируемые объявления специально подготовлены к получению 50% больше вознаграждений. 
10018,Нажмите спонсируемая реклама. 
10019,Спонсор прислал нам целое число. Теперь давайте получим нового игрока с этим целым числом. 
10020,"Пожалуйста, нажмите кнопку покупки. "
10021,У нас есть новый игрок. 
10022,Теперь давайте попробуем новый игрок. 
10023,Нажмите кнопку управления игроком. 
10024,В управлении игроком} вы можете выбрать игрока -кандидата. 
10025,"Нажмите кнопку свопа, чтобы попробовать кандидат. "
10026,"Нажатие замены сделает выбранный игрок стартовым игроком, а существующий игрок будет назначен. "
10027,Также} в зависимости от композиции стартеров} можно получить дополнительные эффекты. 
10028,Нажать на кнопку
10029,Вы можете найти информацию о Тиме Chemie здесь. 
10030,"Вы можете сделать свою команду сильнее, сопоставляя различные химии, такие как тип и команда. "
10031,"Нажмите X, чтобы выйти. "
10032,"Теперь давайте изменим игрока, который не нужен другому игроку. "
10033,Попробуйте нажать рекомбинацию. 
10034,Здесь вы можете заменить четырех кандидатов на новые игроки. 
10035,Временно я дал четырех игроков. Давайте рекомбировать этих игроков. 
10036,Нажмите кнопку Добавить. 
10037,Нажмите кнопку Добавить. 
10038,Нажмите кнопку Добавить. 
10039,Нажмите кнопку Добавить. 
10040,Поместите всех трех игроков. Теперь перейдем на новый игрок. 
10041,Вы можете проверить информацию об способностях игрока из информации о найме. 
10042,Теперь получите игрока. 
10043,Попробуйте нажать рекомбинацию. 
10044,"Таким образом, вы можете заменить существующих игроков новыми игроками. "
10045,Теперь давайте поиграем с этими игроками. 
10046,Нажмите кнопку Match 
10047,Нажмите кнопку «Прогресс игры». 
10048,Игра началась. 
10049,Давайте доверим игрокам и посмотрим игру. 
10050,"Как это} Когда игра закончится}, вы можете получить опыт и целые числа. "
10051,"Эссенция не может быть получена, если превышен лимит ежедневного соответствия. "
10052,"Нажмите кнопку «Продолжить», чтобы выйти из стадиона. "
10053,Первая игра закончилась. 
10054,"Игроки важны для победы}, но стратегия менеджера также важна. "
10055,Нажмите кнопку стратегии. 
10056,Быстрая настройка позволяет легко настроить ключевые стратегии. 
10057,Баланс теперь является основной стратегией. 
10058,Давайте изменим настройки. 
10059,Нажмите на Line / Manage. 
10060,"Линейный матч / операция - это стратегия, которая заканчивает игру, используя выгоды, наблюдаемые в соответствии с матчем. "
10061,Давайте изменим стратегию на операцию строки. 
10062,Нажмите кнопку «Настройки» 
10063,Стратегия команды теперь изменилась с линией к бегу. 
10064,Эта быстрая настройка позволяет легко изменить стратегию вашей команды. 
10065,Подробные настройки могут быть установлены через инструкции и Pickvan. 
10066,Теперь давайте проверим нашу стратегию. 
10067,Нажмите кнопку Match 
10068,"Давайте посмотрим, как использовать элементы соответствия, прежде чем перейти к совпадению. "
10069,! Нажать на кнопку.
10070,Я слышал 10% дополнительный предмет опыта в качестве подарка. 
10071,"Пожалуйста, проверьте использование. "
10072,"Если вы проверьте использование, вы будете использовать соответствующий элемент в будущих совпадениях. "
10073,"Если есть несколько элементов, вы можете проверить Auto, чтобы автоматически использовать элементы. "
10074,Элементы того же типа не могут быть использованы многократно. 
10075,"Нажмите X, чтобы выйти. "
10076,Теперь давайте посмотрим стратегии и элементы. 
10077,Нажмите кнопку «Прогресс игры» 
10078,После этого матча уровень менеджера поднялся. 
10079,По мере увеличения уровня менеджера вы получаете такую дополнительную сущность. 
10080,Вы можете получить дополнительные сущности от уровня менеджера независимо от лимита ежедневного совпадения. 
10081,"Нажмите кнопку «Продолжить», чтобы выйти из стадиона. "
10082,"Некоторые игроки были выровнены, получив опыт в этом матче. "
10083,"Игроки, которые повышаются, могут увеличить свою статистику. "
10084,Нажмите управление игроком. 
10085,"У спортсменов, которые выровнялись, есть отметка стрелки на уровне. "
10086,"Нажмите на уровень игрока, чтобы поднять статистику. "
10087,Здесь вы можете увеличить желаемую статистику по баллам. 
10088,"Вы можете увеличить статистику, нажав стрелку желаемой статистики. "
10089,Коснитесь желаемой статистики и нажмите «Решение». 
10090,Это увеличит способность игрока. 
10091,"Нажмите X, чтобы выйти. "
10092,"Спортсмены могут быть сильнее, выравнивая и укрепляя, как это. "
10093,Давайте укрепим игрока по подкреплению. 
10094,Нажмите кнопку «Усиление». 
10095,Подкрепление укрепляет игрока через одного и того же игрока. 
10096,"На этот раз} Давайте повторно разбили игрока, который я вам дал. "
10097,Попробуйте нажать кнопку ▼. 
10098,"Нажмите кнопку, чтобы сложить список стартеров. Нажмите кнопку, чтобы увидеть больший список подставщиков. "
10099,Теперь попробуйте добавить игрока. 
10100,Нажмите кнопку Добавить. 
10101,Если игрок добавлен} только один и тот же игрок.Нажмите кнопку Добавить. 
10102,"Как добавлены вещи, вы можете увидеть шанс на успех. "
10103,Вероятность успеха определяется разницей между уровнем подкрепления и уровнем подкрепления. 
10104,Нажмите кнопку Reinfroce. 
10105,"Если вы повторно заново, как это} Игрок материал исчезает. "
10106,Неспособность сделать это не заставляет основного игрока исчезнуть и не терять класс. 
10107,Теперь давайте последним проверим информацию о лиге. 
10108,Нажмите кнопку лиги. 
10109,Нажмите кнопку расписания. 
10110,Вы можете проверить расписание лиги для своей команды здесь. 
10111,Нажмите кнопку ранга. 
10112,Здесь вы можете увидеть таблицу лиги. 
10113,Нажмите кнопку турнира 
10114,Здесь вы можете проверить плей -офф после окончания обычной лиги. 
10115,W - рейтинг для продвижения на чемпионат мира. 
10116,Чемпионат мира проводится в конце обычной лиги. 
10117,Вы можете конкурировать с лучшими командами в других лигах и получить более высокие награды. 
10118,Нажмите кнопку SET. 
10119,Где вы хотите лигу 
10120,Вы можете установить уровень сложности и начать новую лигу. 
10121,"Выбирая лигу и сложность, вы можете увидеть измененные награды и способность команды лиги. "
10122,Выберите свой уровень лиги и сложности и нажмите кнопку «Начать новую лигу». 
10123,"Вы можете начать новую лигу, подобную этой. "
10124,Теперь все готово. 
10125,Наконец} менеджер прислал нам Essence. 
10126,Давайте сделаем победитель лиги AAA! 
10127,Привет. Добро пожаловать в игру Multi Match. 
10128,Здесь вы можете сыграть в матче других тренеров. 
10129,Здесь вы можете увидеть рейтинги своей команды} баллы и сопоставить данные. 
10130,Нажмите кнопку «Информация о вознаграждении». 
10131,Здесь вы можете найти информацию о наградах Multi Match. 
10132,В таблице уровня} есть шесть уровней бронзы} серебро} золото} платиновый} алмаз} Master} Celinger. 
