ID,Name,Dec
1000,Recompensa diaria de inicio de sesión,Iniciar sesión hoy recompensa
1001,3 recompensas diarias,Las 3 recompensas del partido de hoy
1002,Apoyo,Puede patrocinar al desarrollador a través de la twonation.
1003,Revisar,Por favor revise y lo recompensaremos.
1004,Tutorial completo ,Tutorial completo
1005,Tutorial completo,Alcanzar rango de plata multiplicado
1006,Logro de rango de plata,Alcanzar el rango de oro multiplicado
1007,Logro de rango de oro,Alcanzar rango de platino multiplicado
1008,Logro de rango de platino,Alcanzar el rango de diamantes multiplaje
1009,Logro de rango de diamantes,Alcanzar el rango maestro multiplicado
1010,Logro de rango maestro,Alcanzar el rango de retador de la multiplicación
1011,Logro Challenger,Logrado el primer lugar en la liga
1012,Campeón de la liga ,Logrado el segundo lugar en la liga
1013,Medalla de plata,Alcanzó el tercer lugar en la liga
1014,Medalla de bronce,Lograr 3 títulos de liga
1015,3 campeones,Logrado el segundo lugar en tres ligas
1016,3 medallas de plata,Logró el tercer lugar en tres ligas
1017,3 medallas de bronce,Lograr 5 títulos de liga
1018,5 campeones,Lograr el segundo lugar en cinco leguas
1019,5 medallas de plata,Lograr el tercer lugar en cinco leguas
1020,5 medallas de bronce,Fecha límite de primera temporada
1021,Primera temporada,Fecha límite de la tercera temporada
1022,Tercera temporada,Fecha límite de la quinta temporada
1023,Quinta temporada,Fecha límite de la décima temporada
1024,Décima temporada,Las 6 recompensas del partido de hoy
1025,Logro de rango de plata,Alcanzar rango de plata multiplicado
1026,Logro de rango de oro,Alcanzar el rango de oro multiplicado
1027,Logro de rango de platino,Alcanzar rango de platino multiplicado
1028,Logro de rango de diamantes,Alcanzar el rango de diamantes multiplaje
1029,Logro de rango maestro,Alcanzar el rango maestro multiplicado
1030,Logro Challenger,Alcanzar el rango de retador de la multiplicación
1031,Límite diario del partido,Número de partidos por día donde puede obtener esencia
