ID,Dec
1000000,Derrota a todos los equipos de la Liga KR en la temporada 18.
1000001,Derrota a todos los equipos de la Liga KR en la temporada de 19 primavera.
1000002,Derrota a todos los equipos de la Liga KR en la temporada de 19 de verano.
1000003,Derrota a todos los equipos Top10 de la temporada de 19 partidos multi Match.
1000004,Derrota a todos los equipos de la Liga de la KR en la temporada 20 de primavera.
1000005,Derrota a todos los equipos de la Liga de la UE en la temporada 20 de primavera.
1000006,Derrota a todos los equipos de la Liga de NA en la temporada 20 de primavera.
1000007,Derrota a todos los equipos de la Liga KR en la temporada 20 de verano.
1000008,Derrota a todos los equipos de la Liga de la UE en la temporada 20 de verano.
1000009,Derrota a todos los equipos de la Liga NA en la temporada 20 de verano.
1000010,Derrota a todos los equipos de Top10 de la temporada de Multi Match 20.
1000011,Derrota a todos los equipos de la Liga de la KR en la temporada 21 de primavera.
1000012,Derrota a todos los equipos de la Liga de la UE en la temporada 21 de primavera.
1000013,Derrota a todos los equipos de la Liga NA en la temporada 21 de primavera.
1000014,Derrota a todos los equipos Top10 de la temporada 21-1 multi Match 21-1.
1000015,Derrota a todos los equipos Top10 de la temporada 21-2 multi Match.
1000016,Derrota a todos los equipos de la Liga CN en la temporada 21 de primavera.
1000017,Derrota a todos los equipos de la Liga KR en la temporada de 21 de verano.
1000018,Derrota a todos los equipos de la Liga de la UE en la temporada 21 de verano.
1000019,Derrota a todos los equipos de la Liga NA en la temporada de 21 de verano.
1000020,Derrota a todos los equipos de la Liga CN en la temporada 21 de verano.
1000021,Derrota a todos los equipos Top10 de la temporada 21-3 de Multi Match.
1000022,Derrota a todos los equipos Top10 de la temporada 22-1 multi Match 22-1.
1000023,Derrota a todos los equipos de la Liga KR en la temporada 22 de primavera.
1000024,Derrota a todos los equipos de la Liga de la UE en la temporada 22 de primavera.
1000025,Derrota a todos los equipos de la Liga NA en la temporada 22 de primavera.
1000026,Derrota a todos los equipos Top10 de la temporada 22-2 de Multi Match 22-2.
1000027,Derrota a todos los equipos Top10 de la temporada 22-3 de Multi Match.
1000028,Derrota a todos los equipos de temporada Top10 de la temporada 22-4.
1000029,Derrota a todos los equipos de la Liga KR en la temporada 22 de verano.
1000030,Derrota a todos los equipos de la Liga de la UE en la temporada 22 de verano.
1000031,Derrota a todos los equipos de la Liga NA en la temporada 22 de verano.
1000032,Derrota a todos los equipos de Top10 de la temporada 23-1 de Multi Match 23-1.
1000033,Derrota a todos los equipos de Top10 de la temporada 23-2 multi Match 23-2.
1000034,Derrota a todos los equipos de la Liga KR en la temporada 23 de primavera.
1000035,Derrota a todos los equipos de la Liga de la UE en la temporada 23 de primavera.
1000036,Derrota a todos los equipos de la Liga NA en la temporada 23 de primavera.
1000037,Derrota a todos los equipos Top10 de la temporada Multi Match 23-3.
1000038,Derrota a todos los equipos de la Liga KR en la temporada de 23 de verano.
1000039,Derrota a todos los equipos de la Liga de la UE en la temporada 23 de verano.
1000040,Derrota a todos los equipos de la Liga NA en la temporada 23 de verano.
1000041,Derrota a todos los equipos de la temporada Top10 de la temporada 23-4.
1000042,Derrota a todos los equipos de Top10 de temporada multi Match 24-1.
1000043,Derrota a todos los equipos Top10 de la temporada de la temporada 24-2.
1000044,Derrota a todos los equipos de la Liga KR en la temporada de 24 primavera.
1000045,Derrota a todos los equipos de la Liga de la UE en la temporada de 24 primavera.
1000046,Derrota a todos los equipos de la Liga NA en la temporada de 24 primavera.
