ID,Dec
10000,Hola. Encantado de conocerlo.
10001,Con el apoyo del gerente} creó un nuevo equipo en la liga LOL. 
10002,Nombra primero a tu equipo. 
10003,Hagamos un equipo AAA en la historia. 
10004,Este es el primer partido de la liga. 
10005,Aquí puede ver la información de nuestro equipo y otros equipos antes del partido. 
10006,El equipo actual ya tiene un jugador registrado. 
10007,Pero necesitas muchos jugadores para ganar. 
10008,Obtengamos un nuevo jugador primero antes del partido. 
10009,Toque el mercado de reclutamiento 
10010,Puedes reclutar nuevos jugadores con la esencia que tienes en el mercado de reclutamiento. 
10011,Contratemos a un nuevo jugador con la esencia que tenemos ahora. 
10012,Presione el botón Comprar jugadores. 
10013,Tenemos un nuevo reproductor. 
10014,El equipo todavía no es competitivo. Contratemos a un mejor jugador para mejorar nuestra competitividad. 
10015,No hay suficiente esencia para reclutar a un buen jugador. En este caso} puede obtener un número completo usando un patrocinador. 
10016,Ver todos los anuncios de video de los patrocinadores} para ganar recompensas. 
10017,Inicialmente} anuncios patrocinados está especialmente preparado para recibir un 50% más de recompensas. 
10018,Presione publicidad patrocinada. 
10019,El patrocinador nos envió un entero. Ahora obtengamos un nuevo jugador con este número entero. 
10020,Presione el botón de compra. 
10021,Tenemos un nuevo reproductor. 
10022,Ahora intentemos un nuevo jugador. 
10023,Presione el botón de administración del jugador. 
10024,En la administración del jugador} puede seleccionar un reproductor candidato. 
10025,Presione el botón Swap para probar el candidato. 
10026,Presionar Reemplazo hará que el reproductor seleccionado sea un reproductor inicial y el reproductor existente será nominado. 
10027,También} dependiendo de la composición de los iniciadores} Se pueden obtener efectos adicionales. 
10028,Presiona el botón
10029,Puede encontrar información sobre Tim Chemie aquí. 
10030,Puede fortalecer su equipo haciendo coincidir diferentes químicas como Type y Team. 
10031,Presione X para salir. 
10032,Ahora cambiemos al jugador que no es necesario a otro jugador. 
10033,Intente presionar la recombinación. 
10034,Aquí puede reemplazar cuatro candidatos con nuevos jugadores. 
10035,Temporalmente di a cuatro jugadores. Recombinemos estos jugadores. 
10036,Presione el botón Agregar. 
10037,Presione el botón Agregar. 
10038,Presione el botón Agregar. 
