ID,Name,Dec
1000,รางวัลการเข้าสู่ระบบรายวัน,เข้าสู่ระบบวันนี้รางวัล
1001,3 รางวัลรายวัน,รางวัลการแข่งขัน 3 รายการวันนี้
1002,สนับสนุน,คุณสามารถสนับสนุนนักพัฒนาผ่าน Twonation
1003,ทบทวน,โปรดตรวจสอบแล้วเราจะให้รางวัลคุณ
1004,การสอนที่สมบูรณ์,บทช่วยสอนที่สมบูรณ์
1005,ความสำเร็จอันดับเงิน,บรรลุอันดับเงินหลายคน
1006,ความสำเร็จระดับทอง,บรรลุอันดับทองหลายวัน
1007,ความสำเร็จอันดับแพลตตินัม,บรรลุอันดับแพลตตินัมหลายตัว
1008,ความสำเร็จระดับเพชร,บรรลุอันดับเพชรหลาย ๆ
1009,ความสำเร็จระดับปริญญาโท,บรรลุอันดับต้นแบบหลายคน
1010,ความสำเร็จของผู้ท้าชิง,บรรลุอันดับผู้ท้าชิงหลายคน
1011,แชมป์ลีก,ประสบความสำเร็จอันดับแรกในลีก
1012,เหรียญเงิน,ประสบความสำเร็จอันดับสองในลีก
1013,เหรียญทองแดง,ประสบความสำเร็จอันดับสามในลีก
1014,3 แชมเปี้ยนส์,บรรลุ 3 ลีกชื่อ
1015,เหรียญเงิน 3 เหรียญ,ประสบความสำเร็จอันดับสองในสามลีก
1016,เหรียญทองแดง 3 เหรียญ,ประสบความสำเร็จอันดับสามในสามลีก
1017,5 แชมเปี้ยนส์,บรรลุ 5 ลีก
1018,5 เหรียญเงิน,บรรลุสถานที่ที่สองในห้าลีก
1019,5 เหรียญทองแดง,บรรลุสถานที่ที่สามในห้าลีก
1020,ฤดูกาลแรก,กำหนดเส้นตายฤดูกาลแรก
1021,ฤดูกาลที่สาม,กำหนดเวลาฤดูกาลที่สาม
1022,ฤดูกาลที่ห้า,กำหนดเส้นตายฤดูกาลที่ห้า
1023,ฤดูกาลที่สิบ,กำหนดเส้นตายฤดูกาลที่ 10
1024,6 รางวัลประจำวัน,รางวัลการแข่งขัน 6 รายการวันนี้
1025,ความสำเร็จอันดับเงิน,บรรลุอันดับเงินหลายคน
1026,ความสำเร็จระดับทอง,บรรลุอันดับทองหลายวัน
1027,ความสำเร็จอันดับแพลตตินัม,บรรลุอันดับแพลตตินัมหลายตัว
1028,ความสำเร็จระดับเพชร,บรรลุอันดับเพชรหลาย ๆ
1029,ความสำเร็จระดับปริญญาโท,บรรลุอันดับต้นแบบหลายคน
1030,ความสำเร็จของผู้ท้าชิง,บรรลุอันดับผู้ท้าชิงหลายคน
1031,ขีด จำกัด การจับคู่รายวัน,จำนวนการแข่งขันต่อวันที่คุณจะได้รับสาระสำคัญ
