ID,Dec
1000000.0,เอาชนะทุกทีมของ KR League ในซีซั่นที่ 18.
1000001.0,เอาชนะทีมทั้งหมดของ KR League ในฤดูกาลสปริงที่ 19.
1000002.0,ทำลายทีมทั้งหมดของ KR League ในฤดูกาลซัมเมอร์ 19.
1000003.0,เอาชนะแบบเต็มที่ทุกทีมในอันดับท็อป 10 ของซีซั่น Multi Match 19.
1000004.0,เอาชนะทีมทั้งหมดของ KR League ในสปริงสปีลท์ที่ 20.
1000005.0,ทำลายทีมลีกยุโรปทั้งหมดในฤดูกาลสปริงที่ 20 อย่างไม่มีใครเทียบได้.
1000006.0,ทำลายทีมลีก NA ทั้งหมดในฤดูกาลสปริงที่ 20
1000007.0,เอาชนะทีมทั้งหมดของ KR League ในฤดูกาลซัมเมอร์ที่ 20.
1000008.0,ทำลายทีมลีกยุโรปทุกทีมในฤดูกาลซัมเมอร์ที่ 20.
1000009.0,ชนะทีมลีกทั้งหมดของ NA ในฤดูกาลซัมเมอร์ 2020.
1000010.0,ทำลายทีมทั้งหมดใน Top 10 ของซีซั่น Multi Match 20.
1000011.0,เอาชนะทุกทีมของ LCK ในฤดูใบไม้ผลิ 2021 อย่างเต็มที่!
1000012.0,ชนะทีมลีกยุโรปทั้งหมดในฤดูกาลสปริง 2021.
1000013.0,ชนะทีมทั้งหมดของ NA League ในฤดูกาลสปริง 2021.
1000014.0,ทำลายทีมท็อป 10 ทั้งหมดของฤดูกาล Multi Match 21‑1.
1000015.0,เอาชนะแต่ละทีมในอันดับท็อป 10 ของซีซั่น Multi Match 21‑2 ทั้งหมด.
1000016.0,ทำลายทีมลีกจีนทั้งหมดในฤดูกาลสปริง 2021.
1000017.0,เอาชนะทีมทั้งหมดของ KR League ในฤดูกาลซัมเมอร์ 2021.
1000018.0,ทำลายทีมทั้งหมดของ EU League ในฤดูกาลซัมเมอร์ 2021.
1000019.0,ทำลายทีมลีก NA ทั้งหมดในฤดูกาลซัมเมอร์ 2021
1000020.0,ทำลายทีมทั้งหมดของ CN League ในฤดูกาลซัมเมอร์ 2021.
1000021.0,เอาชนะแต่ละทีมในอันดับ Top 10 ของซีซั่น Multi Match 21‑3 ทั้งหมด.
1000022.0,เอาชนะแต่ละทีมในอันดับท็อป 10 ของฤดูกาล Multi Match 22‑1 ทั้งหมด.
1000023.0,เอาชนะทุกทีมของ KR League ในฤดูกาลสปริง 2022.
1000024.0,ทำลายทีมลีกยุโรปทั้งหมดในฤดูกาลสปริง 2022
1000025.0,ชนะทุกทีมในลีก NA ระหว่างฤดูกาลสปริง 2022.
1000026.0,เอาชนะแต่ละทีมในอันดับ Top 10 ของซีซั่น Multi Match 22‑2 ทั้งหมด!
1000027.0,ชนะทุกทีมอันดับท็อป 10 ของซีซั่น Multi Match 22‑3.
1000028.0,เอาชนะแชมป์ทีมท็อป 10 ทั้งหมดของซีซั่น Multi Match 22‑4.
1000029.0,เอาชนะทีมทั้งหมดของ KR League ในฤดูกาลฤดูร้อนปี 22.
1000030.0,เอาชนะทุกทีมของ EU League ในฤดูกาลซัมเมอร์ 2022.
1000031.0,เอาชนะทีมลีก NA ทั้งหมดในฤดูกาลซัมเมอร์ 22.
1000032.0,เอาชนะแต่ละทีมในอันดับ Top 10 ของซีซั่น Multi Match 23‑1 ทั้งหมด.
1000033.0,เอาชนะแมนช์หลายเกม 23‑2 ซีซั่น ทีมท็อป 10 ทั้งหมด.
1000034.0,เอาชนะทีมทั้งหมดของ KR League ในฤดูใบไม้ผลิ 23.
1000035.0,เอาชนะทีมลีกยุโรปทั้งหมดในฤดูกาลสปริง 23.
1000036.0,เอาชนะทีมลีกทั้งหมดของ NA ในฤดูใบไม้ผลิ 2023.
1000037.0,ทำลายทีมทั้งหมดในอันดับท็อป 10 ของฤดูกาล Multi Match 23‑3.
1000038.0,ทำลายทีมทั้งหมดของ KR League ในฤดูกาลซัมเมอร์ 2023.
1000039.0,ทำลายทีมลีกยุโรปทั้งหมดในฤดูกาลซัมเมอร์ 23
