ID,Name,Dec
1000,การสรรหาทอง ,รับสมัครผู้เล่นสุ่ม 1 คนที่มีสถิติรวมด้านบน 81. 
1001,แพ็คเกจทอง ,รับสมัครผู้เล่นสุ่ม 5 คนที่มีสถิติรวมด้านบน 81. 
1002,การสรรหาผู้เล่น ,รับสมัคร 1 เครื่องเล่นสุ่ม 
1003,การสรรหาเงิน ,รับสมัครผู้เล่นสุ่ม 1 คนที่มีสถิติรวมด้านบน 76. 
1004,}การสรรหาทอง ,รับสมัครผู้เล่นสุ่ม 1 คนที่มีสถิติรวมด้านบน 81. 
1005,การสรรหาแพลตตินัม ,รับสมัครผู้เล่นสุ่ม 1 คนที่มี GPA รวมกัน 84 หรือสูงกว่า 
1006,แพ็คเกจพื้นฐาน ,}รับสมัครผู้เล่นสุ่ม 5 คน 
1007,แพ็คเกจสีเงิน ,รับสมัครผู้เล่นสุ่ม 5 คนที่มีสถิติรวมด้านบน 76. 
1008,แพ็คเกจทอง ,รับสมัครผู้เล่นสุ่ม 5 คนที่มีสถิติรวมด้านบน 81. 
1009,แพ็คเกจแพลตตินัม ,รับสมัครผู้เล่นสุ่ม 5 คนที่มี GPA รวม 84 หรือสูงกว่า 
1010,2021Season การสรรหา ,}รับสมัครผู้เล่นสุ่ม 1 คนจากฤดูกาล 21SPR-21SUM (ไม่รวมถึงข้อ จำกัด ) 
1011,2021Season Package ,รับสมัครผู้เล่นสุ่ม 5 คนจากฤดูกาล 21SPR-21SUM (ไม่รวมถึงข้อ จำกัด ) 
1012,2022Season การสรรหา ,รับสมัครผู้เล่นสุ่ม 1 คนจากฤดูกาล 22SPR-22SUM (ไม่รวมถึงข้อ จำกัด ) 
1013,2022Season Package ,รับสมัครผู้เล่นสุ่ม 5 คนจากฤดูกาล 22SPR-22SUM (ไม่รวมถึงข้อ จำกัด ) 
1014,2023Season การสรรหา ,รับสมัครผู้เล่นสุ่ม 1 คนจากฤดูกาล 23SPR-23SUM (ไม่รวมถึงข้อ จำกัด ) 
1015,2023Season Package ,รับสมัครผู้เล่นสุ่ม 5 คนจากฤดูกาล 23SPR-23SUM (ไม่รวมถึงข้อ จำกัด ) 
1016,การสรรหาบุคลากรในฤดูกาลก่อน ,ผู้เล่นสุ่มหนึ่งคนจากฤดูกาล 18-20SUM ได้รับการคัดเลือก (ไม่รวมถึงข้อ จำกัด ) 
1017,แพ็คเกจฤดูกาลก่อนหน้า ,ผู้เล่นสุ่ม 5 คนจากฤดูกาล 18-20SUM ได้รับการคัดเลือก (ไม่รวมถึงข้อ จำกัด ) 
1018,}การสรรหาโค้ช ,รับสมัคร 1 โค้ชสุ่ม 
1019,}เปลี่ยนชื่อทีม ,เปลี่ยนชื่อทีมของคุณ 
