ID,Dec
10000,สวัสดี. ยินดีที่ได้รู้จัก.
10001,ด้วยการสนับสนุนของผู้จัดการ} เขาสร้างทีมใหม่ใน LOL League 
10002,}โปรดตั้งชื่อทีมของคุณก่อน 
10003,ให้ทีม AAA เป็นประวัติศาสตร์ 
10004,}นี่คือนัดแรกของลีก 
10005,ที่นี่คุณสามารถดูข้อมูลของทีมงานของเราและทีมอื่น ๆ ก่อนการแข่งขัน 
10006,ทีมปัจจุบันมีผู้เล่นลงทะเบียนแล้ว 
10007,}แต่คุณต้องมีผู้เล่นจำนวนมากที่จะชนะ 
10008,}มารับเครื่องเล่นใหม่ก่อนการแข่งขัน 
10009,}แตะตลาดการสรรหา 
10010,คุณสามารถรับสมัครผู้เล่นใหม่ด้วย Essence ที่คุณมีในตลาดการสรรหา 
10011,}มาจ้างผู้เล่นใหม่ด้วย Essence ที่เรามีอยู่ตอนนี้ 
10012,กดปุ่ม Buy Players 
10013,เรามีเครื่องเล่นใหม่ 
10014,ทีมยังไม่สามารถแข่งขันได้ มาจ้างผู้เล่นที่ดีกว่าเพื่อปรับปรุงความสามารถในการแข่งขันของเรา 
10015,มีสาระสำคัญไม่เพียงพอที่จะรับสมัครผู้เล่นที่ดี ในกรณีนี้} คุณสามารถรับหมายเลขทั้งหมดโดยใช้สปอนเซอร์ 
10016,}ดูโฆษณาวิดีโอของผู้สนับสนุนทั้งหมด} เพื่อรับรางวัล 
10017,เริ่มแรก} โฆษณาที่ได้รับการสนับสนุนถูกเตรียมเป็นพิเศษเพื่อรับรางวัลมากกว่า 50% 
10018,กดโฆษณาที่ได้รับการสนับสนุน 
10019,สปอนเซอร์ส่งจำนวนเต็มให้เรา ตอนนี้เรามารับผู้เล่นใหม่ด้วยจำนวนเต็มนี้ 
10020,โปรดกดปุ่มซื้อ 
10021,เรามีเครื่องเล่นใหม่ 
10022,ตอนนี้ลองเล่นเครื่องเล่นใหม่ 
10023,กดปุ่มการจัดการเครื่องเล่น 
10024,ในการจัดการผู้เล่น} คุณสามารถเลือกผู้สมัครผู้สมัคร 
10025,กดปุ่ม swap เพื่อลองใช้ตัวเลือก 
10026,}การกดแทนที่จะทำให้ผู้เล่นที่เลือกเป็นเครื่องเล่นเริ่มต้นและผู้เล่นที่มีอยู่จะได้รับการเสนอชื่อ 
10027,นอกจากนี้} ขึ้นอยู่กับองค์ประกอบของ starters} สามารถรับเอฟเฟกต์เพิ่มเติมได้ 
10028,กดปุ่ม
10029,คุณสามารถค้นหาข้อมูลเกี่ยวกับ Tim Chemie ได้ที่นี่ 
10030,คุณสามารถทำให้ทีมของคุณแข็งแกร่งขึ้นโดยการจับคู่เคมีที่แตกต่างกันเช่นประเภทและทีม 
10031,}กด X เพื่อออก 
10032,ตอนนี้ลองเปลี่ยนผู้เล่นที่ไม่จำเป็นต้องใช้ผู้เล่นคนอื่น 
10033,ลองกดการรวมตัวกันใหม่ 
10034,ที่นี่คุณสามารถแทนที่ผู้สมัครสี่คนด้วยผู้เล่นใหม่ 
10035,}ฉันให้ผู้เล่นสี่คนชั่วคราว มารวมกันอีกครั้งผู้เล่นเหล่านี้ 
10036,กดปุ่มเพิ่ม 
10037,กดปุ่มเพิ่ม 
10038,กดปุ่มเพิ่ม 
10039,กดปุ่มเพิ่ม 
10040,ใส่ผู้เล่นทั้งสามคน ตอนนี้เรามาเปลี่ยนเป็นเครื่องเล่นใหม่ 
10041,}คุณสามารถตรวจสอบข้อมูลความสามารถของผู้เล่นจากข้อมูลการสรรหา 
10042,ตอนนี้รับเครื่องเล่น 
10043,ลองกดการรวมตัวกันใหม่ 
10044,วิธีนี้คุณสามารถแทนที่ผู้เล่นที่มีอยู่ด้วยผู้เล่นใหม่ 
10045,ตอนนี้มาเล่นกับผู้เล่นเหล่านี้ 
10046,กดปุ่ม Match 
10047,กดปุ่มความคืบหน้าของเกม 
10048,เกมเริ่มต้นขึ้น 
10049,มาเชื่อถือผู้เล่นและดูเกม 
10050,}เช่นนี้} เมื่อเกมจบลง} คุณจะได้รับประสบการณ์และจำนวนเต็ม 
10051,ไม่สามารถรับสาระสำคัญได้หากเกินขีด จำกัด การจับคู่รายวัน 
10052,กดปุ่มดำเนินการต่อเพื่อออกจากสนามกีฬา 
10053,เกมแรกจบลง 
10054,ผู้เล่นมีความสำคัญสำหรับการชนะ} แต่กลยุทธ์ของผู้จัดการก็มีความสำคัญเช่นกัน 
10055,กดปุ่มกลยุทธ์ 
10056,การตั้งค่าอย่างรวดเร็วทำให้ง่ายต่อการตั้งค่ากลยุทธ์คีย์ 
10057,ความสมดุลคือกลยุทธ์พื้นฐาน 
10058,ลองเปลี่ยนการตั้งค่า 
10059,คลิกที่บรรทัด / จัดการ. 
10060,การจับคู่บรรทัด / การดำเนินการเป็นกลยุทธ์ที่จบเกมโดยการดำเนินการกำไรที่เห็นในการจับคู่บรรทัด 
10061,ลองเปลี่ยนกลยุทธ์ไปสู่การดำเนินการบรรทัดของบรรทัด 
10062,}กดปุ่มการตั้งค่า 
10063,กลยุทธ์ของทีมมีการเปลี่ยนแปลงในขณะนี้ด้วยการวิ่งสาย 
10064,การตั้งค่าอย่างรวดเร็วนี้ทำให้ง่ายต่อการเปลี่ยนกลยุทธ์ของทีมของคุณ 
10065,การตั้งค่าโดยละเอียดสามารถตั้งค่าผ่านคำแนะนำและ pickvan 
10066,}ตอนนี้ลองทดสอบกลยุทธ์ของเรา 
10067,กดปุ่ม Match 
10068,มาดูวิธีใช้รายการจับคู่ก่อนที่จะดำเนินการจับคู่ 
10069,- กดปุ่ม.
10070,ฉันได้ยินรายการประสบการณ์เพิ่มเติม 10% เป็นของขวัญ 
10071,โปรดตรวจสอบการใช้งาน 
10072,หากคุณตรวจสอบการใช้งานคุณจะใช้รายการที่เกี่ยวข้องในการจับคู่ในอนาคต 
10073,หากมีหลายรายการคุณสามารถตรวจสอบอัตโนมัติเพื่อใช้รายการโดยอัตโนมัติ {{}}}}รายการประเภทเดียวกันไม่สามารถใช้ซ้ำได้ 
10074,}กด X เพื่อออก 
10075,ตอนนี้ลองตรวจสอบกลยุทธ์และรายการ 
10076,}กดปุ่มความคืบหน้าของเกม 
10077,หลังจากการแข่งขันนี้ระดับของผู้จัดการเพิ่มขึ้น 
10078,เมื่อระดับผู้จัดการเพิ่มขึ้นคุณจะได้รับสาระสำคัญแบบนี้ 
10079,คุณสามารถรับ Essences พิเศษจากระดับผู้จัดการโดยไม่คำนึงถึงขีด จำกัด การจับคู่รายวัน 
10080,}กดปุ่มดำเนินการต่อเพื่อออกจากสนามกีฬา 
10081,ผู้เล่นบางคนได้รับการปรับระดับโดยการได้รับประสบการณ์ในการแข่งขันนี้ 
10082,ผู้เล่นที่ยกระดับสามารถเพิ่มสถิติของพวกเขา 
10083,}กด Management 
10084,นักกีฬาที่มีการปรับระดับมีเครื่องหมายลูกศรในระดับ 
10085,แตะระดับของเครื่องเล่นเพื่อเพิ่มสถิติ 
10086,ที่นี่คุณสามารถเพิ่มสถิติที่คุณต้องการได้ตามคะแนน 
10087,คุณสามารถเพิ่มสถิติได้โดยแตะลูกศรของสถิติที่ต้องการ 
10088,แตะสถิติที่คุณต้องการและแตะการตัดสินใจ 
10089,}สิ่งนี้จะเพิ่มความสามารถของผู้เล่น 
10090,กด X เพื่อออก 
10091,นักกีฬาสามารถทำให้แข็งแกร่งขึ้นโดยการปรับระดับและเสริมสร้างความแข็งแกร่งเช่นนี้ 
10092,มาทำให้ผู้เล่นแข็งแกร่งขึ้นด้วยการเสริมกำลัง 
10093,}กดปุ่ม Reinforce 
10094,การเสริมแรงทำให้ผู้เล่นแข็งแกร่งขึ้นผ่านเครื่องเล่นเดียวกัน 
10095,ครั้งนี้} มารีใหม่ผู้เล่นที่ฉันให้คุณ 
10096,ลองกดปุ่ม▼ 
10097,กดปุ่มเพื่อพับรายการ starters กดปุ่มเพื่อดูรายการผู้เล่นย่อยขนาดใหญ่ 
10098,ตอนนี้ลองเพิ่มเครื่องเล่น 
10099,กดปุ่มเพิ่ม 
10100,หากมีการเพิ่มผู้เล่น} เฉพาะผู้เล่นเดียวกันจะมองเห็นได้ 
10101,กดปุ่มเพิ่ม 
10102,เมื่อมีการเพิ่มผู้เล่น stuff} คุณสามารถเห็นโอกาสของความสำเร็จ 
10103,ความน่าจะเป็นของความสำเร็จนั้นถูกกำหนดโดยความแตกต่างระหว่างระดับการเสริมแรงและระดับการเสริมแรง 
10104,กดปุ่ม Reinfroce 
10105,หากคุณ reinfroced เช่นนี้} สิ่งที่ผู้เล่นหายไป 
