ID,Dec
1000000.0,18 sezonda tüm KR League takımlarını yen.
1000001.0,19 bahar sezonunda tüm KR lig takımlarını yen.
1000002.0,19 yaz sezonunda tüm KR lig takımlarını yen.
1000003.0,Tüm Multi Match 19 Sezon Top10 takımlarını yen.
1000004.0,20 bahar sezonunda tüm KR League takımlarını yenin.
1000005.0,20 bahar sezonunda tüm AB lig takımlarını yen.
1000006.0,20 bahar sezonunda tüm NA League takımlarını yenin.
1000007.0,20 yaz sezonunda tüm KR lig takımlarını yen.
1000008.0,20 yaz sezonunda tüm AB lig takımlarını yenin.
1000009.0,20 yaz sezonunda tüm NA League takımlarını yenin.
1000010.0,Tüm Multi Match 20 Sezon Top10 takımlarını yen.
1000011.0,21 bahar sezonunda tüm KR lig takımlarını yen.
1000012.0,21 bahar sezonunda tüm AB lig takımlarını yen.
1000013.0,21 bahar sezonunda tüm NA Ligi takımlarını yen.
1000014.0,Tüm Multi Match 21-1 Sezon Top10 takımlarını yen.
1000015.0,Tüm Multi Match 21-2 Sezon Top10 takımlarını yen.
1000016.0,21 bahar sezonunda tüm CN League takımlarını yenin.
1000017.0,21 yaz sezonunda tüm KR lig takımlarını yen.
1000018.0,21 yaz sezonunda tüm AB lig takımlarını yen.
1000019.0,21 yaz sezonunda tüm NA League takımlarını yenin.
1000020.0,21 yaz sezonunda tüm CN League takımlarını yenin.
1000021.0,Tüm Multi Match 21-3 Sezon Top10 takımlarını yen.
1000022.0,Tüm Multi Match 22-1 Sezon Top10 takımlarını yen.
1000023.0,22 bahar sezonunda tüm KR lig takımlarını yenin.
1000024.0,22 bahar sezonunda tüm AB lig takımlarını yen.
1000025.0,22 bahar sezonunda tüm NA Ligi takımlarını yen.
1000026.0,Tüm Multi Match 22-2 Sezon Top10 takımlarını yen.
1000027.0,Tüm Multi Match 22-3 Sezon Top10 takımlarını yen.
1000028.0,Tüm Multi Match 22-4 Sezon Top10 takımlarını yen.
1000029.0,22 yaz sezonunda tüm KR lig takımlarını yen.
1000030.0,22 yaz sezonunda tüm AB lig takımlarını yen.
1000031.0,22 yaz sezonunda tüm NA League takımlarını yenin.
1000032.0,Tüm Multi Match 23-1 Sezon Top10 takımlarını yen.
1000033.0,Tüm Multi Match 23-2 Sezon Top10 takımlarını yen.
1000034.0,23 bahar sezonunda tüm KR League takımlarını yenin.
1000035.0,23 bahar sezonunda tüm AB lig takımlarını yen.
1000036.0,23 bahar sezonunda tüm NA League takımlarını yenin.
1000037.0,Tüm Multi Match 23-3 Sezon Top10 takımlarını yen.
1000038.0,23 yaz sezonunda tüm KR lig takımlarını yen.
1000039.0,23 yaz sezonunda tüm AB lig takımlarını yen.
1000040.0,23 yaz sezonunda tüm NA League takımlarını yenin.
1000041.0,Tüm Multi Match 23-4 Sezon Top10 takımlarını yen.
1000042.0,Tüm Multi Match 24-1 Sezon Top10 takımlarını yen.
1000043.0,Tüm Multi Match 24-2 Sezon Top10 takımlarını yen.
1000044.0,24 bahar sezonunda tüm KR League takımlarını yenin.
1000045.0,24 bahar sezonunda tüm AB lig takımlarını yenin.
1000046.0,24 bahar sezonunda tüm NA League takımlarını yenin.
1000047.0,Tüm Multi Match 24-3 Sezon Top10 takımlarını yen.
1000048.0,24 yaz sezonunda tüm KR lig takımlarını yenin.
1000049.0,24 yaz sezonunda tüm AB lig takımlarını yenin.
1000050.0,24 yaz sezonunda tüm NA League takımlarını yenin.
1000051.0,Tüm Multi Match 24-4 Sezon Top10 takımlarını yen.
