ID,Dec
10000,Selam. Tanıştığıma memnun oldum.
10001,Yöneticinin desteğiyle} Roll Ligi'nde yeni bir ekip oluşturdu.
10002,Lütfen önce takımınızı adlandırın.
10003,AAA ekibini geçmişe yapalım.
10004,Bu lig ilk maçıdır.
10005,Burada ekibimizin ve diğer takımların bilgisini maçtan önce görebilirsiniz.
10006,Mevcut ekip zaten bir oyuncuya kaydoldu.
10007,Ama kazanacak birçok oyuncuya ihtiyacın var.
10008,Maçtan önce yeni bir oyuncu alalım.
10009,İşe alım pazarına dokunun
10010,İşe alım pazarında sahip olduğunuz özüyle yeni oyuncular alabilirsiniz.
10011,Şimdi sahip olduğumuz özüyle yeni bir oyuncuyu işe alalım.
10012,Oynatıcılar düğmesine basın.
10013,Yeni bir oyuncumuz var.
10014,Takım hala rekabetçi değil. Rekabetçiliğimizi geliştirmek için daha iyi bir oyuncu kiralayalım.
10015,İyi bir oyuncuyu işe almak için yeterli bir öz yoktur. Bu durumda} Bir sponsor kullanarak bir kaç numara alabilirsiniz.
10016,Ödüller kazanmak için tüm sponsorların video reklamlarını görüntüle}.
10017,"Başlangıçta} sponsorlu reklamlar,% 50 daha fazla ödül almaya özel olarak hazırlanmıştır."
10018,Sponsorlu reklamcılığa basın.
10019,Sponsor bize bir tamsayı gönderdi. Şimdi bu tamsayı olan yeni bir oyuncu alalım.
10020,Lütfen satın alma düğmesine basın.
10021,Yeni bir oyuncumuz var.
10022,Şimdi yeni bir oyuncu deneyelim.
10023,Oyuncu Yönetimi düğmesine basın.
10024,Oyuncu Yönetimi'nde} Aday bir oyuncu seçebilirsiniz.
10025,Adayı denemek için Takas düğmesine basın.
10026,"Değiştir düğmesine basmak, seçilen oynatıcıyı bir başlangıç oyuncusu ve mevcut oynatıcının aday gösterilecektir."
10027,Ayrıca} marşların bileşimine bağlı olarak} ek efektler elde edilebilir.
10028,düğmesine basın
10029,Tim Chemie hakkında bilgi bulabilirsiniz.
10030,Tip ve takım gibi farklı kimyajleri eşleştirerek ekibinizi daha güçlü hale getirebilirsiniz.
10031,Çıkmak için x tuşuna basın.
10032,Şimdi başka bir oyuncuya ihtiyaç duymayan oyuncuyu değiştirelim.
10033,Rekombinasyona basmayı deneyin.
10034,Burada dört adayı yeni oyuncularla değiştirebilirsiniz.
10035,Geçici olarak dört oyuncu verdim. Bu oyuncuları yeniden birleştirelim.
10036,Ekle düğmesine basın.
10037,Ekle düğmesine basın.
10038,Ekle düğmesine basın.
10039,Ekle düğmesine basın.
10040,Üç oyuncuyu da koy. Şimdi yeni bir oyuncuya geçelim.
10041,Oyuncunun yetenek bilgilerini işe alım bilgilerinden kontrol edebilirsiniz.
10042,Şimdi oyuncuyu al.
10043,Rekombinasyona basmayı deneyin.
