ID,Name,Dec
1000,Phần thưởng đăng nhập hàng ngày,Đăng nhập ngày hôm nay phần thưởng
1001,3 phần thưởng hàng ngày,Phần thưởng 3 trận đấu hôm nay
1002,Ủng hộ,Bạn có thể tài trợ cho nhà phát triển thông qua Twonation.
1003,Ôn tập,Hãy xem lại và chúng tôi sẽ thưởng cho bạn.
1004,Hướng dẫn hoàn thành,Hoàn chỉnh hướng dẫn
1005,Thành tích xếp hạng bạc,Đạt được thứ hạng bạc nhiều
1006,Thành tích xếp hạng vàng,Đạt được thứ hạng vàng nhiều
1007,Thành tích xếp hạng bạch kim,Đạt được thứ hạng bạch kim nhiều
1008,Thành tích cấp bậc kim cương,Đạt được thứ hạng kim cương nhiều
1009,Thành tích bậc thầy,Đạt được thứ hạng chính nhiều
1010,Thành tích thách thức,Đạt được thứ hạng Challenger nhiều
1011,Nhà vô địch giải đấu,Đạt được vị trí đầu tiên trong giải đấu
1012,Huy chương bạc,Đạt được vị trí thứ hai trong giải đấu
1013,Huy chương đồng,Đạt được vị trí thứ ba trong giải đấu
1014,3 nhà vô địch,Đạt được 3 danh hiệu giải đấu
1015,3 huy chương bạc,Đạt được vị trí thứ hai trong ba giải đấu
1016,3 huy chương đồng,Đạt được vị trí thứ ba trong ba giải đấu
1017,5 nhà vô địch,Đạt được 5 danh hiệu giải đấu
1018,5 huy chương bạc,Đạt được vị trí thứ hai trong năm giải đấu
1019,5 huy chương đồng,Đạt được vị trí thứ ba trong năm giải đấu
1020,Mùa đầu tiên,Hạn chót mùa đầu tiên
1021,Mùa thứ ba,Hạn chót mùa thứ ba
1022,Mùa thứ năm,Hạn chót mùa thứ năm
1023,Mùa thứ mười,Hạn chót mùa thứ 10
1024,6 phần thưởng hàng ngày,Phần thưởng 6 trận đấu hôm nay
1025,Thành tích xếp hạng bạc,Đạt được thứ hạng bạc nhiều
1026,Thành tích xếp hạng vàng,Đạt được thứ hạng vàng nhiều
1027,Thành tích xếp hạng bạch kim,Đạt được thứ hạng bạch kim nhiều
1028,Thành tích cấp bậc kim cương,Đạt được thứ hạng kim cương nhiều
1029,Thành tích bậc thầy,Đạt được thứ hạng chính nhiều
1030,Thành tích thách thức,Đạt được thứ hạng Challenger nhiều
1031,Giới hạn trận đấu hàng ngày,Số lượng trận đấu mỗi ngày mà bạn có thể nhận được bản chất
