ID,Dec
10000,"CHÀO.
 Rất vui được gặp bạn."
10001,"Với sự hỗ trợ của người quản lý}, anh ấy đã tạo ra một đội mới trong LOL League."
10002,Vui lòng đặt tên cho nhóm của bạn trước.
10003,Hãy biến nhóm AAA thành lịch sử.
10004,Đây là trận đấu đầu tiên của giải đấu.
10005,Tại đây bạn có thể thấy thông tin của đội của chúng tôi và các đội khác trước trận đấu.
10006,Đội hiện tại đã có một người chơi đăng ký.
10007,Nhưng bạn cần rất nhiều người chơi để giành chiến thắng.
10008,Hãy để một người chơi mới đầu tiên trước trận đấu.
10009,Nhấn vào thị trường tuyển dụng
10010,Bạn có thể tuyển dụng những người chơi mới với bản chất bạn có trong thị trường tuyển dụng.
10011,Hãy thuê một người chơi mới với bản chất mà chúng ta có bây giờ.
10012,Nhấn nút tuyển dụng X1.
10013,Chúng tôi có một người chơi mới.
10014,"Đội vẫn không cạnh tranh.
 Hãy thuê một người chơi tốt hơn để cải thiện khả năng cạnh tranh của chúng tôi."
10015,"Không có đủ bản chất để tuyển dụng một người chơi giỏi.
 Trong trường hợp này} bạn có thể nhận được một số toàn bộ bằng cách sử dụng nhà tài trợ."
10016,Xem tất cả các quảng cáo video của các nhà tài trợ} để kiếm phần thưởng.
10017,Ban đầu} Quảng cáo được tài trợ được chuẩn bị đặc biệt để nhận thêm 50% phần thưởng.
10018,Báo chí quảng cáo được tài trợ.
10019,"Nhà tài trợ đã gửi cho chúng tôi một số nguyên.
 Bây giờ chúng ta hãy lấy một người chơi mới với số nguyên này."
10020,Nhấn nút tuyển dụng X5.
10021,Chúng tôi có một người chơi mới.
10022,Bây giờ chúng ta hãy thử một người chơi mới.
10023,Nhấn nút Quản lý người chơi.
10024,"Trong quản lý người chơi}, bạn có thể chọn một người chơi ứng cử viên."
10025,Nhấn nút hoán đổi để thử ứng viên.
10026,Nhấn thay thế sẽ biến trình phát đã chọn thành một người chơi khởi động và người chơi hiện tại sẽ được đề cử.
10027,Ngoài ra} Tùy thuộc vào thành phần của người mới bắt đầu} có thể thu được các hiệu ứng bổ sung.
10028,Nhấn nút
10029,Bạn có thể tìm thấy thông tin về Tim Chemie ở đây.
10030,Bạn có thể làm cho nhóm của bạn mạnh mẽ hơn bằng cách kết hợp các hóa chất khác nhau như loại và nhóm.
10031,Nhấn X để thoát.
10032,Bây giờ chúng ta hãy thay đổi người chơi không cần thiết với người chơi khác.
10033,Hãy thử nhấn tái hợp.
10034,Tại đây bạn có thể thay thế bốn ứng cử viên bằng những người chơi mới.
10035,"Tạm thời tôi đã cho bốn người chơi.
 Hãy tái tổ hợp những người chơi này."
10036,Nhấn nút Thêm.
10037,Nhấn nút Thêm.
10038,Nhấn nút Thêm.
10039,Nhấn nút Thêm.
10040,"Đặt cả ba người chơi.
 Bây giờ chúng ta hãy thay đổi thành một người chơi mới."
10041,Bạn có thể kiểm tra thông tin khả năng của người chơi từ thông tin tuyển dụng.
10042,Bây giờ lấy người chơi.
10043,Hãy thử nhấn tái hợp.
10044,"Bằng cách này, bạn có thể thay thế người chơi hiện tại bằng những người chơi mới."
10045,Bây giờ chúng ta hãy chơi với những người chơi này.
10046,Nhấn nút khớp
10047,Nhấn nút Tiến trình trò chơi.
10048,Trò chơi đã bắt đầu.
10049,Hãy tin tưởng vào người chơi và xem trò chơi.
10050,"Giống như thế này} Khi trò chơi kết thúc}, bạn có thể có được kinh nghiệm và số nguyên."
10051,Bản chất không thể có được nếu vượt quá giới hạn trận đấu hàng ngày.
10052,Nhấn nút Tiếp tục để thoát khỏi sân vận động.
10053,Trò chơi đầu tiên đã kết thúc.
10054,Người chơi rất quan trọng để chiến thắng} nhưng chiến lược của người quản lý cũng rất quan trọng.
10055,Nhấn nút Chiến lược.
10056,Thiết lập nhanh giúp bạn dễ dàng thiết lập các chiến lược chính.
10057,Cân bằng bây giờ là chiến lược cơ bản.
10058,Hãy thay đổi cài đặt.
10059,Nhấp vào dòng / quản lý.
10060,Trận đấu / Hoạt động là một chiến lược kết thúc trò chơi bằng cách vận hành các lợi nhuận được thấy trong trận đấu.
10061,Hãy thay đổi chiến lược thành hoạt động dòng.
10062,Nhấn nút Cài đặt
10063,Chiến lược của đội hiện đã thay đổi với dòng chạy.
10064,Thiết lập nhanh này giúp bạn dễ dàng thay đổi chiến lược nhóm của bạn.
10065,Cài đặt chi tiết có thể được đặt thông qua các hướng dẫn và Pickvan.
10066,Bây giờ chúng ta hãy kiểm tra chiến lược của chúng ta.
10067,Nhấn nút khớp
10068,Hãy xem cách sử dụng các mục khớp trước khi tiến hành trận đấu.
10069,"!!
 Nhấn nút."
10070,Tôi đã nghe một mặt hàng kinh nghiệm bổ sung 10% như một món quà.
10071,Vui lòng kiểm tra việc sử dụng.
10072,"Nếu bạn kiểm tra sử dụng, bạn sẽ sử dụng mục tương ứng trong các trận đấu trong tương lai."
10073,"Nếu có nhiều mục, bạn có thể kiểm tra Auto để tự động sử dụng các mục."
10074,Các mục cùng loại không thể được sử dụng nhiều lần.
10075,Nhấn X để thoát.
10076,Bây giờ chúng ta hãy kiểm tra các chiến lược và vật phẩm.
10077,Nhấn nút tiến độ trò chơi
10078,"Sau trận đấu này, cấp độ của người quản lý đã tăng lên."
10079,"Khi cấp độ quản lý tăng, bạn sẽ có thêm một bản chất như thế này."
10080,Bạn có thể nhận được thêm tinh chất từ cấp độ quản lý bất kể giới hạn trận đấu hàng ngày.
10081,Nhấn nút Tiếp tục để thoát khỏi sân vận động.
10082,Một số người chơi đã được san bằng bằng cách có được kinh nghiệm trong trận đấu này.
10083,Người chơi lên cấp có thể tăng số liệu thống kê của họ.
10084,Quản lý người chơi.
10085,Các vận động viên đã lên cấp có một điểm mũi tên ở cấp độ.
10086,Nhấn vào cấp độ của người chơi để nâng các số liệu thống kê.
10087,Ở đây bạn có thể tăng số liệu thống kê mong muốn của mình theo điểm.
10088,Bạn có thể tăng chỉ số bằng cách nhấn vào mũi tên của chỉ số mong muốn.
10089,Nhấn vào số liệu thống kê mong muốn của bạn và nhấn quyết định.
10090,Điều này sẽ làm tăng khả năng của người chơi.
10091,Nhấn X để thoát.
10092,Các vận động viên có thể được làm mạnh hơn bằng cách san bằng và tăng cường như thế này.
10093,Hãy làm cho người chơi mạnh mẽ hơn bằng cách củng cố.
10094,Nhấn nút Củng cố.
10095,Củng cố làm cho người chơi mạnh hơn thông qua cùng một người chơi.
10096,Lần này} Chúng ta hãy tái sử dụng người chơi mà tôi đã đưa cho bạn.
10097,Thử nhấn nút ▼.
10098,"Nhấn nút để gấp danh sách người mới bắt đầu.
 Nhấn nút để xem một danh sách lớn hơn của những người chơi phụ."
10099,Bây giờ hãy thử thêm một người chơi.
10100,Nhấn nút Thêm.
10101,Nếu người chơi được thêm vào} chỉ hiển thị cùng một người chơi.
10102,Nhấn nút Thêm.
10103,"Khi công cụ người chơi được thêm vào}, bạn có thể thấy cơ hội thành công."
10104,Xác suất thành công được xác định bởi sự khác biệt giữa mức độ gia cố và mức độ gia cố.
10105,Nhấn nút ReinFroce.
10106,"Nếu bạn tái sử dụng như thế này}, người chơi công cụ biến mất."
10107,Không làm như vậy không làm cho người chơi chính biến mất hoặc mất lớp.
10108,Bây giờ chúng ta hãy kiểm tra thông tin giải đấu cuối cùng.
10109,Nhấn nút Liên đoàn.
10110,Nhấn nút Lịch trình.
10111,Bạn có thể kiểm tra lịch trình giải đấu cho đội của bạn ở đây.
10112,Nhấn nút Xếp hạng.
10113,Ở đây bạn có thể thấy bảng xếp hạng giải đấu.
10114,Nhấn nút Giải đấu
10115,Tại đây bạn có thể kiểm tra các trận playoff sau khi giải đấu thông thường kết thúc.
10116,W là thứ hạng cho sự tiến bộ cho Giải vô địch thế giới.
10117,Giải vô địch thế giới được tổ chức vào cuối giải đấu thông thường.
10118,Bạn có thể cạnh tranh với các đội hàng đầu trong các giải đấu khác và nhận được phần thưởng cao hơn.
10119,Nhấn nút Đặt.
10120,Nơi bạn muốn giải đấu
10121,Bạn có thể đặt mức độ khó và bắt đầu một giải đấu mới.
10122,"Bằng cách chọn một giải đấu và khó khăn, bạn có thể thấy phần thưởng thay đổi và khả năng của đội giải đấu."
10123,Chọn cấp độ giải đấu và khó khăn của bạn và nhấn nút Bắt đầu New League.
10124,Bạn có thể bắt đầu một giải đấu mới như thế này.
10125,Bây giờ mọi thứ đã sẵn sàng.
10126,Cuối cùng} Người quản lý đã gửi cho chúng tôi bản chất.
10127,Hãy làm cho người chiến thắng AAA League!
10128,"CHÀO.
 Chào mừng bạn đến với trò chơi nhiều trận đấu."
10129,Ở đây bạn có thể chơi trận đấu các huấn luyện viên khác.
10130,Tại đây bạn có thể thấy xếp hạng của nhóm của bạn} điểm và phù hợp với dữ liệu.
10131,Nhấn nút Thông tin Phần thưởng.
10132,Ở đây bạn có thể tìm thấy thông tin về phần thưởng của trận đấu nhiều trận.
10133,Trên bảng cấp} Có sáu tầng bằng đồng} bạc} vàng} bạch kim} kim cương} master} celinger.
10134,"Lần đầu tiên bạn bắt đầu}, bạn bắt đầu với một tầng bằng đồng."
10135,Tăng tầng của bạn sẽ cung cấp cho bạn bản chất ở trên.
10136,Và bạn có thể kiếm được bản chất tiền thưởng vào cuối trận đấu theo tỷ lệ phần trăm được chỉ ra dưới đây.
10137,Tôi sẽ giải thích mùa.
10138,Mùa giải đặt lại tầng và bắt đầu một trò chơi mới sau một thời gian cố định.
10139,"Khi một mùa giải mới bắt đầu, bạn được thưởng theo thứ hạng của mùa giải trước."
10140,Phần thưởng cho tầng của bạn có thể được tìm thấy ở đây.
10141,Bây giờ nhấn X để thoát thông tin phần thưởng.
10142,"Để xếp tầng}, bạn phải giành chiến thắng trong trận đấu và thu thập điểm."
10143,Thu thập 100 điểm để tiến tới tầng tiếp theo.
10144,Nhưng hãy cẩn thận vì bạn có thể bị hạ cấp về mất liên tục ở mức 0.
10145,"Nếu bạn nâng cấp cấp cao hơn bằng cách chiến thắng}, bạn có thể kiểm tra thứ hạng của nhóm của bạn thông qua thứ hạng dưới đây."
10146,Và bạn có thể thấy đội ngũ xếp hạng chi tiết.
10147,Nhấn nút.
10148,"Bây giờ bạn có thể thấy người chơi và chiến lược được sử dụng bởi người xếp hạng.
 Kiểm tra nó và phát triển nhóm của bạn mạnh mẽ hơn."
10149,Bây giờ chúng ta hãy nhấn nút một lần nữa.
10150,Xếp hạng cần có thời gian để làm mới.
10151,"Nếu bạn muốn làm mới ngay lập tức}, bạn có thể cập nhật thứ hạng ngay lập tức thông qua nút Làm mới."
10152,"Tốt.
 Sẵn sàng nâng cao cấp bậc của bạn và thu thập điểm để trở thành người quản lý hàng đầu!"
10153,Trong tài khoản của bạn} bạn có thể thấy thông tin tài khoản của mình và hàng ngày} Thành tựu} Thông tin khác.
10154,Trong các nhiệm vụ hàng ngày} được cập nhật mỗi ngày.
10155,Trong thành tích} Bạn có thể thấy thành tích
10156,Trong mùa} Bạn có thể thấy các nhiệm vụ mới được cập nhật mỗi mùa.
10157,Trong khác} Bạn có thể thấy các phần khác như hỗ trợ nhà phát triển.
10158,Bạn có thể kiếm được phần thưởng bằng cách hoàn thành thành tích nhiệm vụ hoặc các phần khác.
10159,Ngoài ra} Tài trợ sẽ giúp chúng tôi tiếp tục phát triển trò chơi trong tương lai.
10160,"Cảm ơn bạn đã bảo trợ của bạn.
 Cảm ơn."
